player,Consecutive Fairways Hit-BEST STREAK,Consecutive Fairways Hit-CURRENT STREAK,Consecutive Holes Below Par-NUMBER OF HOLES,YTD Par or Better Streak-NUMBER OF ROUNDS,Best YTD 1-Putt or Better Streak-VALUE,Best Sub-Par Rounds Streak-CAREER BEST STREAK,Best Sub-Par Rounds Streak-BEST YTD STREAK,Best Sub-Par Rounds Streak-CURRENT STREAK,YTD Rounds in 60's Streak-BEST STREAK,Current Par or Better Streak-NUMBER OF ROUNDS,Best YTD Streak w/o a 3-Putt-BEST STREAK,Best YTD Streak w/o a 3-Putt-CURRENT STREAK,Current Streak without a 3-Putt-VALUE,Best Rounds in 60's Streak-CAREER BEST STREAK,Best Rounds in 60's Streak-BEST YTD STREAK,Best Rounds in 60's Streak-CURRENT STREAK,Consecutive Par 3 Birdies-NUMBER OF HOLES,YTD Sub-Par Rounds Streak-VALUE,YTD Consecutive Cuts-NUMBER OF CUTS,Consecutive Sand Saves-STREAK,Consecutive Sand Saves-CURRENT STREAK,Consecutive Sand Saves-ROUND,Consecutive Sand Saves-HOLE,Consecutive Sand Saves-YEAR/TOURN#,Consecutive Cuts-TOTAL,Consecutive Cuts-START TOURNAMENT ID,Consecutive Par 5 Birdies-NUMBER OF HOLES,Consecutive Birdies/Eagles streak-NUMBER OF HOLES,Consecutive Birdies Streak-NUMBER OF HOLES,Consecutive GIR-STREAK,Consecutive GIR-CURRENT STREAK,Consecutive GIR-ROUND,Consecutive GIR-HOLE,Consecutive GIR-YEAR/TOURN#,Consecutive Par 4 Birdies-NUMBER OF HOLES
Collin Morikawa,25,6,4,10,8,11,6,,4,4,78,6,6,5,4,,2,6,12,9,0,3,2,2020150,22,"2,018,220",10,2,4,12,1,3,3,2020040,5
Viktor Hovland,20,2,3,22,6,22,6,,6,4,198,2,2,19,6,,2,6,2,4,1,4,15,2020010,2,"2,020,240",7,2,3,25,4,1,8,2020210,3
Billy Horschel,19,2,4,7,8,12,4,,4,4,121,27,27,12,4,,3,4,6,6,2,2,17,2020230,6,"2,020,170",4,4,4,25,3,2,17,2020220,3
Daniel Berger,19,0,3,28,6,11,7,,7,28,120,52,52,7,7,,3,7,7,9,0,4,6,2020150,7,"2,020,070",7,2,3,18,5,2,4,2020395,3
Gary Woodland,17,2,4,16,5,9,8,,5,5,110,38,38,7,5,,3,8,4,9,1,4,3,2020230,4,"2,020,180",9,2,4,15,5,3,14,2020060,3
Joel Dahmen,17,0,5,8,7,10,6,,4,5,221,101,101,8,4,,2,6,7,4,0,4,14,2020240,7,"2,020,150",3,5,4,15,0,4,12,2020170,8
Patrick Cantlay,14,1,3,15,4,9,6,,5,2,75,41,41,7,5,,2,6,5,3,0,4,9,2020040,14,"2,019,320",7,3,3,27,1,4,14,2020030,4
Rory Sabbatini,13,1,3,15,5,11,5,,4,4,84,59,59,8,4,,2,5,4,8,0,1,16,2020395,4,"2,020,200",5,1,3,21,0,4,13,2020070,2
Andrew Landry,13,4,4,5,10,10,5,,5,4,80,80,80,10,5,,2,5,2,8,5,4,17,2020200,2,"2,020,200",9,2,4,15,6,2,9,2020150,3
Shawn Stefani,13,0,3,5,6,15,5,,5,4,110,49,49,8,5,,1,5,6,4,3,1,17,2020110,6,"2,020,020",6,1,3,18,4,1,18,2020110,3
Bud Cauley,13,9,4,7,7,13,5,,5,3,195,195,195,12,5,,3,5,5,9,5,4,18,2020050,5,"2,020,180",8,2,4,13,3,2,7,2020150,3
Bryson DeChambeau,13,0,4,8,6,17,8,,4,7,131,19,19,8,4,,2,8,7,6,2,1,18,2020030,7,"2,020,030",9,2,4,20,1,4,2,2020040,4
Xander Schauffele,13,0,4,11,6,15,8,,6,4,157,1,1,9,6,,2,8,5,7,2,1,12,2020180,5,"2,020,180",6,2,4,17,3,3,11,2020220,4
Keegan Bradley,12,0,4,9,8,10,4,,4,4,103,3,3,8,4,,2,4,2,5,4,4,8,2020240,2,"2,020,240",6,1,4,13,0,3,11,2020180,4
Ben Martin,12,1,4,5,6,11,4,,3,4,94,49,49,9,3,,2,4,2,5,0,2,10,2020190,2,"2,020,190",3,1,4,14,0,2,10,2020110,2
Sungjae Im,12,5,4,10,7,8,6,,5,4,140,7,7,5,5,,4,6,4,9,2,3,5,2020230,4,"2,020,220",5,2,4,10,3,2,11,2020060,3
Patrick Rodgers,11,0,4,9,6,16,5,,3,4,222,27,27,6,3,,3,5,5,7,0,1,18,2020240,5,"2,020,200",8,2,4,14,0,1,2,2020180,4
Abraham Ancer,11,0,4,8,7,8,8,,6,4,157,115,115,7,6,,3,8,10,4,0,4,9,2020240,10,"2,020,060",8,2,4,18,1,3,5,2020220,4
Paul Casey,10,0,3,6,7,13,6,,4,4,79,7,7,7,4,,1,6,7,2,0,2,17,2020200,14,"2,019,360",9,3,3,17,1,1,9,2020190,4
Ryan Brehm,10,0,4,12,7,9,5,,3,2,80,59,59,3,3,,4,5,4,4,1,4,9,2020170,4,"2,020,160",6,3,4,15,5,3,10,2020110,2
Russell Henley,10,0,3,5,6,10,5,,5,4,121,73,73,9,5,,2,5,2,3,1,1,18,2020110,2,"2,020,200",4,3,3,24,3,3,14,2020020,3
Zander Lombard,10,2,3,3,6,3,3,,2,3,45,8,8,2,2,,2,3,2,2,0,1,2,2020220,2,"2,020,090",4,1,3,10,0,3,14,2020220,2
Talor Gooch,10,0,6,14,6,9,5,,4,6,216,5,5,9,4,,2,5,13,8,4,3,9,2020240,13,"2,020,030",5,4,6,18,3,3,11,2020110,6
Seamus Power,9,0,3,4,6,13,3,,3,3,74,7,7,5,3,,4,3,2,2,1,4,11,2020190,2,"2,020,190",6,3,3,20,10,1,14,2020110,3
Patrick Reed,9,2,4,9,8,15,6,,4,5,93,93,93,7,4,,2,6,5,8,1,3,6,2020395,5,"2,020,170",4,1,4,13,4,2,16,2020170,3
Ian Poulter,8,0,3,16,6,9,2,,2,4,111,111,111,8,2,,2,2,6,6,4,2,11,2020395,9,"2,019,430",3,2,3,10,6,1,12,2020070,3
Matt Jones,8,1,5,10,7,10,5,,4,4,96,6,6,8,4,,3,5,3,8,0,4,18,2020060,3,"2,020,230",9,2,5,15,5,2,2,2020040,3
Peter Uihlein,8,0,4,16,7,10,10,,5,5,185,30,30,5,5,,2,10,2,8,0,2,14,2020050,2,"2,020,210",5,2,4,10,6,2,12,2020110,2
Brooks Koepka,8,0,3,5,5,11,5,,4,5,89,89,89,10,4,,1,5,2,4,1,4,6,2020240,2,"2,020,240",6,1,3,8,1,3,13,2020395,2
Matthew Fitzpatrick,8,6,4,7,10,8,7,,5,5,160,11,11,5,5,,3,7,7,7,0,3,15,2020220,19,"2,019,190",7,3,4,12,1,1,17,2020220,3
Jason Kokrak,7,2,3,5,6,12,4,,2,4,103,7,7,6,2,,2,4,3,9,1,1,10,2020395,3,"2,020,220",4,2,3,14,3,4,1,2020395,3
Will Gordon,7,1,5,8,8,7,7,,2,7,129,7,7,2,2,,2,7,2,5,5,1,18,2020210,2,"2,020,170",4,2,5,9,5,3,15,2020210,3
