Name,SG: Putting-AVERAGE,SG: Approach the Green-AVERAGE,SG: Tee-to-Green-AVERAGE,SG: Off-the-Tee-AVERAGE,SG: Around-the-Green-AVERAGE
Kristoffer Ventura,0.959,-0.525,-1.576,-0.123,-0.929
Webb Simpson,0.695,0.937,1.188,0.003,0.248
Patrick Reed,0.961,0.288,0.726,0.121,0.317
Andrew Putnam,0.978,-0.156,-1.229,-0.912,-0.162
Johnson Wagner,0.288,0.012,-0.782,-0.484,-0.31
Maverick McNealy,0.559,-0.11,0.184,0.214,0.081
Kevin Na,0.84,0.368,0.264,-0.345,0.241
Richy Werenski,0.551,-0.119,-0.158,-0.123,0.085
J.T. Poston,0.75,-0.252,0.17,0.151,0.271
Bryson DeChambeau,0.557,0.486,1.569,1.055,0.029
Troy Merritt,0.422,-0.477,-0.955,-0.195,-0.283
Seamus Power,0.264,-0.167,-0.214,-0.345,0.298
Michael Gellerman,0.016,0.219,-0.722,-0.329,-0.612
Dominic Bozzelli,0.427,-0.176,-1.349,-0.918,-0.255
Tyrrell Hatton,1.086,1.194,1.947,0.4,0.353
Bronson Burgoon,0.354,0.009,0.012,-0.108,0.112
Peter Malnati,0.517,-0.576,-1.106,-0.586,0.055
John Senden,0.009,-0.699,-2.191,-0.893,-0.599
Will Gordon,0.149,-0.084,0.217,0.431,-0.13
Brendon Todd,0.31,-0.085,-0.086,0.007,-0.007
Patton Kizzire,0.552,-0.506,-1.263,-0.73,-0.026
Adam Hadwin,0.516,0.475,0.667,0.125,0.066
Beau Hossler,0.643,-0.609,-0.96,-0.215,-0.135
Scottie Scheffler,-0.024,0.284,0.867,0.636,-0.053
Chase Seiffert,0.31,0.067,-0.111,0.143,-0.321
Christiaan Bezuidenhout,0.656,0.742,0.199,-0.478,-0.066
Pat Perez,0.186,0.313,-0.133,-0.242,-0.204
Brandt Snedeker,0.594,-0.296,0.038,-0.383,0.716
Zac Blair,0.371,-0.493,-0.79,-0.398,0.101
Jamie Lovemark,0.273,0.113,-0.4,-0.628,0.115
Patrick Rodgers,0.72,-0.39,-0.128,0.231,0.031
Rhein Gibson,0.653,-0.616,-1.111,-0.732,0.236
Vincent Whaley,0.111,-0.465,-0.703,-0.053,-0.185
Scott Harrington,-0.061,-0.404,-0.121,0.282,0.001
David Hearn,0.052,-0.03,-0.226,-0.063,-0.133
Brandon Hagy,0.057,-0.488,-0.656,-0.152,-0.016
Si Woo Kim,-0.238,-0.388,-0.164,-0.164,0.388
Xinjun Zhang,-0.051,0.165,0.258,-0.011,0.105
Kevin Chappell,0.227,-0.287,-0.611,-0.219,-0.105
Cameron Davis,-0.4,0.13,0.562,0.165,0.266
Rickie Fowler,0.26,0.255,0.321,0.1,-0.034
Nelson Ledesma,0.257,-0.718,-2.001,-0.712,-0.572
Wyndham Clark,0.49,-0.571,-0.759,-0.351,0.163
Doc Redman,-0.133,0.69,0.761,0.436,-0.365
Joseph Bramlett,-0.212,0.218,0.038,-0.113,-0.067
Talor Gooch,0.273,0.103,0.125,-0.066,0.087
Charl Schwartzel,0.745,0.224,-0.45,-0.639,-0.036
Harry Higgs,0.272,-0.263,0.116,0.42,-0.041
Hank Lebioda,-0.319,-0.425,-0.676,-0.13,-0.12
Lanto Griffin,0.387,0.043,0.25,0.105,0.102
Viktor Hovland,-0.018,0.776,0.848,0.635,-0.563
Aaron Wise,-0.651,0.07,0.179,0.121,-0.013
Mark Hubbard,0.453,0.11,0.142,0.039,-0.006
Michael Thompson,0.317,-0.271,-0.411,-0.134,-0.006
Wes Roach,-0.622,-0.609,-0.298,0.125,0.186
Robby Shelton,-0.019,0.102,-0.224,0.023,-0.349
Doug Ghim,-0.247,-0.558,-0.751,-0.191,-0.003
Chesson Hadley,-0.204,0.546,0.563,0.163,-0.146
Jimmy Walker,-0.314,0.543,-0.183,-0.692,-0.033
Rafa Cabrera Bello,0.284,-0.066,-0.101,0.08,-0.115
Luke List,-0.381,0.264,0.602,0.293,0.046
Nate Lashley,0.294,-0.12,-0.217,-0.207,0.11
Brian Gay,0.211,-0.106,-0.571,-0.405,-0.06
Sam Burns,0.402,-0.43,-0.49,0.474,-0.533
Chris Stroud,-0.178,-0.044,-0.598,-0.472,-0.082
Austin Cook,0.003,-0.685,-0.212,0.424,0.049
Josh Teater,-1.051,-0.269,-0.307,-0.19,0.152
James Hahn,0.071,0.341,0.463,0.078,0.044
Bo Hoag,0.058,-0.158,-0.485,-0.239,-0.088
Sebastian Cappelen,0.187,-0.842,-0.665,0.24,-0.063
Tom Hoge,0.325,0.631,0.598,0.104,-0.137
Cameron Percy,-0.045,0.692,0.561,0.094,-0.225
Lucas Glover,-0.103,0.404,0.364,0.268,-0.308
Peter Uihlein,0.24,0.309,0.016,-0.785,0.492
Kevin Kisner,0.119,-0.243,-0.011,0.169,0.064
Matt Every,-0.877,-0.12,-0.673,-0.379,-0.174
Sungjae Im,0.313,0.385,0.935,0.521,0.029
Ricky Barnes,0.442,-0.054,-0.805,-1.144,0.393
Tyler McCumber,-0.522,0.225,0.331,0.236,-0.13
Sam Ryder,-0.007,0.169,-0.003,-0.099,-0.073
Brian Stuard,0.219,-0.024,0.252,-0.16,0.436
Brian Harman,0.267,0.233,0.552,0.124,0.195
Lucas Bjerregaard,-0.024,-0.458,-1.03,-0.436,-0.136
Scott Stallings,0.036,0.257,0.354,-0.126,0.224
Jason Day,-0.147,-0.45,0.451,0.136,0.764
Branden Grace,-0.126,0.399,0.339,-0.297,0.237
J.J. Spaun,-0.138,-0.248,-0.849,-0.134,-0.466
Mark Anderson,0.046,0.258,0.048,-0.06,-0.15
Jonathan Byrd,-0.877,0.197,-0.284,-0.274,-0.206
Tim Wilkinson,-0.042,-0.079,0.191,0.01,0.26
Bubba Watson,0.489,0.105,0.639,0.673,-0.139
Hudson Swafford,0.22,0.098,0.315,-0.01,0.227
Rob Oppenheim,-0.622,-0.086,0.195,-0.267,0.548
Zack Sucher,-0.365,-0.005,0.23,0.114,0.122
George McNeill,0.046,0.113,-0.315,-0.159,-0.269
Sepp Straka,-0.023,0.082,0.266,0.284,-0.1
Danny Willett,0.156,-0.252,-0.33,-0.135,0.057
Adam Schenk,0.237,-0.25,-0.133,0.238,-0.121
Aaron Baddeley,0.084,-0.179,-0.039,-0.599,0.739
Ryan Armour,-0.546,-0.132,0.228,0.113,0.247
Cameron Tringale,0.051,0.536,0.644,-0.048,0.156
Matt Jones,-0.083,-0.297,0.02,0.255,0.062
Michael Kim,-0.318,-0.996,-2.267,-1.513,0.242
Russell Knox,-0.143,0.561,0.351,-0.209,0
Scott Brown,-0.138,-0.471,-0.24,0.212,0.019
Arjun Atwal,-1.47,-0.495,-0.871,-0.455,0.079
Ben Taylor,0.049,0.131,-0.31,-0.29,-0.15
Matthew Wolff,0.082,-0.261,-0.252,0.519,-0.51
Bill Haas,-1.116,-0.146,-0.099,-0.254,0.3
Luke Donald,0.171,-0.08,-0.57,-1.142,0.652
Michael Gligic,-0.018,-0.34,-0.362,0.174,-0.195
Tyler Duncan,-0.107,0.297,0.085,0.001,-0.214
Rory Sabbatini,0.014,-0.095,0.392,0.207,0.28
Keegan Bradley,-0.52,0.108,0.488,0.17,0.21
Hideki Matsuyama,-0.668,0.871,1.711,0.374,0.466
Kyoung-Hoon Lee,-0.185,-0.211,0.04,0.227,0.024
Grayson Murray,-0.772,-0.333,0.167,0.366,0.134
Kyle Stanley,-0.32,0.413,0.332,-0.082,0
Harold Varner III,-0.111,0.554,1.132,0.482,0.096
Henrik Norlander,-0.201,0.006,-0.074,0.115,-0.195
Roger Sloan,-0.505,-0.49,-0.698,-0.314,0.106
Steve Stricker,0.195,-0.507,-0.364,-0.236,0.378
Alex Noren,0.167,0.08,0.351,-0.208,0.479
Ben Martin,0.086,0.022,-0.204,-0.097,-0.129
Tony Finau,-0.04,0.468,1.391,0.363,0.56
Martin Trainer,-0.398,-2.04,-2.907,-0.754,-0.112
Matt Wallace,-0.224,-0.905,-0.303,0.301,0.301
Ryan Brehm,-0.614,-0.362,-0.437,0.165,-0.239
Chris Baker,-0.732,-0.293,-0.073,0.191,0.029
Shawn Stefani,-0.386,-0.454,-0.563,0.044,-0.154
Chris Kirk,-0.829,-0.118,-0.017,0.128,-0.027
Kramer Hickok,-0.391,-0.58,-0.074,0.084,0.423
Kurt Kitayama,-0.739,0.033,0.47,0.199,0.238
C.T. Pan,-0.986,0.055,-0.074,-0.246,0.117
Robert Streb,-0.383,-0.033,-0.314,-0.047,-0.234
D.J. Trahan,-0.51,0.311,0.474,0.221,-0.058
Roberto Castro,-0.236,0.057,0.419,0.164,0.198
Bo Van Pelt,-0.807,-0.977,-1.879,-0.773,-0.129
Emiliano Grillo,-1.141,0.79,0.671,0.043,-0.163
Jason Dufner,-0.732,0.267,0.524,0.126,0.131
Kevin Tway,-0.345,0,-0.289,-0.594,0.304