Name,Scoring Average-AVG,Driving Accuracy Percentage-%,Rough Tendency-%,Hit Fairway Percentage-%,Scrambling-%,Scrambling from the Fringe-%,Sand Save Percentage-%,Scrambling from the Rough-%,One-Putt Percentage-%
Roger Sloan,71.26,0.5857,0.3043,0.5942,0.6121,0.9333,0.5455,0.5974,0.3937
Patton Kizzire,71.18,0.5256,0.3266,0.5327,0.5565,1,0.4833,0.4944,0.4274
Emiliano Grillo,70.39,0.6649,0.2736,0.6319,0.5158,0.7059,0.4043,0.4727,0.3117
Ryan Palmer,69.7,0.6411,0.2199,0.6649,0.5942,0.8889,0.4754,0.4898,0.4056
Rob Oppenheim,70.88,0.6248,0.3159,0.6209,0.6262,0.9091,0.5256,0.6441,0.3798
Matt Jones,70.28,0.5921,0.2849,0.5943,0.6007,0.8667,0.5824,0.5833,0.3858
Matthew Wolff,71.1,0.5731,0.315,0.595,0.5669,0.7727,0.4179,0.5424,0.3783
Joaquin Niemann,69.65,0.5652,0.3227,0.5812,0.5867,0.8571,0.5303,0.566,0.3732
Kevin Na,70.07,0.6325,0.2717,0.6392,0.6667,0.9231,0.5843,0.6081,0.4369
Hank Lebioda,71.49,0.589,0.3371,0.5571,0.5565,0.8,0.4658,0.6,0.3903
Brendon Todd,69.83,0.7254,0.2226,0.7281,0.7003,0.96,0.6923,0.6814,0.4455
Harry Higgs,69.8,0.6307,0.2575,0.6321,0.6404,0.92,0.4673,0.7107,0.4253
Jim Furyk,69.8,0.788,0.1398,0.7921,0.5306,0.625,0.4737,0.5172,0.3111
Cameron Percy,70,0.6178,0.2923,0.6103,0.6198,0.8846,0.4545,0.625,0.3709
Troy Merritt,70.81,0.6209,0.2911,0.6023,0.5732,0.8846,0.4154,0.5254,0.3915
Mark Hubbard,69.68,0.6412,0.2688,0.6452,0.6226,0.95,0.4894,0.6087,0.4191
J.J. Spaun,71.48,0.5642,0.3198,0.5811,0.5097,0.72,0.4921,0.4808,0.3737
Justin Thomas,68.31,0.5714,0.3545,0.5636,0.6545,0.9444,0.6279,0.5897,0.4259
Viktor Hovland,69.82,0.6603,0.2421,0.6151,0.5758,0.8889,0.4478,0.4375,0.4035
Brice Garnett,69.8,0.6439,0.2946,0.6213,0.636,0.8966,0.5139,0.5802,0.3792
Cameron Smith,69.97,0.5695,0.3414,0.5753,0.5833,1,0.5536,0.557,0.4152
Bryson DeChambeau,68.38,0.6113,0.3205,0.6096,0.675,0.9091,0.6346,0.66,0.4118
Joseph Bramlett,70.95,0.5654,0.3217,0.563,0.5374,0.9524,0.4677,0.5647,0.3591
Sung Kang,70.88,0.5792,0.3264,0.5825,0.5679,0.9167,0.4412,0.5316,0.3682
Patrick Cantlay,69.15,0.6749,0.2362,0.6732,0.5778,0.9286,0.5,0.4138,0.3833
Cameron Davis,70.63,0.5725,0.3111,0.5758,0.6261,0.8636,0.5753,0.5957,0.3861
Scott Stallings,69.89,0.5628,0.3013,0.5707,0.6085,0.8333,0.4906,0.6214,0.3877
Joel Dahmen,69.78,0.6614,0.2526,0.6674,0.6424,0.8667,0.5667,0.663,0.4141
Matthew NeSmith,69.57,0.6583,0.2555,0.6407,0.6198,0.7297,0.4815,0.5455,0.3817
Bronson Burgoon,69.56,0.5916,0.3062,0.5728,0.6093,0.8261,0.5957,0.5934,0.4259
Marc Leishman,70.34,0.5185,0.3492,0.5503,0.6136,0.9375,0.4688,0.5593,0.3937
Doc Redman,70.05,0.683,0.2354,0.6753,0.5719,0.9167,0.5402,0.566,0.3806
Bubba Watson,69.47,0.572,0.3362,0.5507,0.6117,0.9375,0.5306,0.6545,0.3816
Rory McIlroy,68.53,0.5721,0.3547,0.5434,0.6828,0.9375,0.5,0.625,0.4236
Martin Trainer,74.06,0.4714,0.3893,0.4853,0.5372,0.9167,0.5098,0.5172,0.4306
Keegan Bradley,70.39,0.5948,0.2713,0.6083,0.597,0.8621,0.5714,0.5079,0.3687
Gary Woodland,68.95,0.6541,0.2748,0.6289,0.6568,1,0.5741,0.6512,0.3757
Jordan Spieth,70.58,0.5028,0.4226,0.4792,0.5708,0.8947,0.4545,0.5484,0.4342
J.T. Poston,69.56,0.6415,0.2825,0.6301,0.6136,1,0.5714,0.5952,0.4352
Chris Stroud,70.91,0.5895,0.2929,0.5857,0.5714,0.95,0.4717,0.5763,0.4248
Wyndham Clark,70.85,0.5314,0.3974,0.4632,0.5735,0.9474,0.5077,0.5541,0.4208
Paul Casey,70.29,0.6394,0.2763,0.6711,0.5503,1,0.3571,0.5,0.3671
Carlos Ortiz,69.44,0.5536,0.3724,0.528,0.6531,0.8846,0.5143,0.6346,0.3942
Vaughn Taylor,70.17,0.6852,0.2438,0.66,0.5823,0.8696,0.4766,0.5955,0.4277
Talor Gooch,70.14,0.5714,0.3172,0.5688,0.586,0.9412,0.53,0.5327,0.3958
Luke List,70.6,0.5764,0.2834,0.5738,0.5708,0.8571,0.5821,0.5441,0.3773
Brian Harman,69.35,0.6346,0.2727,0.6486,0.6531,0.92,0.5949,0.5745,0.4348
Michael Thompson,70.61,0.66,0.2556,0.6583,0.5961,1,0.5323,0.6308,0.4028
Abraham Ancer,69.23,0.6452,0.3196,0.5923,0.6731,0.9524,0.5143,0.7797,0.4167
Dustin Johnson,69.95,0.6431,0.3128,0.6079,0.6053,0.8667,0.5806,0.5455,0.4192
Byeong Hun An,70.19,0.5474,0.3387,0.5456,0.6498,0.875,0.5213,0.6593,0.4088
Kevin Chappell,71.27,0.5466,0.3224,0.5526,0.5792,1,0.4727,0.5694,0.4074
Dylan Frittelli,70.45,0.5918,0.3065,0.5813,0.6201,0.9167,0.5426,0.593,0.4206
Tyler Duncan,70.43,0.6926,0.2485,0.6706,0.5729,0.9688,0.4444,0.5238,0.3868
Scott Harrington,70.98,0.5618,0.3002,0.5856,0.5627,0.8333,0.5682,0.4706,0.3808
James Hahn,70.37,0.5967,0.2671,0.6336,0.5723,0.9444,0.4375,0.5952,0.3519
Aaron Baddeley,70.31,0.6176,0.2844,0.5969,0.6377,0.9167,0.6,0.6104,0.4159
Adam Long,70.12,0.6597,0.2679,0.6422,0.5968,0.96,0.427,0.593,0.4013
Harold Varner III,69.98,0.6183,0.2652,0.6326,0.6007,0.8333,0.4198,0.6413,0.3803
Sungjae Im,69.23,0.6411,0.2496,0.6466,0.6453,0.9286,0.6154,0.6146,0.4185
Max Homa,70.48,0.6349,0.2638,0.6307,0.5762,0.9286,0.5625,0.5352,0.3993
Scottie Scheffler,69.25,0.6154,0.2955,0.6126,0.625,0.8667,0.5217,0.5833,0.4124
Henrik Norlander,70.58,0.6781,0.2619,0.6595,0.5261,0.9,0.4337,0.5,0.3669
Ian Poulter,69.77,0.5972,0.3515,0.5212,0.6494,1,0.6458,0.5152,0.4509
Tony Finau,69.45,0.5504,0.3208,0.5597,0.6178,1,0.4314,0.6471,0.4056
Kevin Streelman,70.58,0.6624,0.258,0.6543,0.5551,0.95,0.55,0.4918,0.3765
Rafa Cabrera Bello,70.74,0.6457,0.2871,0.622,0.6335,1,0.4426,0.7143,0.4337
Sepp Straka,70.8,0.6136,0.2819,0.6174,0.6134,0.9118,0.5082,0.6389,0.3737
Sam Burns,71.31,0.5278,0.3403,0.5324,0.5398,0.8421,0.3226,0.5634,0.3951
Austin Cook,71.05,0.6458,0.2576,0.6537,0.5701,1,0.4118,0.4945,0.3708
Patrick Reed,69.44,0.5516,0.3466,0.5483,0.6514,1,0.6,0.6557,0.4645
Stewart Cink,70.8,0.5603,0.3149,0.5539,0.5587,0.8889,0.4928,0.375,0.3825
Collin Morikawa,69.56,0.6511,0.2623,0.6412,0.6024,1,0.5542,0.5469,0.3889
Jason Kokrak,70.38,0.5904,0.3213,0.5873,0.6124,0.7333,0.5,0.74,0.3618
Peter Malnati,70.79,0.5374,0.3474,0.5409,0.6486,1,0.4808,0.6327,0.4587
Brendan Steele,70.05,0.6179,0.286,0.6081,0.5845,1,0.5472,0.4938,0.3847
Sebastian Cappelen,70.81,0.5175,0.3761,0.519,0.6137,0.9474,0.4595,0.6696,0.4044
Jon Rahm,68.88,0.6467,0.2534,0.6419,0.6435,0.9333,0.64,0.5435,0.3953
Billy Horschel,70.11,0.6544,0.2283,0.6647,0.5709,0.9375,0.5,0.5781,0.396
Jamie Lovemark,71.15,0.5071,0.3808,0.5115,0.609,1,0.6,0.4792,0.3972
Adam Schenk,70.08,0.6058,0.2847,0.5972,0.6796,0.9667,0.5,0.6506,0.4006
Charley Hoffman,70.74,0.5724,0.294,0.5614,0.527,0.9167,0.5063,0.4412,0.3979
Beau Hossler,70.74,0.5263,0.3237,0.5278,0.5831,0.9211,0.5281,0.5463,0.4036
Phil Mickelson,70.66,0.5506,0.3502,0.5161,0.6043,0.8571,0.5588,0.6,0.41
Corey Conners,69.94,0.6696,0.2528,0.6785,0.5369,0.875,0.4179,0.5,0.3391
Lanto Griffin,70.15,0.5752,0.3104,0.5851,0.6613,0.9231,0.5826,0.6423,0.4211
Sam Ryder,70.34,0.5969,0.2996,0.6011,0.6109,0.9167,0.4658,0.5946,0.3988
Jhonattan Vegas,70.23,0.6214,0.3019,0.6132,0.5604,0.9375,0.3968,0.5263,0.3639
Xander Schauffele,69.21,0.6147,0.3029,0.6,0.6646,1,0.5556,0.5882,0.4137
Keith Mitchell,71.11,0.6,0.2595,0.626,0.5667,0.8125,0.5217,0.5541,0.4053
Robby Shelton,71.02,0.6275,0.2733,0.6357,0.5446,0.8485,0.5067,0.466,0.3725
Chez Reavie,70.84,0.6985,0.2152,0.706,0.6022,0.8333,0.507,0.56,0.3671
C.T. Pan,71.15,0.6017,0.2906,0.6068,0.5944,0.75,0.4746,0.6429,0.3562
Grayson Murray,71.1,0.5468,0.3474,0.5408,0.5737,0.9474,0.4074,0.5972,0.387
Cameron Tringale,70.09,0.5272,0.373,0.5282,0.65,0.9394,0.5625,0.58,0.3973
Kyle Stanley,70.51,0.6996,0.2354,0.6614,0.5846,0.7391,0.5254,0.5179,0.3632
Brian Stuard,70.11,0.7163,0.2357,0.6857,0.6359,0.8333,0.5408,0.6667,0.4199
Patrick Rodgers,70.22,0.5133,0.3798,0.5193,0.5866,1,0.5287,0.5658,0.398
Lucas Glover,70.51,0.66,0.232,0.6768,0.5533,0.7647,0.4819,0.5263,0.3853
Brandt Snedeker,69.84,0.6005,0.313,0.5983,0.6257,1,0.5472,0.5091,0.405
Zac Blair,70.83,0.6217,0.298,0.616,0.6387,0.963,0.5743,0.6119,0.4306
Danny Willett,72.09,0.513,0.4294,0.4908,0.5474,1,0.5854,0.5455,0.4343
Tom Hoge,70.15,0.6283,0.2869,0.6275,0.6557,0.9524,0.4865,0.6455,0.4227
Luke Donald,70.6,0.5914,0.2549,0.6013,0.5714,0.8571,0.3182,0.5333,0.4333
Brian Gay,70.69,0.5723,0.3087,0.5581,0.5886,0.875,0.4045,0.6226,0.4161
Matt Wallace,71.8,0.5679,0.362,0.5399,0.5603,1,0.6389,0.5556,0.4194
Justin Rose,70.23,0.6104,0.352,0.5531,0.5403,0.9,0.6486,0.3929,0.4268
Louis Oosthuizen,70.55,0.6232,0.2847,0.6058,0.5364,0.8889,0.4444,0.6129,0.4111
Denny McCarthy,69.8,0.6019,0.2832,0.6129,0.5904,1,0.4835,0.6224,0.4105
Ryan Moore,70.34,0.6824,0.2607,0.6321,0.6167,0.9231,0.5926,0.6061,0.408
Danny Lee,70.07,0.5875,0.2949,0.5667,0.6339,1,0.5875,0.597,0.407
Kyoung-Hoon Lee,70.85,0.6552,0.2752,0.6174,0.6349,0.9118,0.5455,0.5769,0.4028
Richy Werenski,70.37,0.5776,0.3511,0.5455,0.5936,0.9583,0.4032,0.6087,0.4037
Bud Cauley,70.05,0.5942,0.2952,0.583,0.6705,0.8,0.6538,0.6731,0.4015
Jason Day,70.36,0.5652,0.3696,0.529,0.6181,0.875,0.6154,0.5,0.4
Si Woo Kim,71.6,0.5523,0.3231,0.546,0.5824,0.9286,0.5116,0.5634,0.3981
Zach Johnson,70.28,0.6245,0.2895,0.634,0.6425,0.9333,0.5789,0.6029,0.396
Kevin Tway,71.16,0.4848,0.3754,0.4887,0.5556,1,0.4576,0.52,0.3933
Kevin Kisner,70.51,0.6789,0.2244,0.6987,0.6311,0.8182,0.5645,0.6667,0.3997
Lucas Bjerregaard,71.94,0.4412,0.3576,0.4424,0.5044,1,0.4828,0.4651,0.3922
Matthew Fitzpatrick,70.28,0.6501,0.2738,0.6468,0.5771,0.8333,0.5094,0.5238,0.4028
Scott Brown,71.3,0.681,0.2442,0.6863,0.6044,0.8235,0.4578,0.6154,0.3911
Xinjun Zhang,70.61,0.5947,0.307,0.5882,0.5582,0.9615,0.4898,0.5357,0.386
Mackenzie Hughes,71.05,0.5669,0.2964,0.5706,0.5727,1,0.5231,0.5667,0.3933
Matt Every,71.94,0.566,0.3017,0.5726,0.4813,0.8462,0.3519,0.5,0.375
Hudson Swafford,70,0.5544,0.285,0.5803,0.6136,1,0.5484,0.4667,0.381
Branden Grace,70.1,0.5427,0.428,0.4735,0.58,0.7857,0.5472,0.6042,0.3961
Russell Knox,69.82,0.6157,0.2531,0.6049,0.6434,1,0.5676,0.625,0.378
Sergio Garcia,70.15,0.6139,0.3261,0.5942,0.5781,0.8571,0.5238,0.5833,0.3868
Bo Hoag,70.19,0.6271,0.2698,0.6188,0.5976,0.9091,0.4328,0.5862,0.3664
Bo Van Pelt,73.03,0.5537,0.3559,0.5225,0.4973,0.875,0.25,0.5397,0.3574
D.J. Trahan,70.08,0.6576,0.264,0.646,0.5803,0.875,0.4333,0.5714,0.3589
Ryan Armour,70.63,0.7406,0.1994,0.7539,0.5604,0.8182,0.4444,0.5529,0.3639
Russell Henley,70.27,0.6429,0.2768,0.6301,0.6216,0.9545,0.4348,0.6032,0.3574
Shane Lowry,70.3,0.6159,0.3094,0.6259,0.6316,0.75,0.619,0.7037,0.3556
Will Gordon,70.4,0.5286,0.3453,0.5252,0.5818,1,0.5417,0.4359,0.3444
Aaron Wise,70.45,0.5987,0.3094,0.5791,0.5669,0.7273,0.5116,0.5938,0.3367
J.J. Henry,72.14,0.6382,0.2917,0.6012,0.5484,0.875,0.2778,0.6875,0.328
