Name,AvgPointsPerGame,Driving Accuracy Percentage-%,Rough Tendency-%,Hit Fairway Percentage-%,Scrambling-%,Scrambling from the Fringe-%,Sand Save Percentage-%,Scrambling from the Rough-%,Birdie Average-AVG,Bogey Average-AVERAGE BOGEYS PER ROUND,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,SG: Total-AVERAGE,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Off-the-Tee-AVERAGE,SG: Tee-to-Green-AVERAGE,1-Putts per Round-AVG,One-Putt Percentage - Round 1-%,One-Putt Percentage - Round 3-%,One-Putt Percentage-%,One-Putt Percentage - Round 2-%,3-Putts per Round-AVG,Greens in Regulation Percentage-%,Greens or Fringe in Regulation-%,Birdie or Better Conversion Percentage-%,Birdie or Better Percentage - Fairway-%,Birdie or Better Percentage - Rough-%,Birdie or Better Percentage - Right Rough-%,Birdie or Better Percentage - Left Rough-%,GIR Percentage from Other than Fairway-%,Fairway Approach (RTP Score)-AVG RTP,Going for the Green - Birdie or Better-%,Going for the Green - Hit Green Pct-%,GIR Pct - Fairway Bunker-%,Approaches Left Rough (RTP Score)-AVG RTP,GIR Percentage from Fairway-%,Approaches Right Rough (RTP Score)-AVG RTP,Par 5 Going for the Green-%,Front 9 Par 4 Scoring Average-AVG,Back 9 Par 4 Scoring Average-AVG,Scoring Average Before Cut-AVG,Final Round Scoring Average-AVG,Round 3 Scoring Average-AVG,Round 2 Scoring Average-AVG,Round 1 Scoring Average-AVG,Front 9 Round 1 Scoring Average-AVG,Back 9 Round 1 Scoring Average-AVG,Front 9 Par 3 Scoring Average-AVG,Back 9 Par 3 Scoring Average-AVG,Par 5 Performance-PAR 5 AVG,Par 4 Performance-PAR 4 AVG,Par 4 Scoring Average-AVG,Par Breakers-%,Bounce Back-%,Birdie or Better Percentage-%,Back 9 Scoring Average-AVG,Back 9 Par 5 Scoring Average-AVG,Par 4 Birdie or Better Leaders-%,Back 9 Round 3 Scoring Average-AVG,Par 5 Scoring Average-AVG,Par 3 Scoring Average-AVG,Par 5 Birdie or Better Leaders-%,Front 9 Round 4 Scoring Average-AVG,Par 3 Birdie or Better Leaders-%,Stroke Differential Field Average-STROKE DIFFERENTIAL,Eagles (Holes per)-# OF EAGLES,Scoring Average (Actual)-ROUNDS,Front 9 Par 5 Scoring Average-AVG,Par 3 Performance-PAR 3 AVG,Percentage of Yardage covered by Tee Shots-AVG (%),Right Tendency-%,Right Tendency-AVG RTP SCORE,Percentage of Yardage covered by Tee Shots - Par 4's-AVG (%),Left Tendency-%,Left Tendency-AVG RTP SCORE,Left Rough Tendency (RTP Score)-RTP SCORE,Right Rough Tendency (RTP Score)-RTP SCORE,Fairway Bunker Tendency-RELATIVE TO PAR,Right Rough Tendency-%,Left Rough Tendency-%,Proximity to Hole (ARG)-SCRAMBLING RANK,Proximity to Hole from Fringe-SCRAMBLING RANK,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling from Other Locations-%,Scrambling from the Sand-%,Scrambling Rough (RTP Score)-AVG RTP
Roger Sloan,38.61,58.57,30.43,59.42,61.21,93.33,54.55,59.74,3.23,2.79,1.09,-1.163,-0.635,0.155,-0.497,-0.238,-0.423,7.06,36.9,48.61,39.37,38.46,0.64,64.44,67.68,27.23,17.89,12.5,17.65,8.7,52.88,-0.008,46.15,14.63,50,0.109,74.17,0.147,53.23,4.04,4.06,71.55,70.33,70,70.77,72.31,35.85,36.36,3.11,3.27,4.59,4.05,4.04,18.86,20.21,18.86,36.12,4.75,16.67,35.5,4.59,3.18,41.23,35,6.06,-0.66,5,35,4.42,3.2,63.25,43.6,1.67,67.29,56.4,1.13,0,0.125,0.25,14.49,15.94,72,80,-0.067,64.79,49.02,0.429
Patton Kizzire,42.46,52.56,32.66,53.27,55.65,100,48.33,49.44,3.54,2.81,1.07,-1.103,0.537,-0.066,-0.754,-0.807,-1.62,7.46,46.83,35.19,42.74,43.59,0.32,61.97,67.38,31.64,20.69,16.13,18.46,13.56,48.18,-0.052,60.38,17.24,57.1,0.169,76.75,0.077,53.66,4.09,4.11,70.86,73,70.83,72,70.08,35.38,34.64,3.06,3.07,4.65,4.1,4.09,19.97,17.95,19.97,35.78,4.66,15.69,36,4.65,3.06,43.97,35.8,14.19,-0.95,3,39,4.65,3.06,62.97,53.3,1.24,66.37,46.7,2.47,0.133,0,0.036,17.59,15.08,171,182,-0.053,56.57,50,0.584
Emiliano Grillo,47,66.49,27.36,63.19,51.58,70.59,40.43,47.27,3.71,2.77,1.28,-0.478,-1.127,-0.138,0.725,0.11,0.712,5.59,31.48,27.78,31.17,35.47,0.67,72.76,78.7,27.61,19.06,18.57,19.35,17.95,56.91,-0.04,64.58,33.33,75,0.205,81.72,0.097,59.09,4.05,4.02,70.48,70.5,69.83,70.85,70.14,35.5,34.67,3.09,2.99,4.6,4.04,4.04,21.23,25.89,21.23,35.03,4.55,15.87,34.67,4.6,3.04,47.73,35,14.38,0.18,5,41,4.65,3.04,62.6,41.3,2.22,65.88,58.7,1.72,0.18,0.147,0.125,11.07,16.29,221,216,0.294,57.63,36.67,0.527
Ryan Palmer,70.64,64.11,21.99,66.49,59.42,88.89,47.54,48.98,4.18,2.61,1.47,0.404,-0.197,-0.275,0.188,0.567,0.395,7.17,39.9,39.58,40.56,37.78,0.61,68.06,72.58,33.33,23.94,15.12,12.2,17.78,56.57,-0.079,60.94,22.37,56.7,0.089,75.68,0.122,66.67,4.04,3.99,69.23,70.13,71.13,69,70.1,34.7,35.27,3.05,3.09,4.52,4.02,4,23.3,30.61,23.3,35.14,4.53,19.04,36.38,4.52,3.05,54.1,35.5,13.89,0.71,3,40,4.5,3.07,64.24,53.7,1.97,67.63,46.3,0.88,0.045,0.2,0.233,10.47,11.52,79,108,0.056,61.43,51.43,0.551
Rob Oppenheim,54.3,62.48,31.59,62.09,62.62,90.91,52.56,64.41,3.33,2.55,1.21,-0.313,-0.529,0.565,-0.037,-0.312,0.216,6.84,40,33.33,37.98,37.04,0.55,64.51,69.87,26.73,18.31,17.78,14.86,21.31,51.36,-0.042,54.39,19.3,45.8,-0.082,75.47,0.162,52.88,4.03,4.08,70.47,70.22,72.6,71.33,69.67,34.67,35,3.07,3.03,4.64,4.06,4.06,19.39,14.06,19.39,35.67,4.68,14.91,36.6,4.64,3.05,43.83,34.78,11.17,0,8,49,4.59,3.05,60.73,54.9,3.05,64.47,45.1,-0.26,-0.029,0.187,0.375,16.34,15.25,61,55,-0.03,52.48,60.66,0.322
Matt Jones,58.88,59.21,28.49,59.43,60.07,86.67,58.24,58.33,3.69,2.7,1.26,0.091,-0.135,0.147,-0.201,0.317,0.234,6.94,38.89,38.38,38.58,41.45,0.68,66.67,70.63,30.23,20.55,17.48,20.78,13.64,54.45,-0.063,59.74,26.67,50,0.106,77.15,0.052,63.21,4.02,4.07,69.97,71,70.27,68.85,71.4,35.33,35.88,3.04,3.14,4.54,4.05,4.04,20.78,20,20.78,35.58,4.56,15.3,35.36,4.54,3.08,52.47,35.27,13.93,0.36,7,54,4.51,3.07,64.03,55,1.03,67.46,45,1.05,0.086,0.037,0.109,15.28,13.21,103,96,0.133,60.48,54.84,0.464
Matthew Wolff,56.38,57.31,31.5,59.5,56.69,77.27,41.79,54.24,3.52,2.68,1.18,-0.195,0.022,-0.494,-0.227,0.509,-0.16,6.75,36.11,38.27,37.83,36.36,0.4,64.68,70.97,30.53,20.17,14.04,20.75,8.2,52.08,-0.063,59.04,33.33,47.8,0.148,79.06,0.075,72.83,4.06,4.03,70.8,70.78,72.22,70.73,70.91,35.09,35.92,3.1,3.13,4.64,4.05,4.05,20,25.44,20,35.65,4.63,15.89,36.44,4.64,3.11,47.1,35.22,8.13,-0.17,3,42,4.65,3.13,65.84,46.2,0.42,69.31,53.8,2.86,0.106,-0.05,0.304,15,16.5,171,168,0.227,60.47,46.34,0.508
Joaquin Niemann,64.54,56.52,32.27,58.12,58.67,85.71,53.03,56.6,3.98,2.43,1.48,1.019,0.052,-0.103,0.66,0.365,0.731,6.64,34.92,35.42,37.32,38.89,0.64,71.01,77.46,31.01,24.43,14.88,14.52,15.25,58.85,-0.144,58.57,26.58,48.1,0.034,81.71,0.177,66.3,3.97,4.03,69.82,69.38,70.75,69.77,70.08,35,35,2.97,3.1,4.59,4,3.97,21.96,19.63,21.96,35.36,4.54,17.47,36.38,4.59,3.03,46.48,34.13,15.48,0.68,5,46,4.66,3.04,64.17,49.7,1.49,67.92,50.3,0.8,0,0.082,0.333,16.7,15.56,111,119,0.048,55.26,56.76,0.472
Kevin Na,63.96,63.25,27.17,63.92,66.67,92.31,58.43,60.81,3.93,2.14,1.64,0.92,0.769,0.252,0.343,-0.444,0.151,7.86,39.74,47.53,43.69,45.3,0.43,64.77,70.66,33.01,25.84,12.61,16.39,8,44.25,-0.148,58.57,18.57,52.2,0.22,77.89,0.066,54.81,4.02,4.01,70.07,70.33,69.44,69.46,70.92,35.69,35.23,3.02,2.9,4.61,4.02,4.02,22.35,20.59,22.35,35.11,4.59,17.13,35.11,4.61,2.97,45.95,34.67,16.38,0.71,4,44,4.64,2.97,62.1,54.5,1.31,66.45,45.5,2.43,0.113,0.145,0.087,15.37,11.8,12,11,-0.115,65.82,62.75,0.459
Hank Lebioda,46.21,58.9,33.71,55.71,55.65,80,46.58,60,3.44,2.97,1.06,-1.246,-0.403,-0.165,-0.564,-0.113,-0.843,7.03,38.49,34.26,39.03,38.49,0.74,64.67,66,29.65,21.27,13.08,12.77,13.33,51.34,-0.044,46.81,17.02,45.8,0.117,74.45,0.34,57.69,4.03,4.18,72.27,68.4,69.67,73.14,71.71,35.5,36.21,3.05,3.06,4.66,4.11,4.11,19.94,16.41,19.94,35.95,4.52,16.31,35.33,4.66,3.06,42.19,34.6,11.46,-0.81,6,39,4.81,3.06,62.51,47,3.1,66.26,53,2,0.123,0.34,0.208,15.14,18.57,189,182,0.2,50.72,46.15,0.419
Brendon Todd,63.94,72.54,22.26,72.81,70.03,96,69.23,68.14,3.83,2.12,1.69,0.068,0.337,0.015,-0.197,-0.075,-0.291,8.06,43.4,44.44,44.55,45.19,0.54,65.81,68.02,31.06,19.57,14.04,8.2,20.75,52.53,-0.068,55.17,12.9,44.4,0.038,74.7,0.115,40.32,3.97,3.99,69.73,69.9,69.6,70.2,69.53,34.87,34.63,2.96,2.96,4.66,3.98,3.97,22,25.45,22,35.14,4.72,18.93,35.2,4.66,2.97,36.14,34.3,17.86,0.94,4,52,4.6,2.96,60.07,49.3,0.99,63.99,50.7,1.51,0.086,0.109,0.111,11.68,10.58,1,1,-0.08,64.76,73.02,0.301
Harry Higgs,66.76,63.07,25.75,63.21,64.04,92,46.73,71.07,3.93,2.11,1.63,0.523,0.338,-0.025,-0.237,0.459,0.281,7.6,42.16,40.17,42.53,44.44,0.35,66.67,70.8,31.87,22.49,17.22,18.18,16.22,54.58,-0.095,55.81,15.31,56,-0.027,76.69,0.078,59.38,4,3.88,69.5,70.58,69.85,69.13,70.13,34.69,35.41,3.12,3.08,4.68,3.94,3.94,22.42,18.18,22.42,34.67,4.72,20.45,34.38,4.68,3.1,43.09,35.83,12.66,0.85,7,61,4.64,3.1,64.13,55.3,0.17,67.85,44.7,0.62,-0.027,-0.025,0.1,13.38,12.37,39,39,-0.08,66.12,42.25,0.38
Jim Furyk,52.25,78.8,13.98,79.21,53.06,62.5,47.37,51.72,3.72,2.13,1.6,0.497,-0.071,-0.057,0.637,-0.051,0.549,5.61,23.61,32.22,31.11,35.71,0.52,75.56,79.55,25.59,21.52,20.51,23.81,16.67,62.12,-0.079,51.61,17.65,64.3,0.167,81.96,-0.143,46.43,3.96,4,69.94,70,69,69,71,34.71,36.25,3.1,3.11,4.56,3.98,3.98,21.26,30,21.26,35.3,4.66,16.6,35.2,4.56,3.11,47.3,35,16.13,0.44,1,25,4.43,3.1,61.42,58.2,-0.31,64.95,41.8,1.3,0.067,-0.042,-0.071,8.6,5.38,201,211,0.25,59.38,46.43,0.517
Cameron Percy,58.18,61.78,29.23,61.03,61.98,88.46,45.45,62.5,3.68,2.08,1.61,0.621,0.089,-0.295,0.636,0.191,0.532,6.68,35.35,34.03,37.09,40.4,0.51,71.17,76.67,28.33,23.05,16.35,19.57,13.79,64.65,-0.103,46.34,19.51,58.3,0.069,78.13,-0.065,48.68,3.92,3.98,69.7,69.71,70.88,69.55,70,34.82,35.18,3.16,3.08,4.63,3.95,3.95,21.02,18.75,21.02,35.22,4.68,19.85,36.13,4.63,3.12,37.5,34.86,10.81,0.47,4,37,4.58,3.12,62.78,46.3,-0.81,66.99,53.7,1.11,0.066,-0.122,0.042,11.75,17.48,75,62,0.038,61.43,46.15,0.375
Troy Merritt,53.38,62.09,29.11,60.23,57.32,88.46,41.54,52.54,3.81,2.58,1.27,-0.548,0.432,-0.231,-0.479,-0.279,-0.886,7.08,38.03,42.86,39.15,39.35,0.47,65.21,67.62,30.63,21.1,17.24,14.81,21.21,51.28,-0.021,58,19.3,40,-0.182,76.51,0.167,53.85,3.98,4.03,70.64,72,70,70.42,71.17,34.83,36.38,3.08,3.12,4.76,4,4.01,21.78,20.72,21.78,35.84,4.79,19.95,35.57,4.76,3.09,41.3,36,12.1,-0.15,1,42,4.73,3.1,61.86,61.7,2.07,65.4,38.3,0.59,-0.184,0.127,0.4,18.16,10.95,148,150,-0.115,58.02,50,0.492
Mark Hubbard,67.19,64.12,26.88,64.52,62.26,95,48.94,60.87,3.79,2.15,1.57,0.574,0.477,0.04,0.076,0.005,0.124,7.43,43.06,40.28,41.91,42.22,0.32,66.37,70.71,32.11,23.03,13.14,11.69,15,51.29,-0.112,67.95,25.88,48.7,0.05,77.02,0.104,59.32,3.98,4.02,69.97,70.73,67.75,70.8,69.8,34.53,35.13,3.03,3.04,4.56,4,4,21.7,20.33,21.7,34.87,4.43,17.1,33.83,4.56,3.03,50,35.27,14.08,0.56,8,57,4.7,3.03,61.5,53.6,2.02,64.97,46.4,0.56,0.015,0.159,0.205,14.7,12.19,51,59,0,67.59,48.65,0.435
J.J. Spaun,48.96,56.42,31.98,58.11,50.97,72,49.21,48.08,3.66,3,1.06,-0.763,-0.077,-0.488,-0.19,-0.038,-0.782,6.57,37.7,35.19,37.37,37.61,0.52,65.4,69.44,30.23,21.99,13.64,16.88,9.09,51.18,-0.095,50,20,48.1,0.182,77.78,0.208,53.85,4.08,4.11,71.33,71.14,73.22,71.23,71,35.15,35.79,3.01,3.12,4.69,4.09,4.1,20.37,16.79,20.37,36.1,4.71,16.33,37.33,4.69,3.06,43.15,35,13.02,-0.93,2,44,4.66,3.08,62.9,56.6,2.14,66.95,43.4,1.39,0.069,0.083,0.296,18.92,13.06,220,220,0.28,52.56,46.81,0.558
Justin Thomas,89.46,57.14,35.45,56.36,65.45,94.44,62.79,58.97,4.86,2,2.29,2.024,0.292,0.273,1.057,0.395,1.773,7.63,46.11,43.65,42.59,41.36,0.44,71.76,77.18,37.42,25.89,25.93,25.49,26.32,65.13,-0.149,69.12,22.78,63.2,-0.088,79.84,-0.196,74.32,3.93,3.88,68.6,68.43,68.43,68.11,69,34.78,34.6,3.09,2.95,4.44,3.9,3.9,27.08,29.03,27.08,34.34,4.52,22.25,34.71,4.44,3.02,62.28,33.71,12.5,2.13,2,36,4.34,3.03,66.25,44.9,-1.94,70.74,55.1,-0.53,-0.131,-0.196,-0.105,16.97,18.48,21,19,-0.056,64.29,61.9,0.41
Viktor Hovland,64.81,66.03,24.21,61.51,57.58,88.89,44.78,43.75,3.84,2.44,1.44,0.65,0.129,-0.779,0.561,0.649,0.3,7.21,38.89,42.86,40.35,42.78,0.35,68.27,71.46,31.9,24.89,9.09,3.45,13.51,50.31,-0.1,43.59,15.69,33.3,0.135,79.87,0.172,74,4.04,3.95,70.04,70.71,69,69.6,70.9,36.4,34.45,3.09,2.96,4.67,4,3.99,22.39,17.98,22.39,35,4.75,17.36,35,4.67,3.03,45.83,35.43,18.44,0.74,6,38,4.55,3.04,64.32,44.3,2.56,67.78,55.7,1.67,0.056,0,0.4,9.92,14.29,122,146,0,66.67,43.9,0.688
Brice Garnett,57,64.39,29.46,62.13,63.6,89.66,51.39,58.02,3.65,2.21,1.52,0.475,0.334,0.147,-0.18,0.188,-0.081,6.83,39.68,37.04,37.92,35.9,0.36,69.44,75.59,28.22,18.68,15.52,13.11,18.18,53.81,-0.079,48.94,20,38.9,-0.036,79.31,0.197,47.67,4.01,3.97,70.27,68.14,70.44,69.85,71,35.15,35.57,3.02,3.02,4.64,3.99,3.98,20.11,26.09,20.11,35.1,4.69,16.78,34.89,4.64,3.02,41.78,33.71,13.02,0.59,2,46,4.58,3.03,62.52,50.7,1.43,66.22,49.3,0.93,-0.086,0.115,0.389,15.1,14.36,47,44,0,67.61,53.45,0.432
Cameron Smith,64.85,56.95,34.14,57.53,58.33,100,55.36,55.7,4.18,2.56,1.52,0.384,0.6,0.081,-0.262,-0.086,-0.269,7.5,36.57,36.51,41.52,48.48,0.44,66.67,71.07,34.73,26.83,18.42,20.75,16.39,51.83,-0.149,68.97,29.03,34.8,0.115,83.22,0.019,57.89,3.97,3.99,70.13,69.14,70.29,69.18,71,35.82,35.25,3.12,3,4.62,3.98,3.99,24.38,18.37,24.38,35.14,4.64,21.17,35.14,4.62,3.06,51.69,34.57,11.81,0.5,6,38,4.59,3.06,64.06,43.3,0.31,67.61,56.7,2,0.103,-0.085,0.435,15.86,18.28,141,129,-0.111,62.26,54.29,0.43
Bryson DeChambeau,81.83,61.13,32.05,60.96,67.5,90.91,63.46,66,4.38,1.93,2.18,2.102,0.474,0.072,0.523,1.098,1.588,7.37,43.21,36.51,41.18,37.5,0.4,71.41,78.43,33.72,25.82,19.83,21.54,17.65,57.49,-0.185,55.79,27.78,43.8,-0.059,81.82,-0.062,77.17,3.93,3.92,67.61,68.14,70.71,67.5,68.25,34.5,33.78,2.93,2.95,4.52,3.93,3.92,24.63,28.81,24.63,34.4,4.48,19.51,35.71,4.52,2.93,53.85,34.29,18.33,2.09,5,34,4.58,2.95,66.81,54.7,0.37,70.41,45.3,0.44,-0.05,-0.068,0.25,17.59,14.46,5,5,-0.091,64.06,68.57,0.28
Joseph Bramlett,56.33,56.54,32.17,56.3,53.74,95.24,46.77,56.47,3.59,2.73,1.19,-0.284,-0.189,-0.053,0.219,-0.262,-0.096,6.46,28.7,43.83,35.91,37.04,0.73,69.24,72.84,29.16,21.26,14.17,11.59,17.65,55.82,-0.075,53.06,36.73,61.3,0.118,81.79,0.145,53.66,4.04,4.07,71.08,70.88,70.56,70.67,71.58,35.5,36.08,3.05,3.12,4.62,4.06,4.06,20.6,16.95,20.6,35.85,4.69,17.31,35.89,4.62,3.08,44.03,35.25,10.3,-0.18,5,41,4.53,3.08,62.06,53.7,2.3,65.4,46.3,1.73,0,0.121,0.355,17.69,14.48,207,203,0,45.71,44.9,0.482
Sung Kang,58.97,57.92,32.64,58.25,56.79,91.67,44.12,53.16,3.92,2.78,1.29,-0.066,-0.456,-0.2,0.286,0.331,0.548,6.71,34.81,40.91,36.82,40.48,0.76,68.41,74.86,30.4,23.7,21.02,27.5,14.29,60.84,-0.078,58.62,18.18,53.3,0.143,78.2,-0.038,71.67,4.01,4.08,70.9,71.3,71.18,70.36,70.43,35.29,35.13,3.18,3.06,4.56,4.04,4.05,22.79,20,22.79,35.65,4.55,17.33,36.36,4.56,3.13,50.6,36,13.2,0.15,4,51,4.57,3.13,65.27,50,0.49,69.31,50,1.47,0.124,-0.036,0.1,15.75,16.89,181,166,-0.25,60.71,35.85,0.519
Patrick Cantlay,86.79,67.49,23.62,67.32,57.78,92.86,50,41.38,4.65,2.25,2.06,1.772,0.096,0.235,1.093,0.348,1.676,6.9,44.44,43.33,38.33,28.89,0.55,75,81.79,34.07,29.67,13.21,10,17.39,64.13,-0.191,55.36,19.64,60,-0.13,83.77,0.167,73.44,3.96,3.88,68.82,69.8,69.8,69.4,67.6,33.2,34.4,2.98,3.06,4.49,3.92,3.92,26.94,25.58,26.94,34.9,4.59,22.27,35.8,4.49,3.01,54.17,34.8,14.29,1.89,4,20,4.35,3.01,65.77,50,2.37,70.88,50,0.26,-0.133,0.133,0.2,11.81,11.81,154,141,-0.214,60,50,0.552
Cameron Davis,57.57,57.25,31.11,57.58,62.61,86.36,57.53,59.57,3.73,2.7,1.3,0.158,-0.412,0.211,0.18,0.18,0.571,6.95,35.04,42.06,38.61,41.03,1.03,68.06,74.21,29.36,24.49,14.29,13.7,15.09,52.3,-0.093,58.57,30,28,0.019,81.88,0.219,79.07,4.05,4.06,70.75,70,70.71,69.46,72.08,36.23,35.85,3.06,3.04,4.58,4.05,4.05,21.67,18.58,21.67,35.45,4.63,17.1,35.86,4.58,3.05,46.97,34.71,13.04,0.21,7,40,4.52,3.05,64.08,58.8,2.47,67.54,41.2,1.32,-0.085,0.149,0.16,19.02,12.08,62,56,-0.045,60,62.5,0.426
Scott Stallings,63.12,56.28,30.13,57.07,60.85,83.33,49.06,62.14,3.62,2.27,1.5,0.141,-0.036,0.169,0.139,-0.156,0.123,6.83,37.61,37.04,38.77,38.43,0.49,68.02,73.12,29.67,21.83,13.33,8.51,17.24,55.47,-0.121,60,27.87,40,0.069,81.39,0.255,53.57,4,4.02,69.68,69.75,70.56,70.92,68.92,34.08,34.85,3,3,4.61,4.01,4,21.54,12.87,21.54,35.1,4.6,17.01,35,4.61,2.99,42.36,34.13,16.36,0.44,11,45,4.61,3,63.04,49.4,3.25,66.82,50.6,1.27,0.034,0.259,0.367,14.4,15.73,63,89,0.111,62.69,47.83,0.388
Joel Dahmen,68.53,66.14,25.26,66.74,64.24,86.67,56.67,66.3,3.73,2.47,1.46,1.031,-0.198,0.123,0.735,0.478,1.312,7.41,37.04,44.44,41.41,43.25,0.39,64.55,73.08,31.24,23.24,13.64,12.7,14.89,46.69,-0.12,53.42,30.12,37.9,0.106,74.52,0.048,59.22,3.98,3.95,69.84,69.73,69.58,69.5,70.64,35.71,34.93,3.07,2.93,4.76,3.96,3.95,21.24,21.31,21.24,34.78,4.67,19.09,35.08,4.76,3,35.67,35,16.27,0.76,7,55,4.88,3,63.35,56.1,1.59,66.69,43.9,1.59,-0.043,0.118,0.414,15.61,9.65,35,37,-0.033,64.95,60.71,0.359
Matthew NeSmith,64.44,65.83,25.55,64.07,61.98,72.97,48.15,54.55,3.94,2.18,1.64,0.764,0.328,-0.114,0.538,0.001,0.318,6.9,39.24,40,38.17,33.33,0.46,71.19,76.11,30.38,21.29,16.13,10.61,22.41,54.32,-0.109,56.72,20.51,52.4,-0.017,83.99,0.182,59.43,4,3.98,69.79,69.1,69.3,70.67,69.4,34.4,34.81,2.98,3,4.59,3.99,3.98,22.11,20.35,22.11,34.9,4.62,17.56,34.8,4.59,2.99,47.65,34.4,15.42,0.91,6,54,4.57,2.99,61.95,51.4,1.41,65.29,48.6,0.23,-0.034,0.116,0.071,13.77,11.78,69,62,0.189,73.08,54.39,0.511
Bronson Burgoon,56.23,59.16,30.62,57.28,60.93,82.61,59.57,59.34,4.31,2.51,1.67,0.634,0.398,0.173,0.195,-0.126,0.384,7.68,41.03,46.03,42.59,41.92,0.38,67.38,72.22,34.25,24.39,14.66,13.92,16.22,54.72,-0.144,61.11,15.79,60,0.054,77.45,0.101,50,3.94,4.01,69.96,68,69.57,70.09,69.75,34.25,35.38,2.97,2.99,4.58,3.97,3.99,24.62,24.47,24.62,35.11,4.64,19,35.14,4.58,2.97,50,33.29,19.59,0.8,2,39,4.52,2.98,62.84,64.7,0.65,67.04,35.3,0.34,-0.051,0.047,-0.086,20.99,9.63,88,86,0.087,60.94,51.35,0.396
