Name,AvgPointsPerGame,Driving Accuracy Percentage-%,Rough Tendency-%,Hit Fairway Percentage-%,Scrambling-%,Scrambling from the Fringe-%,Sand Save Percentage-%,Scrambling from the Rough-%,Birdie Average-AVG,Bogey Average-AVERAGE BOGEYS PER ROUND,Birdie to Bogey Ratio-BIRDIE TO BOGEY RATIO,SG: Total-AVERAGE,SG: Putting-AVERAGE,SG: Around-the-Green-AVERAGE,SG: Approach the Green-AVERAGE,SG: Off-the-Tee-AVERAGE,SG: Tee-to-Green-AVERAGE,1-Putts per Round-AVG,One-Putt Percentage - Round 1-%,One-Putt Percentage - Round 3-%,One-Putt Percentage-%,One-Putt Percentage - Round 2-%,3-Putts per Round-AVG,Greens in Regulation Percentage-%,Greens or Fringe in Regulation-%,Birdie or Better Conversion Percentage-%,Birdie or Better Percentage - Fairway-%,Birdie or Better Percentage - Rough-%,Birdie or Better Percentage - Right Rough-%,Birdie or Better Percentage - Left Rough-%,GIR Percentage from Other than Fairway-%,Fairway Approach (RTP Score)-AVG RTP,Going for the Green - Birdie or Better-%,Going for the Green - Hit Green Pct-%,GIR Pct - Fairway Bunker-%,Approaches Left Rough (RTP Score)-AVG RTP,GIR Percentage from Fairway-%,Approaches Right Rough (RTP Score)-AVG RTP,Par 5 Going for the Green-%,Front 9 Par 4 Scoring Average-AVG,Back 9 Par 4 Scoring Average-AVG,Scoring Average Before Cut-AVG,Final Round Scoring Average-AVG,Round 3 Scoring Average-AVG,Round 2 Scoring Average-AVG,Round 1 Scoring Average-AVG,Front 9 Round 1 Scoring Average-AVG,Back 9 Round 1 Scoring Average-AVG,Front 9 Par 3 Scoring Average-AVG,Back 9 Par 3 Scoring Average-AVG,Par 5 Performance-PAR 5 AVG,Par 4 Performance-PAR 4 AVG,Par 4 Scoring Average-AVG,Par Breakers-%,Bounce Back-%,Birdie or Better Percentage-%,Back 9 Scoring Average-AVG,Back 9 Par 5 Scoring Average-AVG,Par 4 Birdie or Better Leaders-%,Back 9 Round 3 Scoring Average-AVG,Par 5 Scoring Average-AVG,Par 3 Scoring Average-AVG,Par 5 Birdie or Better Leaders-%,Front 9 Round 4 Scoring Average-AVG,Par 3 Birdie or Better Leaders-%,Stroke Differential Field Average-STROKE DIFFERENTIAL,Eagles (Holes per)-# OF EAGLES,Scoring Average (Actual)-ROUNDS,Front 9 Par 5 Scoring Average-AVG,Par 3 Performance-PAR 3 AVG,Percentage of Yardage covered by Tee Shots-AVG (%),Right Tendency-%,Right Tendency-AVG RTP SCORE,Percentage of Yardage covered by Tee Shots - Par 4's-AVG (%),Left Tendency-%,Left Tendency-AVG RTP SCORE,Left Rough Tendency (RTP Score)-RTP SCORE,Right Rough Tendency (RTP Score)-RTP SCORE,Fairway Bunker Tendency-RELATIVE TO PAR,Right Rough Tendency-%,Left Rough Tendency-%,Proximity to Hole (ARG)-SCRAMBLING RANK,Proximity to Hole from Fringe-SCRAMBLING RANK,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling from Other Locations-%,Scrambling from the Sand-%,Scrambling Rough (RTP Score)-AVG RTP
Danny Willett,45.06,51.3,42.94,49.08,54.74,100,58.54,54.55,3.59,3.4,0.95,-0.086,0.065,-0.026,-0.022,-0.248,-0.205,7.65,42.86,38.89,43.43,42.59,0.9,61.11,65.87,31.82,20.61,18.97,11.54,25,51.47,0.008,52.94,20,54.5,-0.125,71.53,0.192,65.79,4.06,4.16,71.57,72.25,73.75,71.67,72,35.67,36.14,3.14,3.1,4.76,4.11,4.1,20.56,18.31,20.56,36.3,4.68,18.57,37,4.76,3.13,38.16,36.75,11.25,-0.76,1,22,4.84,3.13,63.22,50,2.37,66.71,50,-1.58,-0.211,0.281,-0.091,19.63,23.31,165,197,-0.167,53.57,57.89,0.515
Tom Hoge,55.6,62.83,28.69,62.75,65.57,95.24,48.65,64.55,3.85,2.3,1.51,0.934,0.306,-0.084,0.637,0.116,0.667,7.59,41.11,43.75,42.27,41.67,0.55,65.46,71.78,31.42,25.31,12.88,9.59,16.95,50.88,-0.117,55.38,27.14,51.5,0.034,74.68,0.151,51.75,3.96,3.99,70.13,70.5,69.25,71.21,69.5,34.71,34.93,3.02,3.02,4.73,3.97,3.98,21.72,24.53,21.72,35.14,4.64,20.17,34.13,4.73,3.02,36,35.13,14.69,0.89,2,46,4.83,3.02,61.93,59.5,0.82,65.71,40.5,1.2,0.051,0.059,0.121,16.93,11.75,17,18,-0.048,67.05,54.72,0.364
Luke Donald,52.25,59.14,25.49,60.13,57.14,85.71,31.82,53.33,3.55,2.83,1.19,0.379,0.285,0.468,0.351,-0.924,0.426,7.56,50,36.11,43.33,38.89,0.33,61.67,62.39,31.53,19.29,17.95,11.11,23.81,49.04,-0.064,46.15,6.25,61.5,-0.048,75.51,0.278,39.29,4.03,4.04,70.08,72,70.5,69.6,70.2,35.6,35,3.07,2.83,4.83,4.04,4.03,20.99,25,20.99,34.94,4.73,18.09,35.25,4.83,2.99,36.21,36.75,19.18,0.2,2,20,4.92,2.95,60.91,50.8,2.58,63.83,49.2,0,0,0.389,0,11.76,13.73,130,156,0.143,66.67,35.29,0.489
Brian Gay,56.12,57.23,30.87,55.81,58.86,87.5,40.45,62.26,3.92,2.53,1.37,-0.391,0.154,-0.02,-0.054,-0.467,-0.481,7.53,38.89,50.62,41.61,38.89,0.34,64.4,66.51,32.74,21.65,15.5,13.64,17.46,56.43,-0.082,58.33,16.98,55.8,0.206,76.66,0.212,35.09,3.98,4.02,70.74,71.75,69,71,70.67,35.53,35.19,3.05,3.04,4.74,4,4.01,22.34,26.56,22.34,35.53,4.8,21.44,35.22,4.74,3.05,35.37,35.75,14.29,0.26,3,49,4.68,3.04,61.94,55.1,2.83,66.44,44.9,1.63,0.145,0.26,0.14,16.28,14.59,152,115,0,60.4,41.79,0.434
Matt Wallace,50.56,56.79,36.2,53.99,56.03,100,63.89,55.56,3.55,3.13,0.95,-0.307,0.027,0.307,-0.941,0.325,-0.296,7.5,42.59,33.33,41.94,41.11,0.69,60.83,67.36,31.19,18.75,12.24,3.7,22.73,47.06,0.021,66.67,11.9,45.5,-0.091,76.23,0.259,58.33,4.09,4.11,72.17,70,72.33,75.4,70.6,34.6,35.5,3.05,3.22,4.83,4.1,4.09,19.79,20.37,19.79,36.13,4.64,18.02,36.67,4.83,3.14,45.31,35,7.81,-0.5,1,20,5.04,3.14,64.02,54.4,1.89,67.38,45.6,1.61,0.069,0.133,0.091,18.4,17.79,149,174,-0.167,42.86,68,0.481
Justin Rose,66.62,61.04,35.2,55.31,54.03,90,64.86,39.29,4.09,3.11,1.14,0.644,-0.023,0.253,0.212,0.124,0.2,7.44,45.24,40.74,42.68,36.11,0.44,62.37,68.63,36.59,21.05,19.67,22.22,17.65,42.31,-0.086,69.57,31.43,50,0.176,75.68,0.111,55.56,4.07,4.05,70.5,71.33,71,71.5,70.17,35.33,34.57,3.05,3.22,4.54,4.06,4.04,22.53,21.67,22.53,35.94,4.73,16.33,37.67,4.54,3.08,57.35,35.67,13.89,0.36,2,22,4.31,3.15,62.94,47.4,1.35,66,52.6,0.24,0.061,0.033,0.083,16.76,18.44,155,201,0.1,48.48,72.41,0.607
Louis Oosthuizen,70,62.32,28.47,60.58,53.64,88.89,44.44,61.29,3.4,2.72,1.2,-1.423,0.187,-0.73,-0.576,-0.363,-1.598,7.39,42.59,40.28,41.11,42.22,0.22,65.56,65.28,28.94,22.13,7.32,7.14,7.41,48.42,-0.123,22.22,15.38,53.8,0.333,79.74,0.286,29.17,4.03,3.96,70.58,70.75,70.25,70.6,69.6,34.4,35.33,3.09,3.14,4.77,3.99,4.01,20.37,18.87,20.37,35.33,4.77,19.39,35,4.77,3.12,39.66,34.75,11.84,0.14,2,20,4.77,3.08,63.05,42.3,1.82,66.29,57.7,3,0.32,0.071,0.231,10.22,18.25,197,207,0.111,38.1,53.85,0.419
Denny McCarthy,67.2,60.19,28.32,61.29,59.04,100,48.35,62.24,4.24,2.27,1.67,0.342,1.276,-0.125,-0.511,-0.224,-0.787,7.35,40.74,39.35,41.05,40.87,0.38,67.8,72.09,33.49,26.21,15.6,15.79,15.38,50,-0.138,55.29,19.54,40,0.185,80.14,0.053,55.74,3.95,4.04,69.97,69.67,69.08,69.57,70.36,34.64,35.73,2.92,3,4.62,4,4.01,24.25,17.97,24.25,35.21,4.59,19.43,35.25,4.62,2.95,45.24,35.58,20.67,0.67,3,54,4.65,2.95,62.06,50.5,1.9,65.79,49.5,2.91,0.267,0.12,0.275,14.87,13.44,118,113,-0.125,57.66,48.48,0.306
Ryan Moore,56.8,68.24,26.07,63.21,61.67,92.31,59.26,60.61,3.81,2.53,1.46,0.346,-0.014,0.016,0.131,0.258,0.485,7.33,41.11,45.37,40.8,36.42,0.43,67.01,71.21,30.13,22.69,16.39,11.54,20,54.14,-0.1,40,8.33,54.2,0.029,75.62,0.115,53.03,3.98,3.97,69.9,70.5,71.17,69.67,70.22,35.11,35.3,3.03,3.12,4.73,3.97,3.97,21.3,16.22,21.3,35.4,4.67,19.75,36.83,4.73,3.07,36.11,35.33,13.71,0.42,1,32,4.8,3.06,61.94,43.8,0.95,65.8,56.3,1.48,0.045,0.172,0.083,10.36,15.71,80,68,-0.077,57.14,58.62,0.394
Danny Lee,60.79,58.75,29.49,56.67,63.39,100,58.75,59.7,4.02,2.5,1.44,-0.117,-0.38,-0.227,0.185,0.375,0.374,7.31,40.48,34.57,40.7,43.06,0.67,66.67,69.79,32.3,23.32,16.04,15.56,16.39,56.05,-0.079,49.28,16.25,48.6,0.082,78.27,0.133,69.51,3.96,4.06,69.54,70.5,70.67,69,70.31,34.62,35.64,2.98,3.02,4.65,4.01,4.01,22.49,20.37,22.49,35.52,4.65,17.62,36,4.65,3.01,45.07,34.25,18.6,0.58,4,46,4.64,3.01,64.99,46.6,2.5,68.65,53.4,1.15,0.095,0.173,0.171,13.33,16.15,60,47,0,59.34,62.79,0.388
Kyoung-Hoon Lee,47.78,65.52,27.52,61.74,63.49,91.18,54.55,57.69,3.6,2.46,1.31,-0.137,-0.193,0.112,-0.223,0.219,0.159,7.3,39.81,43.06,40.28,36.93,0.58,64.64,66.34,29.14,18.47,17.54,15.87,19.61,50.21,-0.048,47.14,13.7,35.3,0.059,74.73,0.079,65.96,4.04,4.06,70.81,71.13,70.38,70.47,71,35.53,35.5,3.07,3.07,4.61,4.05,4.05,20.33,24.24,20.33,35.54,4.65,16.11,36.13,4.61,3.08,44.58,36.13,11.5,0.05,1,52,4.57,3.06,62.82,53,1.25,66.17,47,1.79,0.105,0.076,0.206,14.77,12.75,64,46,-0.059,66.96,53.42,0.474
Richy Werenski,58.33,57.76,35.11,54.55,59.36,95.83,40.32,60.87,3.7,2.57,1.35,0.405,0.743,0.094,-0.286,-0.146,-0.338,7.27,39.51,38.1,40.37,44.44,0.37,65.37,70.77,29.26,20.91,17.17,17.07,17.24,54.24,-0.098,47.22,2.78,50,0.017,72.31,0.098,47.06,4.03,3.99,70.05,70.8,71.57,69.33,70.22,35.56,34.67,2.93,2.88,4.82,4.01,4.01,20.74,23.08,20.74,35.37,4.92,17.96,36.14,4.82,2.91,31.25,35.2,19.83,0.41,1,30,4.7,2.91,61.81,43,1.48,65.46,57,1.98,0.117,0.019,0.393,16.3,18.81,114,110,-0.125,58.7,39.58,0.391
Bud Cauley,58.77,59.42,29.52,58.3,67.05,80,65.38,67.31,3.34,2.1,1.52,0.75,0.129,0.373,0.486,-0.207,0.654,7.26,32.48,43.83,40.15,41.67,0.31,66.04,69.78,27.31,20,13.91,8,19.74,52.3,-0.118,57.75,15.28,52.2,0.039,77.65,0.187,50,4.01,4.04,70.15,70.11,69.78,69.92,70.25,35.33,35,3,2.95,4.6,4.03,4.02,19.05,16.3,19.05,35.19,4.61,13.97,35,4.6,2.98,43.38,34.78,13.1,0.93,4,44,4.59,2.97,62.04,55,1.64,65.61,45,0.6,0.027,0.129,0.109,15.68,13.84,13,9,0.1,66.67,63.93,0.317
Jason Day,50,56.52,36.96,52.9,61.81,87.5,61.54,50,3.64,2.48,1.38,0.296,-0.254,1.032,-0.401,0.054,0.65,7.26,40.74,44.44,40,38.1,0.57,64.89,68.06,29.9,23.73,8.33,4.35,12,45.39,-0.068,59.09,13.79,66.7,0,80.68,0.261,58.82,4.08,4.08,70.33,70.75,70,70.71,70.13,35.38,34.89,3.04,2.93,4.54,4.08,4.07,21.26,15.52,21.26,35.17,4.49,13.08,35.75,4.54,2.99,50,35,17.53,0.66,4,25,4.59,2.98,62.44,49.2,1.94,66.24,50.8,-0.63,-0.071,0.261,-0.111,16.67,20.29,74,65,0,73.33,62.5,0.528
Si Woo Kim,41.27,55.23,32.31,54.6,58.24,92.86,51.16,56.34,3.36,2.88,1.04,-0.72,-0.232,0.29,-0.569,-0.273,-0.603,7.18,38.52,39.68,39.81,45.3,0.5,62.04,66.07,28.63,21.12,12.93,15.25,10.53,46.43,-0.05,45.31,14.49,35.5,0.07,73.27,0.186,59.52,4.05,4,71.7,70.67,72.29,70.08,73.14,36.43,36.73,3,3.25,4.91,4.02,4.02,18.89,16.13,18.89,36.1,4.86,16.86,36.14,4.91,3.12,34.29,35.17,12.12,-1.08,1,42,4.97,3.11,64.02,50.3,2.44,68.28,49.7,1.3,0.053,0.136,0.226,16.43,15.88,134,131,-0.071,58.76,50,0.521
Zach Johnson,52.58,62.45,28.95,63.4,64.25,93.33,57.89,60.29,3.46,1.97,1.47,0.062,0.284,-0.161,0.069,-0.126,-0.12,7.11,39.35,40.97,39.6,39.39,0.38,66.81,70.31,27.72,21.59,8.65,6.12,10.91,50.77,-0.094,62.22,22.92,29.6,0.145,78.33,0.163,47.56,4.02,4,69.84,71.14,70.88,70.64,68.73,34.64,34.08,3.04,3.03,4.68,4.01,4.01,19.67,17.07,19.67,35.03,4.65,16.02,34.75,4.68,3.04,41.96,35.86,12.84,0.3,0,39,4.71,3.03,61.65,48.3,2.6,64.88,51.7,1.79,0.091,0.164,0.444,13.16,15.79,32,36,-0.067,63.33,62.5,0.485
Kevin Tway,45,48.48,37.54,48.87,55.56,100,45.76,52,3.42,3.19,1.03,-0.501,-0.335,0.294,0.114,-0.514,-0.126,7.08,35.04,35.19,39.33,45.83,0.53,62.43,67.33,29.58,18.7,16.36,16.67,16,50,-0.019,54,28.3,41.9,0.12,77.31,-0.017,58.57,4.07,4.03,71.62,69.83,70.5,72.08,71.25,36,35.23,3.24,2.92,4.73,4.05,4.05,19.29,20.87,19.29,35.22,4.67,15.45,34.67,4.73,3.08,40.32,35.5,12.16,-0.39,2,38,4.81,3.09,64.38,57.1,0.45,67.77,42.9,1.67,0.077,-0.031,0.258,20.71,16.83,191,184,0,60,41.38,0.42
Kevin Kisner,60.31,67.89,22.44,69.87,63.11,81.82,56.45,66.67,3.44,2.36,1.34,0.308,0.16,0.121,-0.09,0.154,0.226,7.08,39.81,40.74,39.97,44.44,0.38,64.91,71.06,27.82,18.21,17.39,20.69,15,53.41,-0.046,52.27,20.41,68.4,0.025,72.9,-0.138,59.09,4.02,4,70.69,72.63,67.89,69.91,71.91,36.18,35.58,2.99,3.11,4.71,4.01,4.01,19.66,16.33,19.66,35.64,4.77,14.32,34.22,4.71,3.05,40.91,35.13,17.2,0.1,2,41,4.63,3.04,61.7,37.4,-0.88,65.63,62.6,1.05,-0.048,-0.179,0.316,8.97,13.46,41,52,0,66.67,57.5,0.333
Lucas Bjerregaard,37.07,44.12,35.76,44.24,50.44,100,48.28,46.51,3.65,3.18,1.02,-1.097,-0.017,-0.19,-0.48,-0.409,-1.08,7.06,39.68,38.89,39.22,38.1,0.41,63.07,68.98,31.77,20.3,14.81,17.24,12,57.14,-0.023,51.85,25.93,70,0.08,72.38,0.034,50,4.07,4.17,72.07,72,68,71.57,73.43,36.29,37.14,2.97,3.09,4.73,4.12,4.12,20.59,21.31,20.59,36.53,4.78,16.29,34.5,4.73,3.03,43.33,40,11.76,-1.01,1,17,4.68,3.03,64.69,48.9,0.7,68.98,51.1,3.33,0.038,-0.061,0.3,20,15.76,223,221,-0.091,42.11,47.62,0.605
Matthew Fitzpatrick,74.55,65.01,27.38,64.68,57.71,83.33,50.94,52.38,3.63,2.75,1.18,0.886,0.581,0.055,0.221,0.204,0.269,7.04,39.58,34.92,40.28,42.06,0.36,66.15,72.47,30.18,18.33,22.41,12.5,29.41,48.59,-0.042,61.54,18.75,37.5,0.029,73.47,0.167,53.57,4.02,4.06,69.71,71.86,70.43,70.29,70.43,34.86,35.13,3.16,3.07,4.62,4.04,4.02,19.44,19.48,19.44,35.79,4.72,14.92,35.14,4.62,3.11,49.04,34.71,11.11,0.5,3,32,4.49,3.12,62.16,38.6,0.94,65.87,61.4,0.39,0,0,0.125,10.32,17.06,136,142,0.083,60.42,56,0.476
Scott Brown,44.71,68.1,24.42,68.63,60.44,82.35,45.78,61.54,3.26,2.77,1.08,-0.29,-0.082,0.042,-0.53,0.258,-0.22,7.02,37.58,40.12,39.11,42.36,0.56,62.89,67.28,27.84,20.22,10.91,14,8.33,46.26,-0.058,60.32,17.65,52.2,0.3,73.52,0.14,52.88,4.1,4.08,71.25,72,70.44,70.56,72.19,36.13,36.12,3.12,2.99,4.65,4.09,4.1,18.52,17.86,18.52,35.6,4.68,14.37,35.44,4.65,3.05,41.98,35.86,11.4,-0.43,3,50,4.61,3.06,61.48,49,2.5,65.2,51,1.73,0.179,0.2,0.174,12.63,11.79,91,91,0.088,61.82,48.44,0.462
Xinjun Zhang,60.29,59.47,30.7,58.82,55.82,96.15,48.98,53.57,4.25,2.82,1.36,0.259,-0.108,0.13,0.277,-0.041,0.367,6.95,40.52,38.89,38.6,38.89,0.68,67.35,72.51,32.22,25.2,16.46,16.67,16.22,54.18,-0.087,63.1,21.43,47.1,0.108,80.38,0.179,56.92,4.02,3.99,70.72,70.91,69.5,71.65,70.18,35.65,34.53,3.07,3.05,4.67,4.01,4.01,23.78,21.64,23.78,35.25,4.66,19.7,34.83,4.67,3.06,44.95,35.45,16.16,0.33,2,57,4.68,3.06,62.78,59,1.91,66.72,41,0.77,0.042,0.158,0.088,17.46,13.24,183,176,-0.231,58.42,45.83,0.446
Mackenzie Hughes,42.25,56.69,29.64,57.06,57.27,100,52.31,56.67,3.63,2.56,1.17,-0.535,0.09,0.526,-0.459,-0.526,-0.477,6.91,42.46,40,39.33,35.47,0.44,63.6,68.15,29.66,23.15,7.55,8,7.14,46.86,-0.099,60,24.53,36.7,0.25,79.48,0.32,54.05,4.05,4.11,71,71.33,69.6,71.85,71,35.08,35.64,3.06,3,4.7,4.08,4.07,19.61,19.15,19.61,35.68,4.66,14.56,34.6,4.7,3.03,42.24,36.33,16.06,-0.51,0,38,4.75,3.04,63.05,48.7,3.11,66.19,51.3,2.31,0.091,0.192,0.3,14.4,15.24,161,152,-0.1,55.41,54.55,0.5
Matt Every,42.04,56.6,30.17,57.26,48.13,84.62,35.19,50,4.13,3.2,1.1,-1.534,-0.917,-0.164,-0.066,-0.378,-0.573,6.87,33.33,43.06,37.5,43.89,0.87,65.8,70.83,33.33,23.49,20.54,23.81,16.33,50,-0.029,51.72,20.97,58.3,0.245,79.75,0,58.14,3.98,4.1,71.77,74.75,68.25,72,72,35.75,36.31,3.26,3.22,4.74,4.04,4.05,23.52,25.23,23.52,36.23,4.67,21.45,34.5,4.74,3.24,41.67,36.25,14.05,-0.91,1,32,4.82,3.25,63.12,52.7,1.14,67.25,47.3,2.54,0.255,-0.053,0.167,15.92,14.25,225,225,0.077,46.38,36.84,0.515
Hudson Swafford,57.83,55.44,28.5,58.03,61.36,100,54.84,46.67,3.62,2.24,1.43,0.653,0.242,0.278,0.181,-0.049,0.411,6.86,42.59,32.22,38.1,43.52,0.29,65.08,73.81,29.39,20.34,20,26.92,13.79,57.25,-0.068,60.87,52.17,66.7,0.034,72.39,0.115,55.88,3.99,4.03,69.15,72,71.2,68.5,69.17,34.5,34.67,3.05,3.07,4.59,4.01,4.01,20.37,28.3,20.37,35,4.48,19.07,35,4.59,3.06,41.38,35.5,9.52,0.33,1,21,4.69,3.06,63.51,49.4,-0.5,65.56,50.6,0.98,0,-0.107,0.111,14.51,13.99,84,73,-0.182,70,56,0.622
Branden Grace,61.21,54.27,42.8,47.35,58,78.57,54.72,60.42,3.77,2.67,1.32,0.213,-0.059,0.233,0.429,-0.392,0.56,6.81,38.33,41.11,39.61,37.04,0.7,68.64,74.15,30.29,24.14,19.23,23.33,13.64,57.23,-0.138,54.55,15.38,68.4,0.25,79.41,-0.017,59.62,4.03,3.99,70.1,71.25,69.8,70.22,70,35,35.2,3.03,2.96,4.71,4.01,3.99,20.58,25.35,20.58,35.19,4.71,17.63,35.4,4.71,3.02,37.23,35.75,14.68,0,1,31,4.7,3,65.05,60.8,-0.25,68.93,39.2,2.35,0.209,-0.014,0.053,26.52,16.29,112,137,0.214,44.74,51.43,0.396
Russell Knox,55.62,61.57,25.31,60.49,64.34,100,56.76,62.5,3.73,2.14,1.61,0.37,-0.09,-0.027,0.635,-0.202,0.535,6.76,34.38,37.78,37.8,37.04,0.49,70.48,74.32,28.64,22.47,9.09,9.46,8.51,53.21,-0.104,54.69,29.23,57.1,0.149,85,0.095,51.92,3.93,4.03,70.29,69.78,68.9,69.47,70.8,35.13,35.69,3.05,3.01,4.62,3.98,3.98,20.86,24.07,20.86,35.2,4.61,17.45,34.5,4.62,3.04,43.04,34.33,12.18,0.62,1,51,4.63,3.04,63.37,63.7,1.98,66.94,36.3,0.72,0,0.169,0.163,15.84,9.47,30,35,-0.05,60.4,61.4,0.375
Sergio Garcia,69.45,61.39,32.61,59.42,57.81,85.71,52.38,58.33,3.96,2.64,1.18,0.952,-0.729,0.115,0.442,0.983,0.966,6.68,33.33,40,38.68,34.26,0.64,67.31,75,31.43,15.38,19.05,15.79,21.74,55.17,-0.009,52.94,27.66,71.4,0,79.79,0.053,75,4,4.03,70.29,71,71,70.17,71.33,35.5,35.71,3.16,3.14,4.69,4.01,3.98,19.44,22.03,19.44,35.73,4.69,15.95,36.8,4.69,3.11,48.81,35.6,8.7,-0.24,1,26,4.7,3.15,67.63,50,0.42,72.02,50,-0.42,-0.12,0.05,0,14.49,18.12,101,140,0.429,66.67,66.67,0.458
Bo Hoag,58.07,62.71,26.98,61.88,59.76,90.91,43.28,58.62,3.51,2.43,1.44,-0.264,0.025,-0.061,-0.011,-0.217,-0.289,6.6,36.9,37.78,36.64,37.7,0.38,70.92,75.86,27.55,18.86,14.85,13.73,16,58.78,-0.044,56.86,13.73,40,0.04,78.88,0.059,47.78,4.01,4.04,69.97,71.11,69.7,69.5,70.64,35.14,35.5,2.97,2.97,4.64,4.02,4.02,19.98,26.36,19.98,35.19,4.64,14.91,35.8,4.64,2.97,40.91,36.67,16.4,0.21,4,47,4.64,2.97,62.42,52.3,0.89,66.33,47.7,1.25,0.057,-0.018,0.267,13.86,13.12,107,101,0.045,64.84,36.96,0.425
Bo Van Pelt,32.58,55.37,35.59,52.25,49.73,87.5,25,53.97,3.03,3.18,0.81,-2.675,-0.69,-0.133,-1.064,-0.804,-2.113,6.5,34.72,34.72,35.74,38.38,0.86,63.33,63.27,25.81,20.1,13.89,12.5,15.63,51.67,0.045,51.61,6.06,25,0.125,73.46,0.3,55.77,4.21,4.18,73.12,71.5,72.75,72.82,73.64,36.82,36.75,3.1,3.16,4.73,4.2,4.2,17.46,22.45,17.46,36.5,4.69,12.2,36.25,4.73,3.13,36.27,36,14.16,-2.29,0,30,4.77,3.12,62.22,50.5,3.4,65.98,49.5,3.46,0.114,0.227,0.583,19.82,15.77,224,223,0.125,48.61,27.27,0.54
D.J. Trahan,59.46,65.76,26.4,64.6,58.03,87.5,43.33,57.14,3.97,2.38,1.51,0.203,-0.38,-0.077,0.394,0.267,0.584,6.46,32.32,36.81,35.89,40.4,0.59,71.02,79.47,29.81,19.87,21.52,12.5,27.66,62.15,-0.054,57.78,20,50,-0.106,80,0.031,62.12,3.98,4,70.21,70.71,69.75,69.09,70.91,35.27,35.64,3.01,3.09,4.63,3.99,3.99,22.37,25.81,22.37,35.22,4.61,18.3,35,4.63,3.05,46.61,35.14,14.09,0.42,2,37,4.64,3.05,62.96,45.1,1.18,66.27,54.9,-0.32,-0.174,0.051,0.214,12.11,14.29,150,136,0.125,57.14,46.34,0.455
Ryan Armour,47.04,74.06,19.94,75.39,56.04,81.82,44.44,55.29,3.78,3.03,1.21,-0.709,-0.895,0.325,-0.061,0.052,0.522,6.36,38.1,37.04,36.39,32.48,0.72,66.94,70.58,29.73,20.36,13.11,9.68,16.67,46.83,-0.057,58.14,20.83,27.3,0.167,75.33,0.258,54.41,3.99,4.07,71.1,69.5,69.67,71.62,70.46,34.85,35.64,3.05,3.08,4.66,4.03,4.03,21.45,20.75,21.45,35.64,4.69,18.41,35.5,4.66,3.07,42.74,35,13.1,-0.24,1,40,4.63,3.07,60.8,48.1,3.51,64.37,51.9,2,0.121,0.29,0.182,9.66,10.28,175,172,0.182,59.42,43.9,0.412
Russell Henley,52.5,64.29,27.68,63.01,62.16,95.45,43.48,60.32,3.32,1.89,1.47,0.374,-0.102,0.195,0.551,-0.206,0.6,6.31,38.43,34.13,35.74,33.84,0.37,70.27,76.04,25.22,19.15,18.27,14,22.22,58.99,-0.085,42,17.31,63,0.037,78.53,0.02,45.45,3.98,4,70.12,71.67,69.71,70.64,69.55,35.09,34.42,3.08,3.04,4.71,3.99,4,18.89,13.51,18.89,35.31,4.7,17.97,34.71,4.71,3.05,33.93,35.67,11.43,0.15,4,37,4.71,3.07,61.66,54.7,1.1,65.29,45.3,0,-0.13,0.048,0.185,14.8,12.89,70,60,-0.045,62.5,50,0.413
Shane Lowry,54.11,61.59,30.94,62.59,63.16,75,61.9,70.37,3.15,2,1.33,0.074,-0.471,0.112,0.048,0.457,0.846,6.28,32.41,36.11,35.56,34.44,0.72,69.72,72.22,24.4,20.16,8.57,12.5,7.41,56.12,-0.065,41.67,15.38,87.5,0.111,81.33,-0.125,66.67,4,4.03,70.67,68.75,70.75,70.4,71,34.6,36.17,3.09,3.17,4.6,4.02,4.01,18.52,23.81,18.52,35.61,4.67,13.78,35.25,4.6,3.12,46.55,33.5,10.53,0.42,1,20,4.5,3.14,63.69,24.4,0,66.72,75.6,0.88,0.063,0,0.125,7.91,23.02,27,51,0.25,60,55.56,0.333
Will Gordon,58.17,52.86,34.53,52.52,58.18,100,54.17,43.59,3.7,2.8,1.31,-0.618,-0.265,-0.457,-0.397,0.501,-0.353,6.2,35.19,33.33,34.44,35.19,0.7,69.44,76.67,28.92,18.8,15.91,9.52,21.74,59.09,-0.077,47.62,33.33,50,0.13,79.73,0.19,60,4,4.05,71.08,69,69.75,70,72.17,35.5,36.67,3.03,3.03,4.62,4.02,4.02,21.39,26.32,21.39,35.1,4.52,16.82,35.25,4.62,3.03,42.42,35.25,16.25,0.15,3,20,4.71,3.03,64.59,48.4,0.65,67.76,51.6,3.03,0.24,0.043,0.143,16.55,17.99,147,134,-0.154,59.09,58.33,0.564
Aaron Wise,48,59.87,30.94,57.91,56.69,72.73,51.16,59.38,3.82,2.84,1.28,-0.618,-0.779,-0.113,0.109,0.115,0.134,6.1,37.04,24.44,33.67,31.31,1,71.89,75.76,28.24,21.65,7.89,6.12,11.11,59.77,-0.043,50,12.28,57.1,0.185,80.31,0.245,68.33,3.99,4.12,70.38,70.25,71.4,70.55,69.91,34.36,35.58,3.06,3.02,4.54,4.05,4.06,22.04,29.55,22.04,35.58,4.56,16.72,35.2,4.54,3.04,46.15,34.75,16.8,0.27,3,33,4.52,3.04,63.56,65.5,2.22,67.01,34.5,0.53,0,0.182,-0.095,19.78,11.15,179,168,0.091,53.7,50,0.391
J.J. Henry,35.38,63.82,29.17,60.12,54.84,87.5,27.78,68.75,2.81,3.19,0.85,-1.634,-0.188,-0.326,-0.563,-0.556,-1.445,5.9,32.64,35.19,32.8,34.03,0.76,67.2,69.44,21.83,16.35,12.5,8.7,16,42.45,-0.019,33.33,11.11,38.5,0.08,81.28,0.478,23.68,4.13,4.03,71.88,74,72,71.88,72,36.75,35.25,3.14,3,4.89,4.08,4.08,16.14,17.19,16.14,35.57,4.79,14.48,36,4.89,3.07,26.39,37,11.76,-1.49,2,21,5,3.07,60.44,40.3,4.44,64.9,59.7,2.5,0.143,0.333,0.308,12.5,16.67,197,195,0.125,47.37,33.33,0.292
