player,Proximity to Hole from Other Locations-ROUNDS,Proximity to Hole from Other Locations-AVG DTP,Proximity to Hole from Other Locations-TOTAL DISTANCE (FEET),Proximity to Hole from Other Locations-# OF SHOTS,Proximity to Hole from Other Locations-SCRAMBLING RANK,Scrambling-ROUNDS,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR,Scrambling from the Fringe-ROUNDS,Scrambling from the Fringe-%,Scrambling from the Fringe-SUCCESSES,Scrambling from the Fringe-ATTEMPTS,Sand Save Percentage-ROUNDS,Sand Save Percentage-%,Sand Save Percentage-# SAVES,Sand Save Percentage-# BUNKERS,Sand Save Percentage-TOTAL O/U PAR,Scrambling from the Rough-ROUNDS,Scrambling from the Rough-%,Scrambling from the Rough-SUCCESSES,Scrambling from the Rough-ATTEMPTS,Proximity to Hole (ARG)-ROUNDS,Proximity to Hole (ARG)-AVG DTP,Proximity to Hole (ARG)-TOTAL DISTANCE (FEET),Proximity to Hole (ARG)-# OF SHOTS,Proximity to Hole (ARG)-SCRAMBLING RANK,Proximity to Hole from Fringe-ROUNDS,Proximity to Hole from Fringe-AVG DTP,Proximity to Hole from Fringe-TOTAL DISTANCE (FEET),Proximity to Hole from Fringe-# OF SHOTS,Proximity to Hole from Fringe-SCRAMBLING RANK,Scrambling Fringe (RTP Score)-ROUNDS,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL HOLES,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling from Other Locations-ROUNDS,Scrambling from Other Locations-%,Scrambling from Other Locations-SUCCESSES,Scrambling from Other Locations-ATTEMPTS,Proximity to Hole from Sand-ROUNDS,Proximity to Hole from Sand-AVG DTP,Proximity to Hole from Sand-TOTAL DISTANCE (FEET),Proximity to Hole from Sand-# OF SHOTS,Proximity to Hole from Sand-SCRAMBLING RANK,Proximity to Hole from Rough-ROUNDS,Proximity to Hole from Rough-AVG DTP,Proximity to Hole from Rough-TOTAL DISTANCE (FEET),Proximity to Hole from Rough-# OF SHOTS,Proximity to Hole from Rough-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling from the Sand-SUCCESSES,Scrambling from the Sand-ATTEMPTS,Scrambling Rough (RTP Score)-ROUNDS,Scrambling Rough (RTP Score)-AVG RTP,Scrambling Rough (RTP Score)-TOTAL HOLES,Scrambling Rough (RTP Score)-TOTAL RTP,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS
Sepp Straka,40,"6' 1""",4.527,62,76,40,61.34,146,238,40,91.18,31,34,40,50.82,31,61,+19.00,40,63.89,46,72,44,"7' 2""","1,547.417",215,76,40,"2' 11""",69.667,24,76,40,+.029,34,+1.00,40,51.19,43,84,40,"11' 6""",506.000,44,76,40,"7' 8""",435.750,57,76,40,57.78,26,45,40,+.375,72,+27.00,40,-.144,-4.612,32
Scott Piercy,48,"6' 1""",5.729,78,102,48,59.73,175,293,48,87.10,27,31,48,45.33,34,75,+29.00,48,59.52,50,84,50,"7' 6""","1,763.167",235,117,48,"3' 5""",94.583,28,102,48,+.097,31,+3.00,48,64.63,53,82,48,"12' 2""",582.167,48,102,48,"7' 7""",495.000,65,102,48,45.65,21,46,48,+.429,84,+36.00,48,-.140,-4.472,32
Kevin Na,44,"6' 1""",5.913,81,11,44,66.67,186,279,44,92.31,24,26,44,58.43,52,89,+11.00,44,60.81,45,74,44,"7' 1""","1,580.417",223,12,44,"3' 2""",80.083,25,11,44,-.115,26,-3.00,44,65.82,52,79,44,"9' 7""",545.333,57,11,44,"7' 8""",462.250,60,11,44,62.75,32,51,44,+.459,74,+34.00,44,.252,8.048,32
Luke Donald,18,"6' 1""",2.341,32,156,18,57.14,68,119,18,85.71,6,7,18,31.82,7,22,+12.00,18,53.33,24,45,20,"6' 10""",657.000,96,130,18,"2' 7""",7.833,3,156,18,+.143,7,+1.00,18,66.67,32,48,18,"11' 1""",154.833,14,156,18,"7' 8""",199.417,26,156,18,35.29,6,17,18,+.489,45,+22.00,18,.468,5.153,11
Zach Johnson,37,"6' 1""",5.033,69,36,37,64.25,142,221,37,93.33,14,15,37,57.89,33,57,+24.00,37,60.29,41,68,39,"7' 4""","1,292.083",177,32,37,"2' 10""",31.250,11,36,37,-.067,15,-1.00,37,63.33,57,90,37,"9' 7""",392.917,41,36,37,"8' 9""",402.833,46,36,37,62.50,30,48,37,+.485,68,+33.00,37,-.161,-4.838,30
David Hearn,39,"6' 1""",3.704,51,30,39,64.60,146,226,39,90.00,27,30,39,42.00,21,50,+23.00,39,69.32,61,88,41,"7' 6""","1,274.000",170,20,39,"2' 2""",28.667,13,30,39,+.067,30,+2.00,39,64.71,44,68,39,"12' 9""",330.833,26,30,39,"8' 8""",539.000,62,30,39,35.90,14,39,39,+.318,88,+28.00,39,-.107,-2.572,24
Brian Harman,48,"6' 1""",6.836,94,20,48,65.31,192,294,48,92.00,23,25,48,59.49,47,79,+23.00,48,57.45,54,94,52,"6' 6""","1,819.667",281,18,48,"2' 3""",61.833,28,20,48,-.120,25,-3.00,48,67.54,77,114,48,"8' 10""",521.750,59,20,48,"7' 0""",534.333,76,20,48,63.33,38,60,48,+.426,94,+40.00,48,.109,4.469,41
Alex Cejka,23,"6' 1""",1.307,18,2,23,68.35,95,139,23,95.45,21,22,23,50.00,19,38,+10.00,23,70.45,31,44,23,"5' 8""",387.500,68,4,23,"1' 11""",22.667,12,2,23,-.091,22,-2.00,23,65.91,29,44,23,"10' 7""",169.250,16,2,23,"3' 11""",86.667,22,2,23,50.00,14,28,23,+.250,44,+11.00,23,.516,6.197,12
Chad Campbell,17,"6' 2""",.890,12,79,17,61.22,60,98,17,88.89,8,9,17,53.13,17,32,+9.00,17,61.11,22,36,17,"6' 7""",355.667,54,86,17,"1' 9""",7.000,4,79,17,+.111,9,+1.00,17,53.57,15,28,17,"9' 3""",166.667,18,79,17,"5' 5""",107.833,20,79,17,60.00,15,25,17,+.361,36,+13.00,17,-.069,-.686,10
Ryan Armour,36,"6' 2""",3.795,51,172,36,56.04,116,207,36,81.82,9,11,36,44.44,24,54,+22.00,36,55.29,47,85,40,"7' 9""","1,407.750",182,175,36,"2' 3""",22.083,10,172,36,+.182,11,+2.00,36,59.42,41,69,36,"11' 5""",386.833,34,172,36,"8' 6""",485.833,57,172,36,43.90,18,41,36,+.412,85,+35.00,36,.325,7.483,23
Phil Mickelson,29,"6' 2""",2.880,39,92,29,60.43,113,187,29,85.71,6,7,29,55.88,38,68,+16.00,29,60.00,36,60,29,"6' 9""",813.833,121,99,29,"1' 1""",3.333,3,92,29,+.143,7,+1.00,29,65.12,28,43,29,"7' 6""",323.000,43,92,29,"6' 11""",247.500,36,92,29,57.89,22,38,29,+.467,60,+28.00,29,.426,6.815,16
Emiliano Grillo,39,"6' 2""",3.311,45,216,39,51.58,98,190,39,70.59,12,17,39,40.43,19,47,+18.00,39,47.27,26,55,41,"7' 9""",993.333,128,221,39,"4' 1""",48.750,12,216,39,+.294,17,+5.00,39,57.63,34,59,39,"9' 10""",225.250,23,216,39,"10' 4""",391.500,38,216,39,36.67,11,30,39,+.527,55,+29.00,39,-.138,-3.036,22
Shane Lowry,18,"6' 2""",.739,10,51,18,63.16,60,95,18,75.00,3,4,18,61.90,13,21,+3.00,18,70.37,19,27,20,"8' 9""",605.000,69,27,18,"7' 2""",14.333,2,51,18,+.250,4,+1.00,18,60.00,9,15,18,"10' 8""",117.583,11,51,18,"10' 3""",337.000,33,51,18,55.56,5,9,18,+.333,27,+9.00,18,.112,1.121,10
Vince Covello,21,"6' 2""",1.988,27,156,21,57.14,72,126,21,87.50,7,8,21,55.56,20,36,+15.00,21,50.00,25,50,21,"9' 2""",801.000,87,165,21,"6' 5""",45.083,7,156,21,+.125,8,+1.00,21,65.71,23,35,21,"11' 0""",263.583,24,156,21,"11' 3""",326.667,29,156,21,51.52,17,33,21,+.540,50,+27.00,21,-.525,-7.873,15
Jordan Spieth,34,"6' 2""",2.812,38,160,34,57.08,133,233,34,89.47,17,19,34,45.45,30,66,+26.00,34,54.84,34,62,38,"6' 10""","1,184.333",174,174,34,"2' 1""",37.500,18,160,34,+.053,19,+1.00,34,55.56,25,45,34,"9' 3""",269.000,29,160,34,"7' 0""",428.167,61,160,34,48.15,13,27,34,+.468,62,+29.00,34,.443,8.415,19
John Huh,26,"6' 2""",3.406,46,128,26,58.39,94,161,26,95.00,19,20,26,47.06,24,51,+16.00,26,53.19,25,47,26,"6' 10""",980.917,143,139,26,"2' 11""",44.167,15,128,26,-.050,20,-1.00,26,58.33,35,60,26,"7' 9""",327.000,42,128,26,"8' 2""",325.917,40,128,26,44.12,15,34,26,+.468,47,+22.00,26,.079,1.812,23
Hudson Swafford,21,"6' 2""",2.452,33,73,21,61.36,81,132,21,100.00,11,11,21,54.84,17,31,+16.00,21,46.67,21,45,21,"6' 8""",546.583,82,84,21,"1' 11""",13.250,7,73,21,-.182,11,-2.00,21,70.00,35,50,21,"7' 5""",155.917,21,73,21,"8' 3""",173.083,21,73,21,56.00,14,25,21,+.622,45,+28.00,21,.278,3.897,14
Zac Blair,52,"6' 2""",5.063,68,41,52,63.87,221,346,52,96.30,26,27,52,57.43,58,101,+38.00,52,61.19,82,134,52,"6' 7""","1,544.167",235,46,52,"2' 2""",50.583,23,41,52,-.074,27,-2.00,52,64.36,65,101,52,"6' 10""",445.083,65,41,52,"7' 11""",626.583,79,41,52,57.83,48,83,52,+.440,134,+59.00,52,.158,5.698,36
Adam Schenk,50,"6' 2""",5.650,76,4,50,67.96,193,284,50,96.67,29,30,50,50.00,39,78,+19.00,50,65.06,54,83,52,"7' 2""","1,459.250",204,10,50,"2' 9""",46.750,17,4,50,-.067,30,-2.00,50,66.27,55,83,50,"9' 2""",339.167,37,4,50,"8' 9""",525.667,60,4,50,66.67,30,45,50,+.361,83,+30.00,50,-.053,-1.645,31
Abraham Ancer,44,"6' 3""",5.057,67,6,44,67.31,175,260,44,95.24,20,21,44,51.43,36,70,+16.00,44,77.97,46,59,48,"6' 11""","1,374.000",199,6,44,"2' 9""",58.167,21,6,44,E,21,E,44,60.00,45,75,44,"10' 1""",433.833,43,6,44,"7' 2""",395.333,55,6,44,51.22,21,41,44,+.220,59,+13.00,44,.094,2.447,26
Adam Long,56,"6' 3""",7.167,96,105,56,59.68,188,315,56,96.00,24,25,56,42.70,38,89,+39.00,56,59.30,51,86,58,"8' 4""","2,017.417",242,96,56,"3' 5""",74.750,22,105,56,E,25,E,56,63.55,68,107,56,"14' 1""",632.833,45,105,56,"8' 10""",593.500,67,105,56,34.04,16,47,56,+.442,86,+38.00,56,-.031,-1.222,39
Mark Hubbard,53,"6' 3""",6.663,89,59,53,62.26,198,318,53,95.00,19,20,53,48.94,46,94,+41.00,53,60.87,70,115,57,"7' 5""","2,094.083",281,51,53,"1' 11""",35.000,18,59,53,E,20,E,53,67.59,73,108,53,"10' 9""",678.083,63,59,53,"7' 10""",665.417,85,59,53,48.65,36,74,53,+.435,115,+50.00,53,.040,1.607,40
Harold Varner III,50,"6' 3""",4.936,66,96,50,60.07,164,273,50,83.33,15,18,50,41.98,34,81,+30.00,50,64.13,59,92,52,"7' 8""","1,683.750",220,104,50,"3' 11""",65.917,17,96,50,+.056,18,+1.00,50,63.86,53,83,50,"8' 10""",407.500,46,96,50,"9' 3""",714.167,77,96,50,45.45,20,44,50,+.402,92,+37.00,50,.216,7.132,33
Patrick Reed,34,"6' 3""",5.845,78,22,34,65.14,142,218,34,100.00,13,13,34,60.00,36,60,+19.00,34,65.57,40,61,36,"6' 11""","1,397.583",201,36,34,"3' 9""",55.750,15,22,34,-.077,13,-1.00,34,59.42,41,69,34,"9' 3""",371.167,40,22,34,"7' 8""",406.167,53,22,34,60.00,21,35,34,+.377,61,+23.00,34,.361,9.036,25
Joseph Bramlett,41,"6' 3""",3.318,44,203,41,53.74,122,227,41,95.24,20,21,41,46.77,29,62,+27.00,41,56.47,48,85,41,"6' 8""","1,013.000",152,207,41,"2' 7""",44.417,17,203,41,E,21,E,41,45.71,32,70,41,"9' 3""",361.917,39,203,41,"6' 4""",330.167,52,203,41,44.90,22,49,41,+.482,85,+41.00,41,-.053,-1.421,27
James Hahn,30,"6' 3""",4.151,55,153,30,57.23,95,166,30,94.44,17,18,30,43.75,21,48,+24.00,30,59.52,25,42,30,"7' 7""",903.417,119,163,30,"3' 0""",35.750,12,153,30,E,18,E,30,54.29,38,70,30,"11' 8""",303.500,26,153,30,"8' 5""",218.250,26,153,30,42.86,15,35,30,+.405,42,+17.00,30,.069,1.459,21
Kiradech Aphibarnrat,17,"6' 3""",1.500,20,6,17,67.31,70,104,17,100.00,13,13,17,48.48,16,33,+14.00,17,70.83,17,24,17,"8' 2""",483.000,59,8,17,"1' 6""",7.583,5,6,17,-.077,13,-1.00,17,63.64,21,33,17,"14' 1""",197.333,14,6,17,"7' 8""",153.083,20,6,17,47.37,9,19,17,+.333,24,+8.00,17,-.468,-3.273,7
Brian Stuard,57,"6' 3""",7.269,97,45,57,63.59,234,368,57,83.33,25,30,57,54.08,53,98,+29.00,57,66.67,84,126,61,"6' 6""","1,969.833",304,36,57,"3' 8""",91.250,25,45,57,+.067,30,+2.00,57,62.28,71,114,57,"8' 2""",524.417,64,45,57,"6' 7""",600.583,91,45,57,58.57,41,70,57,+.333,126,+42.00,57,.497,19.868,40
Sangmoon Bae,18,"6' 3""",.824,11,212,18,52.99,62,117,18,100.00,7,7,18,48.15,13,27,+12.00,18,49.12,28,57,18,"8' 8""",483.583,56,214,18,"1' 11""",7.750,4,212,18,-.143,7,-1.00,18,51.72,15,29,18,"15' 1""",181.250,12,212,18,"7' 9""",225.917,29,212,18,54.55,12,22,18,+.561,57,+32.00,18,-.468,-4.211,9
Brendan Steele,40,"6' 3""",4.798,64,127,40,58.45,128,219,40,100.00,10,10,40,54.72,29,53,+22.00,40,49.38,40,81,40,"6' 7""","1,052.000",159,137,40,"2' 4""",18.583,8,127,40,-.100,10,-1.00,40,65.00,52,80,40,"7' 10""",282.417,36,127,40,"6' 11""",351.167,51,127,40,54.17,26,48,40,+.556,81,+45.00,40,-.040,-1.272,32
Billy Horschel,45,"6' 4""",4.120,54,159,45,57.09,145,254,45,93.75,15,16,45,50.00,38,76,+31.00,45,57.81,37,64,47,"7' 1""","1,227.917",173,140,45,"5' 2""",57.083,11,159,45,-.063,16,-1.00,45,55.26,42,76,45,"8' 4""",356.917,43,159,45,"8' 2""",392.917,48,159,45,45.00,18,40,45,+.422,64,+27.00,45,.191,4.783,25
Aaron Baddeley,33,"6' 4""",4.478,59,42,33,63.77,132,207,33,91.67,11,12,33,60.00,36,60,+12.00,33,61.04,47,77,35,"6' 9""","1,143.250",169,38,33,"2' 5""",9.583,4,42,33,E,12,E,33,60.00,42,70,33,"7' 0""",322.083,46,42,33,"8' 2""",384.167,47,42,33,65.96,31,47,33,+.403,77,+31.00,33,.822,18.905,23
Patrick Cantlay,20,"6' 4""",2.900,38,141,20,57.78,52,90,20,92.86,13,14,20,50.00,13,26,E,20,41.38,12,29,20,"8' 10""",935.000,106,154,20,"1' 2""",15.000,13,141,20,-.214,14,-3.00,20,60.00,21,35,20,"11' 0""",241.583,22,141,20,"13' 3""",436.750,33,141,20,50.00,6,12,20,+.552,29,+16.00,20,.235,4.227,18
Dominic Bozzelli,32,"6' 4""",2.823,37,205,32,53.70,116,216,32,95.00,19,20,32,41.54,27,65,+29.00,32,54.88,45,82,32,"8' 3""","1,092.750",132,208,32,"2' 0""",13.750,7,205,32,+.050,20,+1.00,32,49.23,32,65,32,"10' 1""",374.167,37,205,32,"9' 2""",469.583,51,205,32,42.55,20,47,32,+.500,82,+41.00,32,-.255,-5.091,20
Daniel Berger,38,"6' 4""",4.885,64,10,38,66.82,141,211,38,92.86,13,14,38,60.00,33,55,+10.00,38,70.51,55,78,42,"7' 0""","1,496.250",215,3,38,"2' 1""",29.083,14,10,38,E,14,E,38,60.87,42,69,38,"9' 4""",381.000,41,10,38,"7' 7""",502.167,66,10,38,58.82,20,34,38,+.244,78,+19.00,38,.192,5.758,30
Chase Seiffert,44,"6' 4""",3.360,44,179,44,55.69,142,255,44,84.21,16,19,44,40.30,27,67,+31.00,44,56.41,66,117,44,"7' 7""","1,121.333",148,186,44,"3' 10""",19.333,5,179,44,+.105,19,+2.00,44,58.21,39,67,44,"9' 10""",402.167,41,179,44,"7' 3""",419.833,58,179,44,40.38,21,52,44,+.436,117,+51.00,44,-.321,-8.343,26
Kramer Hickok,39,"6' 4""",3.948,52,33,39,64.43,163,253,39,100.00,28,28,39,52.73,29,55,+16.00,39,64.13,59,92,39,"6' 7""","1,050.917",160,34,39,"4' 4""",73.083,17,33,39,-.036,28,-1.00,39,59.77,52,87,39,"7' 10""",258.750,33,33,39,"6' 9""",390.083,58,33,39,52.17,24,46,39,+.380,92,+35.00,39,.423,10.992,26
Scottie Scheffler,52,"6' 5""",5.304,69,58,52,62.50,180,288,52,86.67,26,30,52,52.17,48,92,+29.00,52,58.33,56,96,52,"7' 5""","1,708.917",231,66,52,"3' 2""",72.500,23,58,52,+.033,30,+1.00,52,68.89,62,90,52,"9' 11""",623.917,63,58,52,"7' 6""",570.500,76,58,52,50.70,36,71,52,+.438,96,+42.00,52,-.023,-.934,40
David Lingmerth,19,"6' 5""",.918,12,143,19,57.69,60,104,19,80.00,12,15,19,47.37,9,19,+9.00,19,48.89,22,45,19,"7' 9""",379.667,49,156,19,"4' 1""",16.167,4,143,19,+.200,15,+3.00,19,60.00,18,30,19,"8' 5""",101.250,12,143,19,"8' 10""",185.750,21,143,19,57.14,8,14,19,+.556,45,+25.00,19,-.429,-4.289,10
Russell Henley,35,"6' 5""",3.852,50,60,35,62.16,115,185,35,95.45,21,22,35,43.48,20,46,+16.00,35,60.32,38,63,37,"6' 9""","1,175.083",174,70,35,"1' 7""",38.833,24,60,35,-.045,22,-1.00,35,62.50,40,64,35,"11' 6""",402.417,35,60,35,"6' 3""",332.583,53,60,35,50.00,16,32,35,+.413,63,+26.00,35,.195,5.842,30
Charles Howell III,47,"6' 5""",5.146,67,121,47,58.63,146,249,47,69.23,9,13,47,52.46,32,61,+17.00,47,54.17,39,72,49,"7' 1""","1,387.417",197,120,47,"3' 6""",41.750,12,121,47,+.308,13,+4.00,47,60.00,45,75,47,"9' 10""",382.500,39,121,47,"6' 11""",471.083,68,121,47,50.00,17,34,47,+.486,72,+35.00,47,.327,9.166,28
Matt Jones,50,"6' 5""",8.236,107,96,50,60.07,182,303,50,86.67,13,15,50,58.24,53,91,+16.00,50,58.33,49,84,54,"7' 6""","2,007.000",269,103,50,"4' 10""",48.167,10,96,50,+.133,15,+2.00,50,60.48,75,124,50,"9' 1""",535.167,59,96,50,"8' 4""",567.250,68,96,50,54.84,34,62,50,+.464,84,+39.00,50,.147,5.583,38
Brandt Snedeker,29,"6' 5""",4.977,65,57,29,62.57,107,171,29,100.00,16,16,29,54.72,29,53,+12.00,29,50.91,28,55,31,"7' 0""","1,343.750",193,50,29,"2' 4""",35.167,15,57,29,-.250,16,-4.00,29,61.90,39,63,29,"7' 2""",327.833,46,57,29,"9' 4""",484.417,52,57,29,64.86,24,37,29,+.491,55,+27.00,29,.706,18.359,26
Kevin Kisner,39,"6' 5""",4.086,53,52,39,63.11,154,244,39,81.82,18,22,39,56.45,35,62,+21.00,39,66.67,44,66,41,"6' 6""","1,033.333",160,41,39,"2' 8""",48.083,18,52,39,E,22,E,39,66.67,44,66,39,"9' 4""",317.333,34,52,39,"6' 3""",243.000,39,52,39,57.50,23,40,39,+.333,66,+22.00,39,.121,2.655,22
Chris Kirk,19,"6' 5""",2.397,31,50,19,63.30,69,109,19,100.00,7,7,19,52.78,19,36,+12.00,19,55.56,20,36,19,"7' 6""",567.083,76,53,19,"2' 3""",8.833,4,50,19,E,7,E,19,71.79,28,39,19,"8' 9""",227.250,26,50,19,"8' 9""",131.250,15,50,19,51.85,14,27,19,+.528,36,+19.00,19,-.027,-.330,12
Branden Grace,27,"6' 5""",2.384,31,137,27,58.00,87,150,27,78.57,11,14,27,54.72,29,53,+12.00,27,60.42,29,48,31,"7' 2""","1,027.750",143,112,27,"4' 0""",48.417,12,137,27,+.214,14,+3.00,27,44.74,17,38,27,"9' 5""",338.333,36,137,27,"8' 0""",303.667,38,137,27,51.43,18,35,27,+.396,48,+19.00,27,.233,4.435,19
Kevin Tway,36,"6' 5""",6.135,80,184,36,55.56,135,243,36,100.00,9,9,36,45.76,27,59,+20.00,36,52.00,26,50,38,"7' 8""","1,446.917",188,191,36,"2' 5""",24.000,10,184,36,E,9,E,36,60.00,45,75,36,"10' 7""",370.167,35,184,36,"9' 4""",468.417,50,184,36,41.38,12,29,36,+.420,50,+21.00,36,.294,6.773,23
Michael Thompson,32,"6' 5""",4.380,57,106,32,59.61,121,203,32,100.00,20,20,32,53.23,33,62,+22.00,32,63.08,41,65,36,"7' 0""","1,400.500",199,68,32,"2' 0""",31.500,16,106,32,-.150,20,-3.00,32,47.83,33,69,32,"11' 11""",476.417,40,106,32,"6' 4""",378.000,60,106,32,56.25,27,48,32,+.369,65,+24.00,32,.085,2.214,26
Gary Woodland,34,"6' 6""",3.441,44,17,34,65.68,111,169,34,100.00,15,15,34,57.41,31,54,+14.00,34,65.12,28,43,38,"6' 11""","1,095.667",158,53,34,"2' 9""",46.083,17,17,34,-.067,15,-1.00,34,51.92,27,52,34,"7' 6""",240.333,32,17,34,"8' 5""",410.750,49,17,34,65.38,17,26,34,+.372,43,+16.00,34,-.180,-4.496,25
Sergio Garcia,22,"6' 6""",1.409,18,140,22,57.81,74,128,22,85.71,6,7,22,52.38,22,42,+7.00,22,58.33,14,24,26,"6' 3""",623.583,100,101,22,"1' 10""",9.167,5,140,22,+.429,7,+3.00,22,66.67,12,18,22,"7' 3""",108.917,15,140,22,"7' 5""",236.667,32,140,22,66.67,8,12,22,+.458,24,+11.00,22,.115,1.150,10
Vaughn Taylor,49,"6' 6""",4.782,61,133,49,58.23,184,316,49,86.96,20,23,49,47.66,51,107,+47.00,49,59.55,53,89,53,"7' 4""","1,644.167",223,125,49,"2' 8""",50.500,19,133,49,+.087,23,+2.00,49,56.98,49,86,49,"10' 3""",594.083,58,133,49,"8' 0""",498.083,62,133,49,48.48,32,66,49,+.438,89,+39.00,49,-.144,-4.603,32
J.J. Henry,21,"6' 6""",1.719,22,195,21,54.84,68,124,21,87.50,7,8,21,27.78,10,36,+24.00,21,68.75,33,48,21,"9' 6""",624.250,66,197,21,"2' 6""",7.417,3,195,21,+.125,8,+1.00,21,47.37,18,38,21,"16' 8""",333.167,20,195,21,"6' 8""",140.417,21,195,21,33.33,10,30,21,+.292,48,+14.00,21,-.326,-3.912,12
Tim Wilkinson,32,"6' 6""",2.650,34,48,32,63.35,121,191,32,91.67,22,24,32,45.10,23,51,+18.00,32,65.28,47,72,32,"6' 9""",739.333,109,52,32,"2' 7""",28.500,11,48,32,+.083,24,+2.00,32,61.11,33,54,32,"8' 2""",245.250,30,48,32,"7' 2""",244.750,34,48,32,46.34,19,41,32,+.347,72,+25.00,32,.196,3.524,18
Byeong Hun An,51,"6' 6""",5.613,72,24,51,64.98,193,297,51,87.50,21,24,51,52.13,49,94,+23.00,51,65.93,60,91,53,"6' 8""","1,733.333",259,43,51,"2' 5""",50.500,21,24,51,-.042,24,-1.00,51,65.28,47,72,51,"8' 4""",485.500,58,24,51,"7' 2""",665.583,93,24,51,47.83,22,46,51,+.407,91,+37.00,51,.534,19.219,36
Mackenzie Hughes,34,"6' 7""",3.561,45,152,34,57.27,126,220,34,100.00,10,10,34,52.31,34,65,+15.00,34,56.67,51,90,38,"6' 11""","1,256.750",182,161,34,"5' 0""",25.167,5,152,34,-.100,10,-1.00,34,55.41,41,74,34,"8' 0""",351.250,44,152,34,"6' 11""",428.667,62,152,34,54.55,24,44,34,+.500,90,+45.00,34,.526,13.678,26
Ricky Barnes,28,"6' 7""",3.174,40,16,28,65.99,130,197,28,96.55,28,29,28,58.33,28,48,+16.00,28,58.90,43,73,28,"7' 1""",840.750,119,15,28,"1' 9""",29.250,17,16,28,-.138,29,-4.00,28,67.31,35,52,28,"10' 10""",313.417,29,16,28,"7' 1""",233.583,33,16,28,58.54,24,41,28,+.466,73,+34.00,28,.393,6.684,17
Ben Crane,17,"6' 7""",2.211,28,66,17,61.80,55,89,17,83.33,5,6,17,38.10,8,21,+11.00,17,71.43,25,35,17,"7' 4""",478.833,65,78,17,"3' 7""",21.417,6,66,17,+.167,6,+1.00,17,64.52,20,31,17,"9' 6""",113.500,12,66,17,"8' 5""",159.667,19,66,17,33.33,5,15,17,+.257,35,+9.00,17,-.233,-2.801,12
Rob Oppenheim,49,"6' 7""",5.300,67,55,49,62.62,196,313,49,90.91,30,33,49,52.56,41,78,+26.00,49,64.41,76,118,49,"6' 0""","1,296.583",216,61,49,"3' 1""",80.667,26,55,49,-.030,33,-1.00,49,52.48,53,101,49,"7' 8""",398.500,52,55,49,"5' 4""",375.750,71,55,49,60.66,37,61,49,+.322,118,+38.00,49,.565,18.638,33
