player,Proximity to Hole from Other Locations-ROUNDS,Proximity to Hole from Other Locations-AVG DTP,Proximity to Hole from Other Locations-TOTAL DISTANCE (FEET),Proximity to Hole from Other Locations-# OF SHOTS,Proximity to Hole from Other Locations-SCRAMBLING RANK,Scrambling-ROUNDS,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR,Scrambling from the Fringe-ROUNDS,Scrambling from the Fringe-%,Scrambling from the Fringe-SUCCESSES,Scrambling from the Fringe-ATTEMPTS,Sand Save Percentage-ROUNDS,Sand Save Percentage-%,Sand Save Percentage-# SAVES,Sand Save Percentage-# BUNKERS,Sand Save Percentage-TOTAL O/U PAR,Scrambling from the Rough-ROUNDS,Scrambling from the Rough-%,Scrambling from the Rough-SUCCESSES,Scrambling from the Rough-ATTEMPTS,Proximity to Hole (ARG)-ROUNDS,Proximity to Hole (ARG)-AVG DTP,Proximity to Hole (ARG)-TOTAL DISTANCE (FEET),Proximity to Hole (ARG)-# OF SHOTS,Proximity to Hole (ARG)-SCRAMBLING RANK,Proximity to Hole from Fringe-ROUNDS,Proximity to Hole from Fringe-AVG DTP,Proximity to Hole from Fringe-TOTAL DISTANCE (FEET),Proximity to Hole from Fringe-# OF SHOTS,Proximity to Hole from Fringe-SCRAMBLING RANK,Scrambling Fringe (RTP Score)-ROUNDS,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL HOLES,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling from Other Locations-ROUNDS,Scrambling from Other Locations-%,Scrambling from Other Locations-SUCCESSES,Scrambling from Other Locations-ATTEMPTS,Proximity to Hole from Sand-ROUNDS,Proximity to Hole from Sand-AVG DTP,Proximity to Hole from Sand-TOTAL DISTANCE (FEET),Proximity to Hole from Sand-# OF SHOTS,Proximity to Hole from Sand-SCRAMBLING RANK,Proximity to Hole from Rough-ROUNDS,Proximity to Hole from Rough-AVG DTP,Proximity to Hole from Rough-TOTAL DISTANCE (FEET),Proximity to Hole from Rough-# OF SHOTS,Proximity to Hole from Rough-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling from the Sand-SUCCESSES,Scrambling from the Sand-ATTEMPTS,Scrambling Rough (RTP Score)-ROUNDS,Scrambling Rough (RTP Score)-AVG RTP,Scrambling Rough (RTP Score)-TOTAL HOLES,Scrambling Rough (RTP Score)-TOTAL RTP,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS
Ryan Moore,30,"6' 7""",4.325,55,68,30,61.67,111,180,30,92.31,12,13,30,59.26,32,54,+8.00,30,60.61,20,33,32,"7' 7""","1,118.167",147,80,30,"2' 6""",27.833,11,68,30,-.077,13,-1.00,30,57.14,32,56,30,"9' 7""",307.417,32,68,30,"9' 3""",361.667,39,68,30,58.62,17,29,30,+.394,33,+13.00,30,.016,.310,20
Keegan Bradley,44,"6' 7""",6.919,88,104,44,59.70,160,268,44,86.21,25,29,44,57.14,40,70,+23.00,44,50.79,32,63,44,"6' 9""","1,525.333",225,109,44,"3' 2""",89.333,28,104,44,+.103,29,+3.00,44,57.47,50,87,44,"8' 10""",476.917,54,104,44,"6' 11""",382.500,55,104,44,65.96,31,47,44,+.460,63,+29.00,44,.285,9.408,33
Scott Brown,48,"6' 8""",7.714,96,91,48,60.44,191,316,48,82.35,28,34,48,45.78,38,83,+30.00,48,61.54,64,104,50,"7' 5""","1,934.083",261,91,48,"3' 2""",67.250,21,91,48,+.088,34,+3.00,48,61.82,68,110,48,"9' 1""",480.083,53,91,48,"9' 2""",660.917,72,91,48,48.44,31,64,48,+.462,104,+48.00,48,.042,1.424,34
Matt Every,30,"6' 8""",4.239,53,225,30,48.13,90,187,30,84.62,11,13,30,35.19,19,54,+33.00,30,50.00,33,66,32,"8' 9""","1,545.083",177,225,30,"3' 7""",50.667,14,225,30,+.077,13,+1.00,30,46.38,32,69,30,"12' 1""",458.833,38,225,30,"9' 11""",603.750,61,225,30,36.84,14,38,30,+.515,66,+34.00,30,-.164,-4.276,26
Sung Kang,49,"6' 8""",6.727,84,166,49,56.79,159,280,49,91.67,22,24,49,44.12,45,102,+35.00,49,53.16,42,79,51,"7' 7""","1,999.167",265,181,49,"2' 7""",53.417,21,166,49,-.250,24,-6.00,49,60.71,51,84,49,"9' 3""",564.333,61,166,49,"8' 2""",710.417,87,166,49,35.85,19,53,49,+.519,79,+41.00,49,-.200,-7.607,38
Matt Kuchar,30,"6' 8""",3.434,43,43,30,63.64,112,176,30,89.47,17,19,30,58.54,24,41,+8.00,30,59.21,45,76,34,"7' 7""","1,253.500",166,42,30,"1' 9""",26.333,15,43,30,E,19,E,30,66.67,34,51,30,"11' 9""",340.417,29,43,30,"8' 6""",432.833,51,43,30,53.33,16,30,30,+.474,76,+36.00,30,.101,2.327,23
Paul Casey,28,"6' 8""",2.557,32,193,28,55.03,82,149,28,100.00,17,17,28,35.71,15,42,+18.00,28,50.00,21,42,28,"7' 5""",804.167,108,195,28,"3' 6""",45.750,13,193,28,-.059,17,-1.00,28,62.50,20,32,28,"11' 2""",167.250,15,193,28,"7' 11""",378.083,48,193,28,26.67,4,15,28,+.548,42,+23.00,28,-.428,-6.845,16
Xander Schauffele,34,"6' 8""",4.302,54,12,34,66.46,109,164,34,100.00,16,16,34,55.56,30,54,+8.00,34,58.82,20,34,38,"7' 4""","1,277.083",174,25,34,"3' 7""",54.000,15,12,34,E,16,E,34,73.33,33,45,34,"9' 1""",363.750,40,12,34,"8' 7""",367.667,43,12,34,58.06,18,31,34,+.412,34,+14.00,34,.154,3.840,25
Aaron Wise,31,"6' 8""",2.650,33,168,31,56.69,89,157,31,72.73,8,11,31,51.16,22,43,+6.00,31,59.38,38,64,33,"8' 9""","1,146.417",131,179,31,"3' 10""",34.250,9,168,31,+.091,11,+1.00,31,53.70,29,54,31,"9' 9""",273.083,28,168,31,"10' 4""",508.000,49,168,31,50.00,14,28,31,+.391,64,+25.00,31,-.113,-2.253,20
Matt Wallace,16,"6' 9""",1.620,20,174,16,56.03,65,116,16,100.00,6,6,16,63.89,23,36,+14.00,16,55.56,15,27,20,"7' 0""",845.833,121,149,16,"4' 1""",32.833,8,174,16,-.167,6,-1.00,16,42.86,12,28,16,"7' 7""",205.167,27,174,16,"8' 4""",301.167,36,174,16,68.00,17,25,16,+.481,27,+13.00,16,.307,3.682,12
Matthew Fitzpatrick,28,"6' 9""",2.914,36,142,28,57.71,101,175,28,83.33,10,12,28,50.94,27,53,+22.00,28,52.38,22,42,32,"7' 9""","1,109.583",143,136,28,"2' 10""",34.000,12,142,28,+.083,12,+1.00,28,60.42,29,48,28,"8' 6""",247.000,29,142,28,"9' 9""",370.333,38,142,28,56.00,14,25,28,+.476,42,+20.00,28,.055,.985,18
Cameron Davis,40,"6' 9""",4.058,50,56,40,62.61,144,230,40,86.36,19,22,40,57.53,42,73,+17.00,40,59.57,56,94,40,"8' 4""","1,515.083",182,62,40,"2' 1""",24.667,12,56,40,-.045,22,-1.00,40,60.00,39,65,40,"10' 0""",491.333,49,56,40,"9' 4""",660.917,71,56,40,62.50,30,48,40,+.426,94,+40.00,40,.211,5.903,28
Joaquin Niemann,42,"6' 9""",5.173,64,119,42,58.67,132,225,42,85.71,18,21,42,53.03,35,66,+15.00,42,56.60,30,53,46,"8' 0""","1,622.583",203,111,42,"2' 10""",57.167,20,119,42,+.048,21,+1.00,42,55.26,42,76,42,"11' 7""",509.917,44,119,42,"9' 6""",553.000,58,119,42,56.76,21,37,42,+.472,53,+25.00,42,-.103,-3.189,31
Rory Sabbatini,46,"6' 9""",6.098,75,112,46,59.18,158,267,46,94.74,18,19,46,65.52,57,87,+20.00,46,50.85,30,59,50,"6' 8""","1,477.417",223,87,46,"3' 3""",58.833,18,112,46,-.053,19,-1.00,46,54.95,50,91,46,"6' 5""",382.833,60,112,46,"8' 10""",361.000,41,112,46,67.24,39,58,46,+.542,59,+32.00,46,.230,6.900,30
Martin Laird,39,"6' 9""",4.383,54,88,39,60.87,126,207,39,88.89,16,18,39,32.20,19,59,+26.00,39,69.33,52,75,39,"7' 8""","1,307.417",171,95,39,"2' 3""",41.167,18,88,39,-.111,18,-2.00,39,61.64,45,73,39,"11' 2""",492.500,44,88,39,"7' 5""",408.500,55,88,39,31.71,13,41,39,+.307,75,+23.00,39,-.023,-.663,29
Scott Harrington,48,"6' 9""",5.924,73,171,48,56.27,166,295,48,83.33,15,18,48,56.82,50,88,+16.00,48,47.06,56,119,48,"7' 10""","1,692.333",217,180,48,"2' 6""",38.000,15,171,48,E,18,E,48,61.05,58,95,48,"9' 6""",639.167,67,171,48,"8' 5""",521.500,62,171,48,60.66,37,61,48,+.563,119,+67.00,48,.023,.781,34
Kevin Stadler,20,"6' 9""",2.512,31,226,20,45.32,63,139,20,81.82,9,11,20,38.24,13,34,+20.00,20,39.62,21,53,20,"8' 2""",582.083,71,226,20,"2' 6""",20.083,8,226,20,E,11,E,20,45.83,22,48,20,"14' 3""",156.333,11,226,20,"9' 4""",196.333,21,226,20,42.31,11,26,20,+.698,53,+37.00,20,-.923,-10.153,11
Jimmy Walker,34,"6' 9""",4.289,53,210,34,53.21,116,218,34,93.33,14,15,34,40.51,32,79,+35.00,34,54.29,38,70,36,"7' 11""","1,455.583",184,213,34,"2' 4""",29.917,13,210,34,E,15,E,34,51.43,36,70,34,"10' 1""",574.833,57,210,34,"8' 7""",401.833,47,210,34,45.90,28,61,34,+.514,70,+36.00,34,-.035,-1.012,29
Andrew Landry,37,"6' 9""",6.310,78,64,37,61.84,141,228,37,88.46,23,26,37,39.62,21,53,+22.00,37,64.94,50,77,41,"7' 1""","1,645.667",231,57,37,"3' 3""",78.500,24,64,37,E,26,E,37,63.95,55,86,37,"11' 8""",453.917,39,64,37,"7' 2""",446.667,62,64,37,34.21,13,38,37,+.377,77,+29.00,37,-.094,-2.827,30
Harry Higgs,57,"6' 9""",7.436,92,39,57,64.04,219,342,57,92.00,23,25,57,46.73,50,107,+38.00,57,71.07,86,121,61,"7' 0""","2,076.917",295,39,57,"2' 2""",39.500,18,39,57,-.080,25,-2.00,57,66.12,80,121,57,"9' 1""",654.917,72,39,57,"6' 9""",549.333,81,39,57,42.25,30,71,57,+.380,121,+46.00,57,-.025,-1.075,43
Rhein Gibson,42,"6' 10""",3.134,38,109,42,59.40,158,266,42,84.62,22,26,42,56.58,43,76,+23.00,42,55.93,66,118,42,"7' 2""","1,127.167",158,113,42,"3' 3""",49.083,15,109,42,+.038,26,+1.00,42,59.70,40,67,42,"8' 6""",382.333,45,109,42,"7' 3""",434.583,60,109,42,56.60,30,53,42,+.466,118,+55.00,42,.236,6.148,26
Jhonattan Vegas,36,"6' 10""",4.021,49,172,36,56.04,116,207,36,93.75,15,16,36,39.68,25,63,+24.00,36,52.63,40,76,40,"7' 6""","1,293.750",173,141,36,"2' 1""",14.750,7,172,36,-.063,16,-1.00,36,65.63,42,64,36,"10' 11""",448.750,41,172,36,"7' 5""",372.500,50,172,36,37.50,15,40,36,+.447,76,+34.00,36,-.166,-3.819,23
Pat Perez,39,"6' 10""",3.853,47,124,39,58.53,127,217,39,90.91,10,11,39,51.52,34,66,+28.00,39,59.09,39,66,41,"7' 5""","1,122.250",151,138,39,"3' 3""",19.667,6,124,39,+.091,11,+1.00,39,57.41,31,54,39,"7' 6""",263.000,35,124,39,"8' 11""",428.917,48,124,39,52.38,22,42,39,+.424,66,+28.00,39,-.227,-5.445,24
Brian Gay,47,"6' 11""",6.135,74,115,47,58.86,176,299,47,87.50,21,24,47,40.45,36,89,+43.00,47,62.26,66,106,49,"7' 8""","1,881.583",245,152,47,"2' 8""",55.833,21,115,47,E,24,E,47,60.40,61,101,47,"10' 1""",647.583,64,115,47,"7' 10""",561.750,72,115,47,41.79,28,67,47,+.434,106,+46.00,47,-.020,-.671,34
Chez Reavie,47,"6' 11""",4.320,52,94,47,60.22,165,274,47,83.33,15,18,47,50.70,36,71,+20.00,47,56.00,42,75,51,"6' 7""","1,191.917",182,96,47,"3' 4""",43.167,13,94,47,-.056,18,-1.00,47,63.24,43,68,47,"9' 8""",300.417,31,94,47,"6' 0""",383.083,64,94,47,48.48,16,33,47,+.427,75,+32.00,47,.338,9.120,27
Jim Herman,38,"6' 11""",5.498,66,222,38,50.00,127,254,38,88.89,16,18,38,40.28,29,72,+43.00,38,45.78,38,83,42,"8' 4""","1,804.500",216,219,38,"3' 8""",40.667,11,222,38,-.056,18,-1.00,38,52.69,49,93,38,"11' 6""",655.333,57,222,38,"9' 5""",488.083,52,222,38,41.38,24,58,38,+.566,83,+47.00,38,-.734,-22.025,30
Dylan Frittelli,52,"6' 11""",8.701,105,61,52,62.01,204,329,52,91.67,22,24,52,54.26,51,94,+21.00,52,59.30,51,86,56,"7' 0""","2,065.500",294,49,52,"2' 5""",43.667,18,61,52,-.083,24,-2.00,52,61.42,78,127,52,"8' 2""",547.833,67,61,52,"8' 0""",597.333,75,61,52,56.14,32,57,52,+.407,86,+35.00,52,.249,9.447,38
Talor Gooch,54,"6' 11""",7.409,89,122,54,58.60,184,314,54,94.12,16,17,54,53.00,53,100,+35.00,54,53.27,57,107,56,"7' 3""","2,117.417",293,109,54,"2' 4""",41.250,18,122,54,-.059,17,-1.00,54,63.16,72,114,54,"8' 8""",713.750,82,122,54,"7' 9""",694.583,90,122,54,52.00,39,75,54,+.495,107,+53.00,54,.140,6.424,46
Doug Ghim,32,"6' 11""",2.661,32,147,32,57.51,111,193,32,87.50,14,16,32,52.83,28,53,+23.00,32,51.43,36,70,32,"7' 10""",896.083,115,159,32,"2' 1""",18.833,9,147,32,-.063,16,-1.00,32,61.40,35,57,32,"8' 11""",286.583,32,147,32,"8' 9""",368.917,42,147,32,55.32,26,47,32,+.543,70,+38.00,32,-.003,-.055,20
Si Woo Kim,40,"7' 0""",5.743,68,131,40,58.24,159,273,40,92.86,13,14,40,51.16,44,86,+26.00,40,56.34,40,71,42,"7' 5""","1,550.250",209,134,40,"2' 4""",30.083,13,131,40,-.071,14,-1.00,40,58.76,57,97,40,"8' 9""",447.833,51,131,40,"8' 9""",506.083,58,131,40,50.00,23,46,40,+.521,71,+37.00,40,.290,7.531,26
Andrew Putnam,32,"7' 0""",4.224,50,38,32,64.21,122,190,32,92.31,12,13,32,53.57,30,56,+25.00,32,66.67,22,33,34,"8' 5""","1,140.667",135,45,32,"2' 6""",25.333,10,38,32,+.077,13,+1.00,32,78.26,36,46,32,"9' 8""",309.083,32,38,32,"11' 3""",327.417,29,38,32,45.16,14,31,32,+.364,33,+12.00,32,-.103,-1.858,18
Kevin Chappell,31,"7' 0""",3.452,41,139,31,57.92,117,202,31,100.00,17,17,31,47.27,26,55,+18.00,31,56.94,41,72,33,"7' 8""","1,215.500",158,132,31,"1' 8""",18.667,11,139,31,-.235,17,-4.00,31,54.05,40,74,31,"11' 9""",400.583,34,139,31,"7' 1""",401.833,57,139,31,50.00,19,38,31,+.431,72,+31.00,31,-.069,-1.528,22
Cameron Tringale,46,"7' 0""",5.385,64,23,46,65.00,169,260,46,93.94,31,33,46,56.25,36,64,+20.00,46,58.00,58,100,46,"6' 9""","1,540.167",229,29,46,"2' 11""",76.000,26,23,46,-.091,33,-3.00,46,66.67,54,81,46,"8' 7""",435.917,51,23,46,"6' 7""",579.500,88,23,46,56.52,26,46,46,+.450,100,+45.00,46,.162,5.821,36
Chris Baker,37,"7' 0""",4.050,48,122,37,58.60,126,215,37,87.50,14,16,37,50.88,29,57,+21.00,37,56.32,49,87,37,"8' 1""","1,193.500",147,133,37,"4' 2""",41.667,10,122,37,+.063,16,+1.00,37,59.09,39,66,37,"11' 0""",395.750,36,122,37,"7' 11""",418.583,53,122,37,54.55,24,44,37,+.448,87,+39.00,37,.029,.605,21
Graeme McDowell,30,"7' 0""",3.345,40,209,30,53.40,102,191,30,93.75,15,16,30,29.41,15,51,+29.00,30,47.17,25,53,32,"8' 0""","1,203.750",150,210,30,"2' 8""",42.083,16,209,30,-.063,16,-1.00,30,60.32,38,63,30,"11' 1""",387.917,35,209,30,"9' 0""",424.583,47,209,30,35.29,12,34,30,+.585,53,+31.00,30,-.077,-1.465,19
Johnson Wagner,19,"7' 1""",1.537,18,95,19,60.19,65,108,19,78.95,15,19,19,37.04,10,27,+16.00,19,59.46,22,37,19,"9' 1""",444.167,49,100,19,"3' 11""",23.333,6,95,19,+.158,19,+3.00,19,63.33,19,30,19,"11' 6""",126.250,11,95,19,"11' 11""",166.500,14,95,19,40.91,9,22,19,+.459,37,+17.00,19,-.310,-3.100,10
Patrick Rodgers,65,"7' 1""",10.419,123,120,65,58.66,227,387,65,100.00,33,33,65,52.87,46,87,+21.00,65,56.58,86,152,67,"7' 5""","2,451.917",331,124,65,"2' 4""",52.083,22,120,65,-.061,33,-2.00,65,55.71,78,140,65,"8' 7""",577.417,67,120,65,"8' 0""",814.833,102,120,65,50.85,30,59,65,+.461,152,+70.00,65,.056,2.757,49
Robby Shelton,51,"7' 1""",6.736,79,198,51,54.46,165,303,51,84.85,28,33,51,50.67,38,75,+26.00,51,46.60,48,103,51,"8' 1""","1,772.833",220,203,51,"2' 6""",55.333,22,198,51,+.091,33,+3.00,51,55.45,61,110,51,"11' 3""",561.250,50,198,51,"8' 7""",594.917,69,198,51,50.91,28,55,51,+.583,103,+60.00,51,-.343,-12.681,37
Maverick McNealy,54,"7' 2""",5.603,65,13,54,66.45,208,313,54,84.62,22,26,54,63.73,65,102,+22.00,54,62.28,71,114,58,"7' 7""","1,825.917",240,11,54,"2' 7""",44.583,17,13,54,E,26,E,54,67.02,63,94,54,"9' 1""",599.000,66,13,54,"8' 1""",516.167,64,13,54,66.67,52,78,54,+.412,114,+47.00,54,.135,4.859,36
Luke List,41,"7' 2""",6.847,80,160,41,57.08,133,233,41,85.71,12,14,41,58.21,39,67,+17.00,41,54.41,37,68,43,"7' 0""","1,407.667",202,141,41,"2' 11""",32.500,11,160,41,E,14,E,41,55.32,52,94,41,"6' 10""",266.250,39,160,41,"8' 4""",442.167,53,160,41,63.41,26,41,41,+.574,68,+39.00,41,.067,2.084,31
J.B. Holmes,24,"7' 2""",3.612,42,131,24,58.24,99,170,24,93.75,15,16,24,44.90,22,49,+14.00,24,58.33,35,60,24,"7' 11""","1,041.917",131,145,24,"3' 6""",52.083,15,131,24,-.063,16,-1.00,24,57.69,30,52,24,"9' 2""",237.917,26,131,24,"9' 5""",450.917,48,131,24,40.74,11,27,24,+.417,60,+25.00,24,-.014,-.275,19
Patton Kizzire,37,"7' 2""",4.798,56,182,37,55.65,138,248,37,100.00,19,19,37,48.33,29,60,+28.00,37,49.44,44,89,39,"8' 4""","1,694.583",203,171,37,"2' 9""",47.167,17,182,37,-.053,19,-1.00,37,56.57,56,99,37,"11' 2""",513.500,46,182,37,"9' 8""",580.000,60,182,37,50.00,19,38,37,+.584,89,+52.00,37,-.066,-1.919,29
Kyle Stanley,37,"7' 2""",4.911,57,126,37,58.46,114,195,37,73.91,17,23,37,52.54,31,59,+13.00,37,51.79,29,56,39,"8' 1""","1,361.167",168,128,37,"4' 10""",72.500,15,126,37,+.217,23,+5.00,37,59.46,44,74,37,"12' 10""",551.417,43,126,37,"6' 2""",259.500,42,126,37,57.14,24,42,37,+.464,56,+26.00,37,-.026,-.693,27
Jamie Lovemark,20,"7' 2""",2.755,32,87,20,60.90,81,133,20,100.00,9,9,20,60.00,24,40,+12.00,20,47.92,23,48,20,"7' 7""",882.833,116,93,20,"2' 11""",20.667,7,87,20,-.111,9,-1.00,20,73.17,30,41,20,"7' 1""",256.250,36,87,20,"9' 2""",376.333,41,87,20,54.29,19,35,20,+.563,48,+27.00,20,.143,2.719,19
Charley Hoffman,41,"7' 3""",5.625,65,213,41,52.70,127,241,41,91.67,22,24,41,50.63,40,79,+23.00,41,44.12,30,68,43,"8' 0""","1,694.583",211,215,41,"3' 7""",74.500,21,213,41,E,24,E,41,51.90,41,79,41,"9' 8""",520.750,54,213,41,"9' 5""",548.333,58,213,41,50.00,25,50,41,+.662,68,+45.00,41,-.070,-2.088,30
Tyler Duncan,49,"7' 3""",6.637,76,151,49,57.29,169,295,49,96.88,31,32,49,44.44,32,72,+33.00,49,52.38,55,105,53,"7' 2""","1,661.250",233,122,49,"1' 9""",37.000,21,151,49,-.063,32,-2.00,49,57.89,55,95,49,"9' 0""",439.833,49,151,49,"7' 9""",509.333,66,151,49,47.46,28,59,49,+.524,105,+55.00,49,-.282,-10.140,36
Sebastián Muñoz,52,"7' 3""",9.122,105,32,52,64.52,200,310,52,84.85,28,33,52,54.55,36,66,+17.00,52,61.34,73,119,56,"7' 6""","2,456.917",326,24,52,"3' 5""",111.583,33,32,52,+.061,33,+2.00,52,65.14,71,109,52,"10' 3""",541.833,53,32,52,"8' 4""",862.500,104,32,52,59.57,28,47,52,+.403,119,+48.00,52,.033,1.533,46
Nelson Ledesma,34,"7' 3""",3.461,40,160,34,57.08,133,233,34,88.89,16,18,34,51.32,39,76,+27.00,34,64.63,53,82,34,"8' 10""",997.500,113,168,34,"3' 0""",23.917,8,160,34,+.056,18,+1.00,34,47.83,33,69,34,"10' 0""",298.750,30,160,34,"11' 0""",386.417,35,160,34,50.82,31,61,34,+.378,82,+31.00,34,-.572,-10.296,18
Collin Morikawa,48,"7' 3""",7.408,85,93,48,60.24,153,254,48,100.00,19,19,48,55.42,46,83,+23.00,48,54.69,35,64,52,"6' 10""","1,750.250",257,98,48,"2' 8""",47.750,18,93,48,-.158,19,-3.00,48,62.50,45,72,48,"7' 1""",430.000,61,93,48,"7' 8""",520.000,68,93,48,55.17,32,58,48,+.469,64,+30.00,48,.039,1.528,39
Beau Hossler,53,"7' 4""",6.984,79,130,53,58.31,193,331,53,92.11,35,38,53,52.81,47,89,+31.00,53,54.63,59,108,53,"8' 2""","1,897.833",232,144,53,"2' 4""",42.167,18,130,53,+.053,38,+2.00,53,55.36,62,112,53,"9' 2""",534.000,58,130,53,"9' 7""",739.667,77,130,53,53.62,37,69,53,+.500,108,+54.00,53,-.129,-4.507,35
Martin Trainer,34,"7' 4""",7.872,89,204,34,53.72,159,296,34,91.67,22,24,34,50.98,26,51,+23.00,34,51.72,60,116,36,"7' 6""","1,873.083",250,206,34,"3' 0""",72.750,24,204,34,E,24,E,34,52.21,59,113,34,"11' 4""",352.000,31,204,34,"7' 6""",624.333,83,204,34,47.37,18,38,34,+.534,116,+62.00,34,-.043,-1.158,27
Roger Sloan,33,"7' 4""",3.978,45,80,33,61.21,131,214,33,93.33,14,15,33,54.55,36,66,+30.00,33,59.74,46,77,35,"6' 7""",959.250,145,72,33,"2' 9""",30.083,11,80,33,-.067,15,-1.00,33,64.79,46,71,33,"7' 9""",239.417,31,80,33,"6' 10""",329.000,48,80,33,49.02,25,51,33,+.429,77,+33.00,33,.155,3.093,20
Peter Uihlein,33,"7' 5""",4.271,48,113,33,59.04,111,188,33,89.47,17,19,33,60.47,26,43,+7.00,33,52.11,37,71,33,"7' 9""","1,003.417",129,121,33,"2' 2""",25.583,12,113,33,-.105,19,-2.00,33,57.58,38,66,33,"8' 11""",239.750,27,113,33,"9' 1""",382.167,42,113,33,61.29,19,31,33,+.507,71,+36.00,33,.492,11.314,23
Jason Kokrak,37,"7' 5""",4.648,52,78,37,61.24,128,209,37,73.33,11,15,37,50.00,30,60,+24.00,37,74.00,37,50,39,"8' 0""","1,374.000",171,89,37,"3' 8""",54.750,15,78,37,+.200,15,+3.00,37,57.14,36,63,37,"10' 3""",421.167,41,78,37,"7' 10""",397.833,51,78,37,56.76,21,37,37,+.280,50,+14.00,37,-.275,-7.160,26
John Senden,25,"7' 5""",1.422,16,187,25,55.42,92,166,25,77.78,14,18,25,44.44,20,45,+17.00,25,59.15,42,71,25,"8' 3""",636.000,77,190,25,"4' 6""",40.167,9,187,25,+.222,18,+4.00,25,50.00,21,42,25,"12' 3""",196.417,16,187,25,"7' 10""",280.917,36,187,25,44.12,15,34,25,+.408,71,+29.00,25,-.599,-7.189,12
Marc Leishman,35,"7' 5""",5.719,64,73,35,61.36,135,220,35,93.75,15,16,35,46.88,30,64,+20.00,35,55.93,33,59,35,"7' 7""","1,293.333",171,84,35,"2' 2""",26.000,12,73,35,-.125,16,-2.00,35,70.77,46,65,35,"8' 8""",304.750,35,73,35,"8' 1""",486.000,60,73,35,59.38,19,32,35,+.492,59,+29.00,35,-.134,-3.481,26
Robert Garrigus,19,"7' 5""",.885,10,192,19,55.04,71,129,19,69.23,9,13,19,37.84,14,37,+13.00,19,64.58,31,48,19,"7' 9""",519.833,67,194,19,"3' 9""",41.167,11,192,19,+.308,13,+4.00,19,50.00,21,42,19,"11' 7""",197.500,17,192,19,"7' 2""",207.417,29,192,19,38.46,10,26,19,+.354,48,+17.00,19,.260,2.597,10
