player,Proximity to Hole from Other Locations-ROUNDS,Proximity to Hole from Other Locations-AVG DTP,Proximity to Hole from Other Locations-TOTAL DISTANCE (FEET),Proximity to Hole from Other Locations-# OF SHOTS,Proximity to Hole from Other Locations-SCRAMBLING RANK,Scrambling-ROUNDS,Scrambling-%,Scrambling-PAR OR BETTER,Scrambling-MISSED GIR,Scrambling from the Fringe-ROUNDS,Scrambling from the Fringe-%,Scrambling from the Fringe-SUCCESSES,Scrambling from the Fringe-ATTEMPTS,Sand Save Percentage-ROUNDS,Sand Save Percentage-%,Sand Save Percentage-# SAVES,Sand Save Percentage-# BUNKERS,Sand Save Percentage-TOTAL O/U PAR,Scrambling from the Rough-ROUNDS,Scrambling from the Rough-%,Scrambling from the Rough-SUCCESSES,Scrambling from the Rough-ATTEMPTS,Proximity to Hole (ARG)-ROUNDS,Proximity to Hole (ARG)-AVG DTP,Proximity to Hole (ARG)-TOTAL DISTANCE (FEET),Proximity to Hole (ARG)-# OF SHOTS,Proximity to Hole (ARG)-SCRAMBLING RANK,Proximity to Hole from Fringe-ROUNDS,Proximity to Hole from Fringe-AVG DTP,Proximity to Hole from Fringe-TOTAL DISTANCE (FEET),Proximity to Hole from Fringe-# OF SHOTS,Proximity to Hole from Fringe-SCRAMBLING RANK,Scrambling Fringe (RTP Score)-ROUNDS,Scrambling Fringe (RTP Score)-AVG RTP,Scrambling Fringe (RTP Score)-TOTAL HOLES,Scrambling Fringe (RTP Score)-TOTAL RTP,Scrambling from Other Locations-ROUNDS,Scrambling from Other Locations-%,Scrambling from Other Locations-SUCCESSES,Scrambling from Other Locations-ATTEMPTS,Proximity to Hole from Sand-ROUNDS,Proximity to Hole from Sand-AVG DTP,Proximity to Hole from Sand-TOTAL DISTANCE (FEET),Proximity to Hole from Sand-# OF SHOTS,Proximity to Hole from Sand-SCRAMBLING RANK,Proximity to Hole from Rough-ROUNDS,Proximity to Hole from Rough-AVG DTP,Proximity to Hole from Rough-TOTAL DISTANCE (FEET),Proximity to Hole from Rough-# OF SHOTS,Proximity to Hole from Rough-SCRAMBLING RANK,Scrambling from the Sand-ROUNDS,Scrambling from the Sand-%,Scrambling from the Sand-SUCCESSES,Scrambling from the Sand-ATTEMPTS,Scrambling Rough (RTP Score)-ROUNDS,Scrambling Rough (RTP Score)-AVG RTP,Scrambling Rough (RTP Score)-TOTAL HOLES,Scrambling Rough (RTP Score)-TOTAL RTP,SG: Around-the-Green-ROUNDS,SG: Around-the-Green-AVERAGE,SG: Around-the-Green-TOTAL SG:ARG,SG: Around-the-Green-MEASURED ROUNDS
Jonathan Byrd,19,"7' 5""",2.133,24,163,19,57.02,65,114,19,100.00,11,11,19,56.67,17,30,+9.00,19,50.00,21,42,19,"7' 4""",474.083,65,169,19,"2' 3""",13.250,6,163,19,-.091,11,-1.00,19,51.35,19,37,19,"9' 4""",111.833,12,163,19,"7' 5""",171.250,23,163,19,60.87,14,23,19,+.476,42,+20.00,19,-.206,-2.475,12
Lanto Griffin,60,"7' 5""",10.330,116,15,60,66.13,248,375,60,92.31,36,39,60,58.26,67,115,+13.00,60,64.23,79,123,62,"7' 4""","2,499.167",340,18,60,"3' 2""",108.750,34,15,60,-.077,39,-3.00,60,62.04,85,137,60,"8' 5""",731.333,87,15,60,"8' 1""",709.750,88,15,60,63.16,48,76,60,+.390,123,+48.00,60,.090,4.301,48
Ben Taylor,36,"7' 5""",2.833,32,138,36,57.95,113,195,36,91.67,22,24,36,49.09,27,55,+23.00,36,53.52,38,71,36,"7' 6""",843.917,112,153,36,"2' 11""",29.000,10,138,36,-.083,24,-2.00,36,53.45,31,58,36,"8' 9""",280.083,32,138,36,"7' 10""",298.750,38,138,36,52.38,22,42,36,+.521,71,+37.00,36,-.150,-3.308,22
J.T. Poston,50,"7' 5""",7.965,90,73,50,61.36,181,295,50,100.00,13,13,50,57.14,48,84,+13.00,50,59.52,50,84,54,"7' 3""","1,890.667",260,48,50,"3' 6""",45.167,13,73,50,-.077,13,-1.00,50,60.00,63,105,50,"8' 2""",442.500,54,73,50,"8' 9""",594.917,68,73,50,68.09,32,47,50,+.452,84,+38.00,50,.098,3.446,35
Cameron Champ,42,"7' 5""",7.885,89,118,42,58.70,135,230,42,86.96,20,23,42,40.98,25,61,+21.00,42,58.67,44,75,42,"8' 4""","1,830.333",219,130,42,"3' 5""",71.083,21,118,42,+.130,23,+3.00,42,60.00,54,90,42,"9' 8""",426.500,44,118,42,"10' 5""",675.667,65,118,42,40.48,17,42,42,+.453,75,+34.00,42,-.268,-8.840,33
Keith Mitchell,42,"7' 6""",7.367,82,170,42,56.67,153,270,42,81.25,13,16,42,52.17,36,69,+27.00,42,55.41,41,74,44,"8' 8""","1,687.333",194,173,42,"4' 1""",61.833,15,170,42,+.063,16,+1.00,42,51.55,50,97,42,"12' 3""",490.167,40,170,42,"9' 11""",425.917,43,170,42,52.63,20,38,42,+.486,74,+36.00,42,-.610,-17.086,28
Chesson Hadley,42,"7' 6""",5.853,65,218,42,51.14,112,219,42,82.35,14,17,42,42.67,32,75,+28.00,42,45.90,28,61,46,"8' 4""","1,647.083",197,216,42,"2' 4""",25.833,11,218,42,E,17,E,42,60.26,47,78,42,"9' 0""",431.667,48,218,42,"11' 4""",578.083,51,218,42,34.15,14,41,42,+.656,61,+40.00,42,-.045,-1.340,30
Harris English,44,"7' 6""",7.389,82,29,44,64.68,141,218,44,93.33,14,15,44,46.77,29,62,+12.00,44,66.67,46,69,48,"7' 3""","1,710.250",236,16,44,"4' 1""",68.833,17,29,44,E,15,E,44,63.27,62,98,44,"8' 6""",425.250,50,29,44,"7' 5""",474.917,64,29,44,52.78,19,36,44,+.304,69,+21.00,44,.149,5.372,36
Lucas Glover,43,"7' 6""",3.969,44,189,43,55.33,135,244,43,76.47,13,17,43,48.19,40,83,+24.00,43,52.63,30,57,47,"7' 3""","1,309.583",180,146,43,"1' 10""",16.500,9,189,43,+.118,17,+2.00,43,46.30,25,54,43,"8' 6""",399.750,47,189,43,"8' 4""",414.667,50,189,43,53.19,25,47,43,+.526,57,+30.00,43,-.356,-9.254,26
Fabián Gómez,43,"7' 6""",6.397,71,82,43,61.09,157,257,43,90.48,19,21,43,60.00,39,65,+13.00,43,64.21,61,95,43,"6' 8""","1,201.917",181,89,43,"2' 11""",43.417,15,82,43,+.048,21,+1.00,43,56.99,53,93,43,"7' 1""",283.500,40,82,43,"6' 3""",341.917,55,82,43,50.00,24,48,43,+.358,95,+34.00,43,.298,8.050,27
George McNeill,22,"7' 7""",2.836,31,144,22,57.63,68,118,22,87.50,14,16,22,40.74,11,27,+10.00,22,56.52,26,46,22,"7' 11""",599.917,76,158,22,"3' 0""",27.083,9,144,22,+.063,16,+1.00,22,55.56,20,36,22,"10' 9""",118.417,11,144,22,"8' 9""",218.083,25,144,22,44.44,8,18,22,+.500,46,+23.00,22,-.269,-3.497,13
Robert Streb,40,"7' 7""",4.563,50,194,40,54.98,127,231,40,83.33,20,24,40,38.03,27,71,+34.00,40,65.38,51,78,40,"7' 3""","1,077.250",148,196,40,"2' 6""",39.417,16,194,40,+.125,24,+3.00,40,47.89,34,71,40,"10' 10""",356.333,33,194,40,"6' 2""",301.250,49,194,40,38.60,22,57,40,+.397,78,+31.00,40,-.245,-5.399,22
Max Homa,44,"7' 7""",7.654,84,145,44,57.62,155,269,44,92.86,13,14,44,56.25,36,64,+20.00,44,53.52,38,71,48,"8' 1""","1,836.917",227,151,44,"6' 7""",104.917,16,145,44,E,14,E,44,60.67,54,89,44,"9' 10""",413.667,42,145,44,"9' 2""",559.500,61,145,44,57.50,23,40,44,+.521,71,+37.00,44,-.415,-12.868,31
Jon Rahm,22,"7' 7""",4.553,50,34,22,64.35,74,115,22,93.33,14,15,22,64.00,16,25,+2.00,22,54.35,25,46,26,"7' 10""","1,218.917",156,26,22,"2' 4""",36.917,16,34,22,E,15,E,22,70.00,28,40,22,"9' 6""",189.667,20,34,22,"9' 10""",509.667,52,34,22,50.00,7,14,22,+.435,46,+20.00,22,.144,3.027,21
Bryson DeChambeau,30,"7' 7""",6.722,74,5,30,67.50,108,160,30,90.91,10,11,30,63.46,33,52,+5.00,30,66.00,33,50,34,"7' 8""","1,659.667",216,5,30,"3' 1""",27.833,9,5,30,-.091,11,-1.00,30,64.06,41,64,30,"9' 1""",391.583,43,5,30,"8' 3""",568.417,69,5,30,68.57,24,35,30,+.280,50,+14.00,30,.072,2.161,30
Bronson Burgoon,37,"7' 8""",5.134,56,86,37,60.93,131,215,37,82.61,19,23,37,59.57,28,47,+9.00,37,59.34,54,91,39,"6' 10""","1,356.083",198,88,37,"2' 8""",55.667,21,86,37,+.087,23,+2.00,37,60.94,39,64,37,"8' 0""",263.833,33,86,37,"7' 1""",526.583,74,86,37,51.35,19,37,37,+.396,91,+36.00,37,.173,5.005,29
Danny Lee,42,"7' 8""",7.578,82,47,42,63.39,161,254,42,100.00,12,12,42,58.75,47,80,+10.00,42,59.70,40,67,46,"7' 9""","1,684.250",218,60,42,"2' 8""",31.500,12,47,42,E,12,E,42,59.34,54,91,42,"8' 8""",467.167,54,47,42,"8' 4""",434.667,52,47,42,62.79,27,43,42,+.388,67,+26.00,42,-.227,-6.367,28
Dustin Johnson,18,"7' 8""",2.943,32,90,18,60.53,69,114,18,86.67,13,15,18,58.06,18,31,+12.00,18,54.55,24,44,22,"7' 8""","1,026.500",134,70,18,"4' 0""",47.583,12,90,18,+.067,15,+1.00,18,50.00,17,34,18,"8' 5""",194.000,23,90,18,"10' 1""",413.333,41,90,18,71.43,15,21,18,+.500,44,+22.00,18,-.216,-3.458,16
Michael Gligic,36,"7' 8""",4.956,54,135,36,58.08,133,229,36,89.47,17,19,36,50.00,26,52,+26.00,36,52.69,49,93,38,"7' 11""","1,230.167",155,126,36,"2' 9""",22.000,8,135,36,+.105,19,+2.00,36,63.51,47,74,36,"8' 5""",261.083,31,135,36,"10' 0""",470.333,47,135,36,48.78,20,41,36,+.538,93,+50.00,36,-.277,-6.086,22
Henrik Norlander,48,"7' 9""",4.761,51,214,48,52.61,141,268,48,90.00,18,20,48,43.37,36,83,+34.00,48,50.00,53,106,48,"8' 6""","1,508.917",178,217,48,"3' 1""",45.833,15,214,48,+.100,20,+2.00,48,51.90,41,79,48,"9' 5""",461.583,49,214,48,"9' 7""",604.750,63,214,48,46.03,29,63,48,+.509,106,+54.00,48,-.269,-8.075,30
Ryan Brehm,42,"7' 9""",3.429,37,191,42,55.13,129,234,42,82.35,14,17,42,48.53,33,68,+39.00,42,54.55,48,88,42,"8' 10""","1,217.917",138,193,42,"2' 9""",33.083,12,191,42,+.118,17,+2.00,42,57.53,42,73,42,"10' 2""",398.000,39,191,42,"10' 0""",501.083,50,191,42,47.17,25,53,42,+.443,88,+39.00,42,-.239,-5.744,24
Seamus Power,22,"7' 9""",1.392,15,215,22,52.34,67,128,22,83.33,15,18,22,46.67,14,30,+11.00,22,54.35,25,46,22,"6' 7""",389.583,59,218,22,"2' 7""",23.167,9,215,22,+.056,18,+1.00,22,47.62,20,42,22,"8' 5""",108.917,13,215,22,"6' 5""",141.500,22,215,22,36.84,7,19,22,+.500,46,+23.00,22,.298,3.282,11
Cameron Percy,37,"7' 9""",4.735,51,62,37,61.98,119,192,37,88.46,23,26,37,45.45,20,44,+22.00,37,62.50,35,56,37,"7' 8""","1,093.417",143,75,37,"2' 4""",47.083,20,62,37,+.038,26,+1.00,37,61.43,43,70,37,"9' 1""",254.500,28,62,37,"9' 0""",397.250,44,62,37,46.15,18,39,37,+.375,56,+21.00,37,-.295,-7.384,25
Sam Ryder,52,"7' 9""",8.637,93,82,52,61.09,190,311,52,91.67,22,24,52,46.58,34,73,+26.00,52,59.46,66,111,56,"8' 2""","2,119.083",260,64,52,"3' 6""",38.500,11,82,52,-.042,24,-1.00,52,61.11,77,126,52,"10' 4""",516.583,50,82,52,"9' 0""",713.500,79,82,52,52.08,25,48,52,+.459,111,+51.00,52,-.095,-3.617,38
Doc Redman,56,"7' 9""",8.497,91,155,56,57.19,175,306,56,91.67,22,24,56,54.02,47,87,+33.00,56,56.60,60,106,60,"7' 10""","2,095.667",267,160,56,"2' 1""",31.000,15,155,56,-.125,24,-3.00,56,50.91,56,110,56,"8' 4""",498.167,60,155,56,"8' 10""",683.250,77,155,56,56.06,37,66,56,+.509,106,+54.00,56,-.337,-14.835,44
J.J. Spaun,42,"7' 10""",6.194,66,220,42,50.97,131,257,42,72.00,18,25,42,49.21,31,63,+23.00,42,48.08,50,104,44,"8' 5""","1,915.333",227,220,42,"3' 11""",74.417,19,220,42,+.280,25,+7.00,42,52.56,41,78,42,"10' 4""",453.417,44,220,42,"9' 9""",788.250,81,220,42,46.81,22,47,42,+.558,104,+58.00,42,-.488,-15.624,32
Bud Cauley,42,"7' 10""",6.300,67,9,42,67.05,173,258,42,80.00,16,20,42,65.38,51,78,+14.00,42,67.31,70,104,44,"6' 9""","1,738.000",258,13,42,"2' 9""",49.500,18,9,42,+.100,20,+2.00,42,66.67,48,72,42,"7' 1""",486.000,69,9,42,"6' 7""",626.583,95,9,42,63.93,39,61,42,+.317,104,+33.00,42,.373,14.551,39
Bubba Watson,34,"7' 10""",5.090,54,81,34,61.17,126,206,34,93.75,15,16,34,53.06,26,49,+11.00,34,65.45,36,55,38,"8' 4""","1,526.667",183,59,34,"3' 1""",42.750,14,81,34,-.063,16,-1.00,34,58.33,35,60,34,"11' 7""",405.000,35,81,34,"9' 2""",506.167,55,81,34,51.72,15,29,34,+.291,55,+16.00,34,-.120,-3.012,25
Ian Poulter,22,"7' 10""",3.096,33,25,22,64.94,100,154,22,100.00,1,1,22,64.58,31,48,+13.00,22,51.52,17,33,26,"6' 8""",765.500,115,22,22,"2' 11""",8.750,3,25,22,E,1,E,22,58.82,20,34,22,"5' 5""",135.583,25,25,22,"8' 8""",217.583,25,25,22,75.00,18,24,22,+.515,33,+17.00,22,.307,3.687,12
Nate Lashley,36,"7' 11""",6.397,67,188,36,55.41,123,222,36,96.55,28,29,36,44.07,26,59,+26.00,36,48.94,23,47,38,"7' 5""","1,444.083",194,178,36,"3' 2""",72.667,23,188,36,-.034,29,-1.00,36,52.05,38,73,36,"8' 8""",389.333,45,188,36,"8' 2""",383.750,47,188,36,40.91,18,44,36,+.532,47,+25.00,36,.159,4.612,29
Denny McCarthy,52,"8' 0""",7.983,83,113,52,59.04,173,293,52,100.00,16,16,52,48.35,44,91,+33.00,52,62.24,61,98,54,"8' 8""","2,184.500",253,118,52,"2' 11""",34.667,12,113,52,-.125,16,-2.00,52,57.66,64,111,52,"9' 11""",686.583,69,113,52,"9' 0""",638.000,71,113,52,48.48,32,66,52,+.306,98,+30.00,52,-.125,-4.988,40
Wyndham Clark,43,"8' 0""",7.940,83,149,43,57.35,160,279,43,94.74,18,19,43,50.77,33,65,+24.00,43,55.41,41,74,47,"7' 9""","1,942.833",252,167,43,"3' 0""",50.583,17,149,43,-.105,19,-2.00,43,59.05,62,105,43,"8' 11""",373.750,42,149,43,"8' 8""",632.417,73,149,43,35.90,14,39,43,+.486,74,+36.00,43,.125,3.508,28
Brice Garnett,42,"8' 1""",5.059,52,44,42,63.60,152,239,42,89.66,26,29,42,51.39,37,72,+22.00,42,58.02,47,81,46,"8' 3""","1,608.833",195,47,42,"2' 11""",56.083,19,44,42,E,29,E,42,67.61,48,71,42,"9' 3""",461.250,50,44,42,"9' 10""",559.750,57,44,42,53.45,31,58,42,+.432,81,+35.00,42,.147,4.263,29
Tommy Fleetwood,22,"8' 1""",1.559,16,199,22,54.24,64,118,22,81.82,9,11,22,61.11,22,36,+5.00,22,52.00,13,25,22,"6' 2""",371.333,60,204,22,"2' 4""",18.667,8,199,22,E,11,E,22,50.00,10,20,22,"6' 3""",81.167,13,199,22,"6' 2""",141.583,23,199,22,53.85,7,13,22,+.440,25,+11.00,22,-.187,-1.870,10
K.J. Choi,17,"8' 1""",1.839,19,26,17,64.89,61,94,17,90.00,9,10,17,61.11,11,18,+5.00,17,59.38,19,32,19,"6' 8""",491.417,74,23,17,"2' 8""",21.417,8,26,17,E,10,E,17,54.55,12,22,17,"8' 10""",105.500,12,26,17,"5' 5""",97.583,18,26,17,57.14,8,14,17,+.406,32,+13.00,17,.591,5.317,9
Nick Watney,35,"8' 1""",4.351,45,180,35,55.68,103,185,35,90.91,20,22,35,45.10,23,51,+16.00,35,58.62,34,58,36,"7' 5""","1,111.167",150,200,35,"2' 4""",39.417,17,180,35,-.045,22,-1.00,35,48.53,33,68,35,"8' 6""",289.083,34,180,35,"8' 0""",382.250,48,180,35,45.71,16,35,35,+.466,58,+27.00,35,.274,7.406,27
Francesco Molinari,19,"8' 2""",2.164,22,117,19,58.73,74,126,19,88.89,8,9,19,53.57,15,28,+13.00,19,54.76,23,42,19,"8' 7""",727.583,85,129,19,"4' 5""",26.500,6,117,19,E,9,E,19,55.56,15,27,19,"10' 11""",196.417,18,117,19,"8' 4""",324.333,39,117,19,47.62,10,21,19,+.429,42,+18.00,19,-.082,-.980,12
Hank Lebioda,39,"8' 2""",4.897,50,182,39,55.65,138,248,39,80.00,16,20,39,46.58,34,73,+24.00,39,60.00,63,105,39,"8' 1""","1,405.417",174,189,39,"3' 0""",24.083,8,182,39,+.200,20,+4.00,39,50.72,35,69,39,"8' 11""",400.083,45,182,39,"8' 1""",573.167,71,182,39,46.15,24,52,39,+.419,105,+44.00,39,-.165,-4.130,25
Austin Cook,38,"8' 2""",4.977,51,164,38,57.01,126,221,38,100.00,17,17,38,41.18,21,51,+22.00,38,49.45,45,91,40,"8' 3""","1,318.333",159,185,38,"2' 0""",20.250,10,164,38,-.176,17,-3.00,38,61.84,47,76,38,"12' 8""",378.917,30,164,38,"7' 6""",404.000,54,164,38,47.22,17,36,38,+.538,91,+49.00,38,.027,.707,26
Matthew Wolff,40,"8' 3""",7.937,80,168,40,56.69,144,254,40,77.27,17,22,40,41.79,28,67,+29.00,40,54.24,32,59,42,"8' 11""","1,837.750",206,171,40,"3' 10""",60.750,16,168,40,+.227,22,+5.00,40,60.47,52,86,40,"11' 2""",479.667,43,168,40,"10' 1""",554.667,55,168,40,46.34,19,41,40,+.508,59,+30.00,40,-.494,-14.313,29
Will Gordon,20,"8' 3""",1.971,20,134,20,58.18,64,110,20,100.00,13,13,20,54.17,13,24,+3.00,20,43.59,17,39,20,"9' 5""",498.583,53,147,20,"2' 5""",14.417,6,134,20,-.154,13,-2.00,20,59.09,26,44,20,"11' 7""",104.583,9,134,20,"12' 0""",215.333,18,134,20,58.33,7,12,20,+.564,39,+22.00,20,-.457,-4.575,10
Corey Conners,44,"8' 5""",6.572,65,206,44,53.69,109,203,44,87.50,14,16,44,41.79,28,67,+27.00,44,50.00,24,48,48,"8' 0""","1,532.833",192,209,44,"3' 7""",50.583,14,206,44,E,16,E,44,50.00,25,50,44,"9' 6""",418.250,44,206,44,"8' 2""",401.583,49,206,44,41.67,15,36,44,+.521,48,+25.00,44,-.325,-10.389,32
Kevin Streelman,43,"8' 6""",5.189,51,185,43,55.51,136,245,43,95.00,19,20,43,55.00,44,80,+32.00,43,49.18,30,61,45,"7' 10""","1,340.583",171,186,43,"2' 6""",45.583,18,185,43,-.050,20,-1.00,43,53.45,31,58,43,"7' 8""",345.583,45,185,43,"9' 2""",420.500,46,185,43,55.77,29,52,43,+.508,61,+31.00,43,.026,.695,27
Shawn Stefani,26,"8' 6""",2.649,26,116,26,58.78,87,148,26,90.00,9,10,26,55.32,26,47,+12.00,26,50.85,30,59,26,"8' 10""",716.167,81,127,26,"3' 1""",9.333,3,116,26,E,10,E,26,57.14,24,42,26,"8' 5""",169.000,20,116,26,"9' 11""",317.083,32,116,26,68.57,24,35,26,+.542,59,+32.00,26,-.154,-1.998,13
Bo Hoag,47,"8' 7""",6.102,59,101,47,59.76,147,246,47,90.91,20,22,47,43.28,29,67,+28.00,47,58.62,51,87,47,"7' 11""","1,295.167",163,107,47,"2' 10""",36.917,13,101,47,+.045,22,+1.00,47,64.84,59,91,47,"7' 11""",325.167,41,101,47,"8' 6""",424.583,50,101,47,36.96,17,46,47,+.425,87,+37.00,47,-.061,-1.756,29
Satoshi Kodaira,31,"8' 7""",4.951,48,200,31,54.17,117,216,31,88.89,8,9,31,50.82,31,61,+23.00,31,50.00,33,66,31,"8' 7""","1,031.500",120,205,31,"4' 0""",24.083,6,200,31,E,9,E,31,55.56,40,72,31,"9' 4""",344.333,37,200,31,"8' 8""",250.500,29,200,31,50.00,21,42,31,+.576,66,+38.00,31,-.460,-7.825,17
Kurt Kitayama,18,"8' 7""",3.201,31,190,18,55.17,64,116,18,100.00,3,3,18,42.86,12,28,+9.00,18,50.00,20,40,18,"7' 5""",729.417,98,192,18,"2' 2""",8.500,4,190,18,E,3,E,18,53.13,17,32,18,"7' 1""",141.667,20,190,18,"7' 3""",312.500,43,190,18,58.82,10,17,18,+.575,40,+23.00,18,.238,2.860,12
Viktor Hovland,34,"8' 8""",4.258,41,146,34,57.58,114,198,34,88.89,16,18,34,44.78,30,67,+28.00,34,43.75,21,48,38,"8' 6""","1,174.667",138,122,34,"3' 1""",24.917,8,146,34,E,18,E,34,66.67,34,51,34,"10' 11""",437.833,40,146,34,"8' 6""",213.167,25,146,34,43.90,18,41,34,+.688,48,+33.00,34,-.779,-14.015,18
Sam Burns,34,"8' 8""",7.350,71,202,34,53.98,122,226,34,84.21,16,19,34,32.26,20,62,+33.00,34,56.34,40,71,36,"9' 3""","1,998.250",216,201,34,"2' 7""",30.667,12,202,34,+.053,19,+1.00,34,55.68,49,88,34,"14' 8""",731.500,50,202,34,"8' 2""",514.500,63,202,34,36.17,17,47,34,+.437,71,+31.00,34,-.764,-23.691,31
Bill Haas,32,"8' 9""",5.239,50,186,32,55.49,101,182,32,88.00,22,25,32,51.02,25,49,+15.00,32,50.00,30,60,36,"7' 5""","1,124.750",152,157,32,"1' 3""",8.500,7,186,32,-.040,25,-1.00,32,50.85,30,59,32,"7' 8""",237.917,31,186,32,"8' 4""",317.583,38,186,32,50.00,19,38,32,+.583,60,+35.00,32,.160,3.525,22
Chris Stroud,30,"8' 10""",5.170,49,156,30,57.14,112,196,30,95.00,19,20,30,47.17,25,53,+17.00,30,57.63,34,59,34,"7' 9""","1,221.083",158,119,30,"2' 7""",36.167,14,156,30,E,20,E,30,50.00,39,78,30,"11' 0""",374.750,34,156,30,"7' 7""",271.583,36,156,30,51.28,20,39,30,+.424,59,+25.00,30,-.241,-4.821,20
Ben Martin,28,"8' 10""",2.221,21,53,28,62.79,108,172,28,94.74,18,19,28,46.00,23,50,+22.00,28,60.00,45,75,28,"8' 3""",782.750,95,58,28,"2' 5""",26.667,11,53,28,E,19,E,28,66.67,24,36,28,"13' 3""",317.000,24,53,28,"6' 6""",254.000,39,53,28,50.00,21,42,28,+.413,75,+31.00,28,-.129,-1.803,14
Michael Gellerman,32,"9' 1""",3.164,29,195,32,54.84,102,186,32,86.36,19,22,32,26.19,11,42,+18.00,32,55.56,45,81,32,"9' 6""","1,030.417",108,197,32,"3' 3""",29.500,9,195,32,+.136,22,+3.00,32,48.28,28,58,32,"17' 4""",294.833,17,195,32,"8' 4""",442.417,53,195,32,40.00,10,25,32,+.432,81,+35.00,32,-.612,-12.242,20
Brandon Hagy,36,"9' 1""",4.572,42,181,36,55.66,118,212,36,66.67,16,24,36,55.56,35,63,+14.00,36,57.75,41,71,36,"9' 6""","1,409.667",149,188,36,"4' 0""",40.250,10,181,36,+.167,24,+4.00,36,48.65,36,74,36,"10' 6""",471.250,45,181,36,"9' 11""",517.167,52,181,36,60.98,25,41,36,+.437,71,+31.00,36,-.016,-.421,26
Lucas Bjerregaard,17,"9' 2""",2.421,22,221,17,50.44,57,113,17,100.00,11,11,17,48.28,14,29,+11.00,17,46.51,20,43,17,"8' 3""",620.000,75,223,17,"3' 1""",18.500,6,221,17,-.091,11,-1.00,17,42.11,16,38,17,"9' 1""",172.500,19,221,17,"8' 1""",227.250,28,221,17,47.62,10,21,17,+.605,43,+26.00,17,-.190,-2.285,12
C.T. Pan,30,"9' 6""",4.999,44,107,30,59.44,107,180,30,75.00,6,8,30,47.46,28,59,+23.00,30,64.29,27,42,34,"8' 1""","1,192.667",148,94,30,"5' 2""",41.083,8,107,30,E,8,E,30,63.16,36,57,30,"10' 2""",365.000,36,107,30,"7' 2""",229.417,32,107,30,46.88,15,32,30,+.381,42,+16.00,30,.139,2.362,17
Arjun Atwal,21,"10' 0""",2.527,21,167,21,56.72,76,134,21,75.00,6,8,21,42.86,15,35,+13.00,21,75.47,40,53,21,"8' 5""",506.083,60,175,21,"4' 9""",23.833,5,167,21,+.250,8,+2.00,21,40.00,18,45,21,"9' 2""",146.333,16,167,21,"7' 0""",125.333,18,167,21,42.86,12,28,21,+.189,53,+10.00,21,.079,.791,10
Kristoffer Ventura,34,"11' 2""",4.032,30,177,34,55.81,120,215,34,89.47,17,19,34,36.73,18,49,+32.00,34,59.79,58,97,34,"9' 6""",978.833,103,184,34,"1' 8""",11.583,7,177,34,+.105,19,+2.00,34,49.12,28,57,34,"11' 7""",278.583,24,177,34,"8' 5""",352.667,42,177,34,41.46,17,41,34,+.443,97,+43.00,34,-.929,-16.724,18
Louis Oosthuizen,18,"11' 3""",1.758,13,207,18,53.64,59,110,18,88.89,8,9,18,44.44,12,27,+15.00,18,61.29,19,31,20,"7' 3""",544.167,75,197,18,"2' 11""",23.500,8,207,18,+.111,9,+1.00,18,38.10,8,21,18,"9' 5""",122.333,13,207,18,"6' 8""",172.750,26,207,18,53.85,7,13,18,+.419,31,+13.00,18,-.730,-7.297,10
