player,Percentage of Yardage covered by Tee Shots-ROUNDS,Percentage of Yardage covered by Tee Shots-AVG (%),Percentage of Yardage covered by Tee Shots-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots-TOTAL DISTANCE,Right Tendency-EVENTS,Right Tendency-%,Right Tendency-NUMBER OF TIMES,Right Tendency-ATTEMPTS,Right Tendency-AVG RTP SCORE,Missed Fairway Percent - Other-ROUNDS,Missed Fairway Percent - Other-%,Missed Fairway Percent - Other-TOTAL MISSED,Missed Fairway Percent - Other-TOTAL FWYS,Missed Fairway Percent - Other-RELATIVE TO PAR,Percentage of Yardage covered by Tee Shots - Par 5's-ROUNDS,Percentage of Yardage covered by Tee Shots - Par 5's-AVG (%),Percentage of Yardage covered by Tee Shots - Par 5's-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots - Par 5's-TOTAL DISTANCE,Driving Pct 320+ (Measured)-ROUNDS,Driving Pct 320+ (Measured)-%,Driving Pct 320+ (Measured)-TOTAL DRIVES FOR 320+,Driving Pct 320+ (Measured)-TOTAL DRVS - OVERALL,Driving Pct 320+ (Measured)-RELATIVE TO PAR,Percentage of Yardage covered by Tee Shots - Par 4's-ROUNDS,Percentage of Yardage covered by Tee Shots - Par 4's-AVG (%),Percentage of Yardage covered by Tee Shots - Par 4's-TOTAL SHOT DISTANCE,Percentage of Yardage covered by Tee Shots - Par 4's-TOTAL DISTANCE,Left Tendency-EVENTS,Left Tendency-%,Left Tendency-NUMBER OF TIMES,Left Tendency-ATTEMPTS,Left Tendency-AVG RTP SCORE,Left Rough Tendency (RTP Score)-ROUNDS,Left Rough Tendency (RTP Score)-RTP SCORE,Fairway Bunker Tendency-ROUNDS,Fairway Bunker Tendency-%,Fairway Bunker Tendency-TOTAL FAIRWAY BUNKERS,Fairway Bunker Tendency-POSSIBLE FWYS,Fairway Bunker Tendency-RELATIVE TO PAR,SG: Off-the-Tee-ROUNDS,SG: Off-the-Tee-AVERAGE,SG: Off-the-Tee-TOTAL SG:OTT,SG: Off-the-Tee-MEASURED ROUNDS,SG: Tee-to-Green-ROUNDS,SG: Tee-to-Green-AVERAGE,SG: Tee-to-Green-SG:OTT,SG: Tee-to-Green-SG:APR,SG: Tee-to-Green-SG:ARG,SG: Tee-to-Green-MEASURED ROUNDS,Right Rough Tendency (RTP Score)-ROUNDS,Right Rough Tendency (RTP Score)-RTP SCORE,Right Rough Tendency-ROUNDS,Right Rough Tendency-%,Right Rough Tendency-TOTAL RIGHT ROUGH,Right Rough Tendency-POSSIBLE FWYS,Right Rough Tendency-RELATIVE TO PAR,Left Rough Tendency-ROUNDS,Left Rough Tendency-%,Left Rough Tendency-TOTAL LEFT ROUGH,Left Rough Tendency-POSSIBLE FWYS,Left Rough Tendency-RELATIVE TO PAR,Good Drive Percentage-ROUNDS,Good Drive Percentage-%,Good Drive Percentage-# HIT,Good Drive Percentage-TOTAL ATTEMPTS,Driving Accuracy Percentage-ROUNDS,Driving Accuracy Percentage-%,Driving Accuracy Percentage-FAIRWAYS HIT,Driving Accuracy Percentage-POSSIBLE FAIRWAYS,Rough Tendency-ROUNDS,Rough Tendency-%,Rough Tendency-TOTAL ROUGH,Rough Tendency-POSSIBLE FWYS,Rough Tendency-RELATIVE TO PAR,Hit Fairway Percentage-ROUNDS,Hit Fairway Percentage-%,Hit Fairway Percentage-FAIRWAYS HIT,Hit Fairway Percentage-POSSIBLE FAIRWAYS,Hit Fairway Percentage-RELATIVE TO PAR
Jason Dufner,38,61.72,"1,257,855","203,802",12,51.6,82,159,+2.20,38,1.35,6,445,+0.17,42,50.76,"302,229","59,545",38,7.89,6,76,-0.33,38,65.55,"987,988","150,724",12,48.4,77,159,+1.95,38,+.129,38,5.2,23,96,+0.261,42,.126,4.538,36,38,.499,.138,.200,.160,32,38,+.243,38,15.73,70,445,+0.24,38,13.93,62,445,+0.13,38,84.56,449,531,42,66.61,391,587,38,29.66,132,445,+1.89,38,63.82,284,445,-0.10
Kevin Kisner,39,61.70,"872,184","141,365",11,37.4,34,91,-0.88,39,1.60,5,312,+0.60,41,50.69,"204,382","40,319",39,8.06,5,62,E,39,65.63,"684,397","104,274",11,62.6,57,91,+1.05,39,-.048,39,6.1,19,82,+0.316,41,.154,3.705,24,39,.226,.161,-.056,.121,22,39,-.179,39,8.97,28,312,-0.18,39,13.46,42,312,-0.05,39,85.69,467,545,41,67.89,389,573,39,22.44,70,312,-1.00,39,69.87,218,312,-0.11
Pat Perez,39,61.68,"947,545","153,627",11,52.4,65,124,+0.62,39,2.71,9,332,+0.89,41,52.09,"226,255","43,437",39,9.68,6,62,-0.50,39,65.07,"738,027","113,418",11,47.6,59,124,+1.53,39,-.020,39,6.6,22,92,+0.318,41,-.242,-6.292,26,39,-.164,-.271,.333,-.227,24,39,-.020,39,15.06,50,332,-0.02,39,14.76,49,332,-0.02,39,84.29,456,541,41,62.39,355,569,39,29.82,99,332,-0.20,39,60.84,202,332,-0.18
Russell Henley,35,61.66,"1,180,033","191,378",11,54.7,82,150,+1.10,35,2.86,12,419,+0.67,37,51.41,"272,035","52,914",35,7.14,5,70,-0.40,35,65.29,"925,110","141,692",11,45.3,68,150,E,35,-.130,35,6.4,27,117,+0.185,37,-.206,-6.597,32,35,.600,-.253,.658,.195,30,35,+.048,35,14.80,62,419,+0.05,35,12.89,54,419,-0.13,35,86.73,425,490,37,64.29,333,518,35,27.68,116,419,-0.34,35,63.01,264,419,-0.17
Zach Johnson,37,61.65,"1,169,348","189,677",11,48.3,73,151,+2.60,37,1.20,5,418,+0.80,39,51.38,"252,363","49,121",37,2.70,2,74,-1.00,37,64.88,"932,832","143,784",11,51.7,78,151,+1.79,37,+.091,37,6.5,27,112,+0.444,39,-.126,-4.033,32,37,-.120,-.086,.127,-.161,30,37,+.164,37,13.16,55,418,+0.16,37,15.79,66,418,+0.09,37,81.85,424,518,39,62.45,341,546,37,28.95,121,418,+1.24,37,63.40,265,418,-0.18
Henrik Norlander,48,61.65,"1,172,011","190,097",16,48.2,68,141,+0.59,48,2.14,9,420,+0.89,48,52.16,"268,906","51,559",48,14.58,14,96,-0.64,48,65.19,"903,105","138,538",16,51.8,73,141,+1.37,48,+.075,48,5.7,24,104,+0.042,48,.126,3.779,30,48,-.164,.126,-.021,-.269,30,48,+.018,48,13.57,57,420,+0.02,48,12.62,53,420,+0.08,48,85.54,574,671,48,67.81,455,671,48,26.19,110,420,+0.45,48,65.95,277,420,-0.10
C.T. Pan,30,61.61,"673,227","109,273",11,34.1,30,88,+3.33,30,2.56,6,234,+0.17,34,51.95,"185,220","35,651",30,6.82,3,44,E,30,65.17,"521,924","80,089",11,65.9,58,88,+2.24,30,+.190,30,7.7,18,75,+0.278,34,-.255,-5.355,21,30,-.324,-.352,-.111,.139,17,30,+.346,30,11.11,26,234,+0.35,30,17.95,42,234,+0.19,30,81.49,339,416,34,60.17,284,472,30,29.06,68,234,+2.50,30,60.68,142,234,-0.07
George McNeill,22,61.52,"513,438","83,464",8,62.7,47,75,+1.49,22,2.81,5,178,+1.00,22,51.39,"140,970","27,432",22,4.55,2,44,-0.50,22,66.47,"372,468","56,032",8,37.3,28,75,+0.71,22,+.095,22,3.9,7,32,+0.286,22,-.159,-2.066,13,22,-.315,-.159,.113,-.269,13,22,E,22,23.60,42,178,E,22,11.80,21,178,+0.10,22,84.69,260,307,22,59.28,182,307,22,35.39,63,178,+0.32,22,57.87,103,178,-0.22
Roberto Castro,23,61.51,"550,716","89,540",7,47.1,33,70,+0.30,23,2.55,5,196,+0.20,23,49.80,"131,504","26,404",23,6.52,3,46,-0.67,23,66.40,"419,212","63,136",7,52.9,37,70,E,23,-.160,23,7.7,15,63,+0.267,23,.164,2.296,14,23,.419,.164,.057,.198,14,23,E,23,12.76,25,196,E,23,12.76,25,196,-0.16,23,88.79,285,321,23,68.54,220,321,23,25.51,50,196,-0.80,23,64.29,126,196,-0.13
Mark Hubbard,53,61.50,"1,558,809","253,452",15,53.6,104,194,+2.02,53,1.61,9,558,+0.22,57,51.68,"376,963","72,946",53,10.38,11,106,-0.55,53,64.97,"1,214,791","186,973",15,46.4,90,194,+0.56,53,+.015,53,7.0,39,164,+0.205,57,.005,.227,44,53,.124,-.005,.089,.040,40,53,+.159,53,14.70,82,558,+0.16,53,12.19,68,558,+0.01,53,82.73,613,741,57,64.12,511,797,53,26.88,150,558,+0.93,53,64.52,360,558,-0.19
Scott Brown,48,61.48,"1,332,657","216,752",16,49.0,72,147,+2.50,48,2.11,10,475,+0.70,50,51.45,"318,094","61,824",48,5.21,5,96,-0.40,48,65.20,"1,031,147","158,156",16,51.0,75,147,+1.73,48,+.179,48,4.8,23,99,+0.174,50,.258,9.272,36,48,-.220,.269,-.530,.042,34,48,+.200,48,12.63,60,475,+0.20,48,11.79,56,475,+0.18,48,83.76,562,671,50,68.10,476,699,48,24.42,116,475,+1.90,48,68.63,326,475,-0.11
Kyle Stanley,37,61.45,"1,060,065","172,511",13,63.4,78,123,+3.85,37,3.17,12,378,+0.75,39,51.19,"258,492","50,494",37,2.70,2,74,E,37,65.29,"817,681","125,245",13,36.6,45,123,+2.22,37,-.103,37,7.1,27,117,+0.481,39,-.187,-5.412,29,37,.121,-.250,.396,-.026,27,37,+.383,37,15.87,60,378,+0.38,37,7.67,29,378,-0.10,37,86.49,448,518,39,69.96,382,546,37,23.54,89,378,+2.25,37,66.14,250,378,-0.21
Jazz Janewattananond,20,61.45,"316,729","51,541",6,22.0,9,41,+6.67,20,2.68,3,112,-0.33,22,52.11,"89,630","17,200",20,31.25,5,16,E,20,64.86,"243,685","37,569",6,78.0,32,41,+2.81,20,+.231,20,5.4,6,26,+0.333,22,-.526,-5.263,10,20,-1.909,-.584,-.879,-.446,8,20,+.667,20,8.04,9,112,+0.67,20,23.21,26,112,+0.23,20,83.33,230,276,22,66.45,202,304,20,31.25,35,112,+3.43,20,60.71,68,112,-0.04
Jim Furyk,23,61.42,"770,703","125,481",7,58.2,32,55,-0.31,23,1.79,5,279,+0.60,25,50.64,"175,918","34,740",23,2.17,1,46,E,23,64.95,"610,346","93,969",7,41.8,23,55,+1.30,23,+.067,23,5.0,14,58,-0.071,25,-.051,-1.121,22,23,.549,-.047,.652,-.057,20,23,-.042,23,8.60,24,279,-0.04,23,5.38,15,279,+0.07,23,93.15,299,321,25,78.80,275,349,23,13.98,39,279,E,23,79.21,221,279,-0.14
Chez Reavie,47,61.38,"1,069,899","174,321",14,38.3,41,107,+1.22,47,1.84,7,381,+0.57,51,50.88,"285,277","56,068",47,5.71,4,70,-0.25,47,65.64,"818,713","124,720",14,61.7,66,107,+1.36,47,-.022,47,6.0,23,98,+0.304,51,-.206,-6.391,31,47,.492,-.172,.326,.338,27,47,+.108,47,9.71,37,381,+0.11,47,11.81,45,381,-0.02,47,87.06,572,657,51,69.85,498,713,47,21.52,82,381,+0.37,47,70.60,269,381,-0.16
Ian Poulter,22,61.36,"465,091","75,796",6,50.6,40,79,+1.75,22,1.82,3,165,+0.33,26,51.46,"125,252","24,339",22,.00,0,24,E,22,64.41,"373,115","57,924",6,49.4,39,79,+1.79,22,+.214,22,10.9,18,78,+0.056,26,-.134,-2.150,16,22,.542,-.161,.395,.307,12,22,+.200,22,18.18,30,165,+0.20,22,16.97,28,165,+0.21,22,78.95,240,304,26,59.72,215,360,22,35.15,58,165,+2.07,22,52.12,86,165,-0.23
Michael Thompson,32,61.30,"1,009,494","164,693",11,48.4,59,122,+3.05,32,3.06,11,360,+1.00,36,51.74,"258,769","50,014",32,9.38,6,64,-0.33,32,64.72,"784,054","121,146",11,51.6,63,122,+1.43,32,-.041,32,5.6,20,85,+0.450,36,-.148,-4.433,30,32,-.663,-.196,-.552,.085,26,32,+.186,32,11.94,43,360,+0.19,32,13.61,49,360,-0.04,32,83.22,372,447,36,66.00,332,503,32,25.56,92,360,+0.65,32,65.83,237,360,-0.12
Tim Wilkinson,32,61.23,"693,080","113,200",10,54.3,38,70,+1.05,32,2.79,7,251,+0.29,32,50.95,"141,389","27,748",32,9.38,6,64,-0.50,32,64.56,"551,691","85,452",10,45.7,32,70,+2.19,32,+.273,32,4.4,11,48,+0.364,32,-.057,-1.023,18,32,.158,-.057,.019,.196,18,32,-.033,32,11.95,30,251,-0.03,32,8.76,22,251,+0.27,32,84.79,379,447,32,69.80,312,447,32,20.72,52,251,+0.96,32,72.11,181,251,-0.13
Graeme McDowell,30,61.20,"754,851","123,335",9,39.4,37,94,+1.89,30,1.49,4,268,+1.25,32,51.25,"188,896","36,859",30,14.00,7,50,-0.29,30,64.84,"581,629","89,704",9,60.6,57,94,+1.58,30,+.122,30,5.2,14,58,+0.143,32,-.537,-11.284,21,30,-.068,-.654,.662,-.077,19,30,+.097,30,11.57,31,268,+0.10,30,18.28,49,268,+0.12,30,81.04,342,422,32,63.33,285,450,30,29.85,80,268,+1.13,30,63.43,170,268,-0.11
Arjun Atwal,21,61.19,"387,176","63,273",8,42.1,24,57,+2.50,21,2.88,4,139,+1.25,21,50.89,"86,500","16,998",21,9.52,4,42,-0.50,21,64.98,"300,676","46,275",8,57.9,33,57,+0.30,21,-.125,21,5.8,8,35,+0.125,21,-.455,-4.552,10,21,-.871,-.455,-.495,.079,10,21,+.190,21,15.11,21,139,+0.19,21,17.27,24,139,-0.13,21,85.67,251,293,21,64.51,189,293,21,32.37,45,139,+0.22,21,58.99,82,139,+0.04
John Huh,26,61.19,"907,635","148,330",8,58.9,66,112,+1.06,26,1.88,6,320,+0.83,26,51.97,"223,668","43,042",26,1.92,1,52,-1.00,26,64.96,"683,967","105,288",8,41.1,46,112,+2.83,26,+.222,26,6.3,20,86,+0.300,26,-.202,-4.656,23,26,-.596,-.202,-.472,.079,23,26,+.019,26,16.56,53,320,+0.02,26,11.25,36,320,+0.22,26,82.69,301,364,26,63.46,231,364,26,27.81,89,320,+1.01,26,64.06,205,320,-0.23
Jim Herman,38,61.16,"1,178,320","192,653",14,61.7,79,128,+3.16,38,1.18,5,422,+0.20,42,50.40,"298,902","59,308",38,3.95,3,76,+0.67,38,65.31,"913,178","139,812",14,38.3,49,128,+1.22,38,+.116,38,5.7,24,103,+0.333,42,.227,7.718,34,38,-1.229,.175,-.670,-.734,30,38,+.283,38,14.22,60,422,+0.28,38,10.19,43,422,+0.12,38,84.11,450,535,42,70.39,416,591,38,24.41,103,422,+2.14,38,68.72,290,422,-0.06
Chris Baker,37,61.12,"818,826","133,961",13,62.8,59,94,+3.56,37,1.70,5,294,+1.00,37,50.99,"189,072","37,078",37,6.76,5,74,-0.40,37,65.00,"629,754","96,883",13,37.2,35,94,+2.00,37,+.100,37,5.4,16,69,+0.375,37,.191,4.017,21,37,-.073,.191,-.293,.029,21,37,+.326,37,14.63,43,294,+0.33,37,10.20,30,294,+0.10,37,84.72,438,517,37,67.70,350,517,37,24.83,73,294,+2.33,37,68.03,200,294,-0.09
Chris Stroud,30,61.10,"782,768","128,120",11,62.3,71,114,+2.68,30,2.50,7,280,+0.57,34,51.00,"222,632","43,652",30,3.33,2,60,E,30,65.24,"593,302","90,935",11,37.7,43,114,+3.26,30,+.259,30,9.6,27,114,+0.370,34,-.434,-10.409,24,30,-.774,-.404,-.129,-.241,20,30,+.200,30,19.64,55,280,+0.20,30,9.64,27,280,+0.26,30,80.67,338,419,34,58.95,280,475,30,29.29,82,280,+2.20,30,58.57,164,280,-0.13
Aaron Baddeley,33,61.08,"905,467","148,252",10,64.6,82,127,+0.98,33,2.50,8,320,+0.75,35,51.76,"249,473","48,198",33,3.03,2,66,-1.00,33,65.08,"672,160","103,282",10,35.4,45,127,+0.22,33,-.083,33,9.4,30,127,+0.267,35,-.483,-12.063,25,33,.201,-.523,-.098,.822,23,33,-.018,33,17.19,55,320,-0.02,33,11.25,36,320,-0.08,33,81.13,374,461,35,61.76,302,489,33,28.44,91,320,-0.44,33,59.69,191,320,-0.20
Tyler Duncan,49,61.05,"1,406,650","230,399",16,57.3,94,164,+2.66,49,1.97,10,507,+0.60,53,50.72,"351,880","69,377",49,2.04,2,98,+0.50,49,64.97,"1,088,194","167,489",16,42.7,70,164,+2.71,49,+.196,49,6.1,31,128,+0.419,53,-.081,-3.226,40,49,-.209,-.132,.205,-.282,36,49,+.187,49,14.79,75,507,+0.19,49,10.06,51,507,+0.20,49,83.45,575,689,53,69.26,516,745,49,24.85,126,507,+1.90,49,67.06,340,507,-0.15
Kevin Stadler,20,60.99,"431,956","70,826",9,62.5,40,64,+5.25,20,3.90,6,154,+1.17,20,49.57,"111,970","22,589",20,7.50,3,40,E,20,66.34,"319,986","48,237",9,37.5,24,64,+4.17,20,+.267,20,6.5,10,44,+0.500,20,-.586,-6.445,11,20,-3.151,-.586,-1.642,-.923,11,20,+.441,20,22.08,34,154,+0.44,20,9.74,15,154,+0.27,20,78.85,220,279,20,56.63,158,279,20,31.82,49,154,+3.88,20,57.79,89,154,-0.08
Ben Martin,28,60.92,"540,801","88,775",9,60.9,39,64,+3.08,28,2.05,4,195,+0.50,28,51.38,"130,929","25,481",28,.00,0,56,E,28,64.76,"409,872","63,294",9,39.1,25,64,+1.60,28,-.063,28,6.2,12,52,+0.667,28,-.097,-1.359,14,28,-.204,-.097,.022,-.129,14,28,+.219,28,16.41,32,195,+0.22,28,8.21,16,195,-0.06,28,83.38,326,391,28,63.94,250,391,28,24.62,48,195,+1.25,28,67.18,131,195,-0.16
Luke Donald,18,60.91,"417,966","68,622",5,50.8,31,61,+2.58,18,5.88,9,153,+0.11,20,50.63,"94,253","18,615",18,2.78,1,36,E,18,63.83,"339,821","53,235",5,49.2,30,61,E,18,E,18,8.5,13,53,E,20,-.924,-12.012,13,18,.426,-.879,.836,.468,11,18,+.389,18,11.76,18,153,+0.39,18,13.73,21,153,E,18,79.28,199,251,20,59.14,165,279,18,25.49,39,153,+1.79,18,60.13,92,153,-0.14
Vaughn Taylor,49,60.83,"1,234,810","203,006",14,49.7,75,151,+1.60,49,2.24,10,447,+0.50,53,50.94,"304,492","59,769",49,1.22,1,82,-1.00,49,64.43,"964,494","149,704",14,50.3,76,151,+2.24,49,+.204,49,7.4,33,141,+0.152,53,.025,.908,36,49,-.250,-.022,-.084,-.144,32,49,+.145,49,12.30,55,447,+0.15,49,12.08,54,447,+0.20,49,85.61,583,681,53,68.52,505,737,49,24.38,109,447,+1.74,49,66.00,295,447,-0.14
David Hearn,39,60.82,"922,329","151,654",12,60.0,66,110,+0.91,39,2.08,7,336,+0.43,41,49.92,"224,765","45,022",39,3.85,3,78,-0.67,39,64.92,"713,203","109,860",12,40.0,44,110,+0.45,39,-.073,39,3.3,11,46,+0.182,41,-.040,-1.045,26,39,-.013,-.095,.189,-.107,24,39,+.075,39,15.77,53,336,+0.08,39,12.20,41,336,-0.07,39,87.89,479,545,41,69.28,397,573,39,27.98,94,336,+0.11,39,66.67,224,336,-0.13
Ryan Armour,36,60.80,"887,990","146,042",13,48.1,37,77,+3.51,36,1.25,4,321,+1.25,40,50.79,"227,164","44,723",36,1.39,1,72,-1.00,36,64.37,"693,841","107,786",13,51.9,40,77,+2.00,36,+.121,36,3.4,11,46,+0.182,40,.052,1.398,27,36,.522,.132,.065,.325,23,36,+.290,36,9.66,31,321,+0.29,36,10.28,33,321,+0.12,36,86.88,437,503,40,74.06,414,559,36,19.94,64,321,+2.03,36,75.39,242,321,-0.13
Rob Oppenheim,49,60.73,"1,273,193","209,659",15,54.9,95,173,+3.05,49,1.09,5,459,+1.20,49,50.99,"296,851","58,216",49,7.14,7,98,-0.29,49,64.47,"976,342","151,443",15,45.1,78,173,-0.26,49,-.029,49,5.2,24,103,+0.375,49,-.312,-10.285,33,49,.216,-.312,-.037,.565,33,49,+.187,49,16.34,75,459,+0.19,49,15.25,70,459,-0.03,49,83.07,569,685,49,62.48,428,685,49,31.59,145,459,+0.83,49,62.09,285,459,-0.10
Brian Stuard,57,60.73,"1,537,607","253,172",16,52.9,91,172,+1.65,57,1.61,9,560,+0.67,61,50.44,"360,114","71,396",57,1.89,2,106,-1.00,57,64.26,"1,209,590","188,243",16,47.1,81,172,+1.11,57,+.092,57,6.3,35,148,+0.057,61,-.195,-8.566,44,57,.210,-.212,-.075,.497,40,57,+.164,57,11.96,67,560,+0.16,57,11.61,65,560,+0.09,57,84.82,676,797,61,71.63,611,853,57,23.57,132,560,+1.29,57,68.57,384,560,-0.16
Johnson Wagner,19,60.59,"384,839","63,520",7,44.4,20,45,+0.50,19,1.44,2,139,+1.50,19,49.03,"84,234","17,179",19,7.89,3,38,-0.33,19,64.87,"300,605","46,341",7,55.6,25,45,+2.80,19,+.238,19,2.9,4,18,-0.500,19,-.484,-4.845,10,19,-.782,-.484,.012,-.310,10,19,+.111,19,12.95,18,139,+0.11,19,15.11,21,139,+0.24,19,84.15,223,265,19,70.19,186,265,19,28.06,39,139,+1.79,19,67.63,94,139,-0.18
Andrew Putnam,32,60.57,"693,847","114,558",10,57.4,54,94,+0.19,32,2.41,6,249,+0.17,34,50.19,"160,702","32,021",32,2.50,1,40,-1.00,32,63.86,"547,692","85,765",10,42.6,40,94,+1.75,32,+.212,32,5.6,14,61,-0.143,34,-.912,-18.235,20,32,-1.031,-.841,-.088,-.103,18,32,+.043,32,18.88,47,249,+0.04,32,13.25,33,249,+0.21,32,83.78,372,444,34,59.96,283,472,32,32.13,80,249,+1.13,32,59.84,149,249,-0.16
Satoshi Kodaira,31,60.54,"649,147","107,226",11,42.1,32,76,+3.75,31,2.97,7,236,+1.14,31,50.78,"128,897","25,383",31,3.70,2,54,+0.50,31,63.57,"520,250","81,843",11,57.9,44,76,+3.86,31,+.313,31,6.8,16,69,+0.250,31,-.533,-9.058,17,31,-1.790,-.533,-.797,-.460,17,31,+.333,31,8.90,21,236,+0.33,31,13.56,32,236,+0.31,31,80.42,345,429,31,68.53,294,429,31,22.46,53,236,+3.21,31,67.80,160,236,-0.01
Zac Blair,52,60.54,"1,389,998","229,606",16,59.7,114,191,+2.28,52,1.80,9,500,+0.67,52,49.79,"324,363","65,146",52,3.85,4,104,-0.50,52,64.80,"1,065,635","164,460",16,40.3,77,191,+1.04,52,+.083,52,6.8,34,146,+0.206,52,-.337,-12.124,36,52,-.649,-.337,-.470,.158,36,52,+.180,52,17.80,89,500,+0.18,52,12.00,60,500,+0.08,52,83.36,606,727,52,62.17,452,727,52,29.80,149,500,+1.41,52,61.60,308,500,-0.13
Alex Cejka,23,60.44,"457,639","75,712",7,54.2,26,48,+1.92,23,4.79,8,167,+0.38,23,49.37,"106,157","21,503",23,6.52,3,46,-0.33,23,64.84,"351,482","54,209",7,45.8,22,48,-0.45,23,-.056,23,4.2,7,29,+0.286,23,-.279,-3.349,12,23,.527,-.279,.290,.516,12,23,E,23,9.58,16,167,E,23,10.78,18,167,-0.06,23,86.29,277,321,23,68.54,220,321,23,20.36,34,167,-0.29,23,70.66,118,167,-0.08
J.J. Henry,21,60.44,"461,495","76,351",8,40.3,27,67,+4.44,21,2.98,5,168,+1.40,21,49.29,"107,434","21,796",21,4.76,2,42,+0.50,21,64.90,"354,061","54,555",8,59.7,40,67,+2.50,21,+.143,21,7.7,13,57,+0.308,21,-.556,-6.672,12,21,-1.445,-.556,-.563,-.326,12,21,+.333,21,12.50,21,168,+0.33,21,16.67,28,168,+0.14,21,79.86,234,293,21,63.82,187,293,21,29.17,49,168,+2.24,21,60.12,101,168,-0.12
David Lingmerth,19,60.35,"380,573","63,058",7,41.0,16,39,+1.25,19,3.57,5,140,+0.80,19,48.71,"83,136","17,068",19,5.26,2,38,+0.50,19,64.67,"297,437","45,990",7,59.0,23,39,+0.87,19,+.067,19,5.7,8,35,E,19,-.134,-1.338,10,19,-.302,-.134,.261,-.429,10,19,-.091,19,7.86,11,140,-0.09,19,10.71,15,140,+0.07,19,88.30,234,265,19,68.30,181,265,19,18.57,26,140,E,19,72.14,101,140,-0.08
John Senden,25,60.21,"461,548","76,653",9,60.0,39,65,+2.56,25,4.32,7,162,+1.43,25,49.69,"113,400","22,823",25,6.00,3,50,E,25,64.68,"348,148","53,830",9,40.0,26,65,+1.54,25,+.118,25,7.4,12,52,+0.083,25,-.893,-10.717,12,25,-2.191,-.893,-.699,-.599,12,25,+.034,25,17.90,29,162,+0.03,25,10.49,17,162,+0.12,25,82.23,287,349,25,60.17,210,349,25,28.40,46,162,+0.65,25,59.88,97,162,-0.06
Ben Crane,17,60.16,"458,545","76,222",6,52.8,28,53,+1.79,17,2.98,5,168,+0.60,17,48.26,"105,109","21,781",17,2.94,1,34,E,17,64.92,"353,436","54,441",6,47.2,25,53,+1.60,17,E,17,4.8,8,32,+0.375,17,-.315,-3.783,12,17,-.407,-.315,.142,-.233,12,17,+.158,17,11.31,19,168,+0.16,17,12.50,21,168,E,17,88.24,210,238,17,68.49,163,238,17,23.81,40,168,+0.75,17,68.45,115,168,-0.11
Brendon Todd,50,60.07,"1,507,783","251,007",15,49.3,71,144,+0.99,50,1.64,9,548,+0.67,52,49.90,"365,418","73,231",50,7.00,7,100,-0.14,50,63.99,"1,158,185","181,004",15,50.7,73,144,+1.51,50,+.086,50,3.3,18,77,+0.111,52,-.075,-3.087,41,50,-.291,-.120,-.186,.015,39,50,+.109,50,11.68,64,548,+0.11,50,10.58,58,548,+0.09,50,87.22,614,704,52,72.54,531,732,50,22.26,122,548,+0.98,50,72.81,399,548,-0.11
Steve Stricker,18,59.88,"503,106","84,025",6,37.9,25,66,+0.80,18,1.10,2,182,+0.50,18,50.39,"123,966","24,600",18,.00,0,36,E,18,63.80,"379,140","59,425",6,62.1,41,66,+3.17,18,+.194,18,9.3,17,70,+0.353,18,-.236,-3.063,13,18,-.364,-.236,-.507,.378,13,18,+.056,18,9.89,18,182,+0.06,18,17.03,31,182,+0.19,18,80.88,203,251,18,64.94,163,251,18,26.92,49,182,+1.43,18,62.64,114,182,-0.08
Chad Campbell,17,59.84,"382,003","63,838",7,53.5,23,43,+1.30,17,2.16,3,139,+0.67,17,49.32,"95,978","19,459",17,5.88,2,34,-0.50,17,64.45,"286,025","44,379",7,46.5,20,43,+1.50,17,+.133,17,4.3,6,25,+0.167,17,.120,1.204,10,17,.050,.120,-.002,-.069,10,17,+.053,17,13.67,19,139,+0.05,17,10.79,15,139,+0.13,17,87.34,207,237,17,70.04,166,237,17,24.46,34,139,+0.88,17,69.06,96,139,-0.13
Ricky Barnes,28,59.58,"645,236","108,299",8,62.5,70,112,+0.71,28,4.37,10,229,+1.00,28,50.32,"177,228","35,217",28,3.57,2,56,E,28,64.04,"468,008","73,082",8,37.5,42,112,+0.95,28,E,28,7.4,17,76,-0.118,28,-1.144,-19.452,17,28,-.805,-1.144,-.054,.393,17,28,+.020,28,22.27,51,229,+0.02,28,14.85,34,229,E,28,77.24,302,391,28,51.15,200,391,28,37.12,85,229,+0.12,28,51.09,117,229,-0.17
K.J. Choi,17,59.44,"346,614","58,318",6,65.0,26,40,+1.15,17,2.40,3,125,+1.00,19,48.72,"98,171","20,148",17,3.85,1,26,E,17,63.73,"263,813","41,398",6,35.0,14,40,+2.14,17,E,17,3.2,4,16,E,19,-.840,-9.242,11,17,-.068,-.643,-.015,.591,9,17,+.125,17,19.20,24,125,+0.13,17,7.20,9,125,E,17,89.45,212,237,19,73.21,194,265,17,26.40,33,125,+0.91,17,68.00,85,125,-0.15
