player,Average Distance of Eagle putts made-ROUNDS,Average Distance of Eagle putts made-AVG,Average Distance of Eagle putts made-TOT DIST (FT),Average Distance of Eagle putts made-TOT EAGLES PUTTS MADE,Average Distance of Eagle putts made-LONGEST MADE (FT),Average Distance of Eagle putts made-SHORTEST MADE (FT),1-Putts per Round-ROUNDS,1-Putts per Round-AVG,1-Putts per Round-TOTAL 1 PUTTS,1-Putts per Round-TOTAL ROUNDS,3-Putts per Round-ROUNDS,3-Putts per Round-AVG,3-Putts per Round-TOTAL 3 PUTTS,3-Putts per Round-TOTAL ROUNDS,Birdie or Better Conversion Percentage-ROUNDS,Birdie or Better Conversion Percentage-%,Birdie or Better Conversion Percentage-# BIRDIES,Birdie or Better Conversion Percentage-GREENS HIT,Average Distance of Putts made-ROUNDS,Average Distance of Putts made-AVG,Average Distance of Putts made-TOTAL DIST (INCHES),Average Distance of Putts made-TOTAL ROUNDS,Average Distance of Putts made-AVG DIST,Average Distance of Putts made-BEST ROUND,SG: Putting-ROUNDS,SG: Putting-AVERAGE,SG: Putting-TOTAL SG:PUTTING,SG: Putting-MEASURED ROUNDS,One-Putt Percentage - Round 1-ROUNDS,One-Putt Percentage - Round 1-%,One-Putt Percentage - Round 1-# OF 1 PUTTS,One-Putt Percentage - Round 1-# OF HOLES,One-Putt Percentage - Round 3-%,One-Putt Percentage - Round 3-# OF 1 PUTTS,One-Putt Percentage - Round 3-# OF HOLES,One-Putt Percentage - Round 4-%,One-Putt Percentage - Round 4-# OF 1 PUTTS,One-Putt Percentage - Round 4-# OF HOLES,Approach Putt Performance-ROUNDS,Approach Putt Performance-VALUE,Approach Putt Performance-ATTEMPTS,Approach Putt Performance-TOTAL DISTANCE (FEET),2-Putts per Round-ROUNDS,2-Putts per Round-AVG,2-Putts per Round-TOTAL 2 PUTTS,2-Putts per Round-TOTAL ROUNDS,One-Putt Percentage-ROUNDS,One-Putt Percentage-%,One-Putt Percentage-# OF 1 PUTTS,One-Putt Percentage-# OF HOLES,PUTTING-table_name,One-Putt Percentage - Round 2-%,One-Putt Percentage - Round 2-# OF 1 PUTTS,One-Putt Percentage - Round 2-# OF HOLES
Roger Sloan,33,"56' 8""",56.667,1,57,57,33,7.06,233,33,33,.64,21,33,35,27.23,110,404,33,"64' 0""","15,360",20,365,2302001261,35,-.635,-13.976,22,35,36.90,93,252,48.61,35,72,40.74,22,54,33,"2' 5""",220,524.833,33,10.00,330,33,35,39.37,248,630,One-Putt Percentage - Round 2,38.46,90,234
Patton Kizzire,37,"55' 2""",55.167,1,55,55,37,7.46,276,37,37,.32,12,37,39,31.64,137,433,37,"77' 10""","27,089",29,437,1103001952,39,.537,16.635,31,39,46.83,118,252,35.19,38,108,34.44,31,90,37,"2' 4""",310,727.417,37,10.00,370,37,39,42.74,300,702,One-Putt Percentage - Round 2,43.59,102,234
Emiliano Grillo,39,"52' 4""",52.333,1,52,52,39,5.59,218,39,39,.67,26,39,41,27.61,148,536,39,"62' 2""","16,402",22,350,2401001226,41,-1.127,-27.052,24,41,31.48,85,270,27.78,30,108,25.00,27,108,39,"2' 4""",275,640.833,39,11.54,450,39,41,31.17,230,738,One-Putt Percentage - Round 2,35.47,83,234
Ryan Palmer,36,"49' 10""",49.833,1,50,50,36,7.17,258,36,36,.61,22,36,40,33.33,163,489,36,"73' 2""","23,700",27,410,1504001335,40,-.197,-6.115,31,40,39.90,79,198,39.58,57,144,41.67,60,144,36,"2' 4""",280,654.583,36,10.03,361,36,40,40.56,292,720,One-Putt Percentage - Round 2,37.78,68,180
Satoshi Kodaira,31,"46' 6""",46.500,1,47,47,31,6.35,197,31,31,.61,19,31,31,20.82,71,341,31,"63' 6""","12,947",17,354,2302001044,31,-.994,-16.902,17,31,37.88,75,198,35.56,32,90,34.72,25,72,31,"2' 5""",204,485.000,31,10.94,339,31,31,35.30,197,558,One-Putt Percentage - Round 2,32.83,65,198
Rob Oppenheim,49,"46' 2""",92.333,2,84,9,49,6.84,335,49,49,.55,27,49,49,26.73,151,565,49,"71' 10""","28,437",33,410,1101002172,49,-.529,-17.455,33,49,40.00,108,270,33.33,60,180,41.36,67,162,49,"2' 5""",360,864.000,49,10.10,495,49,49,37.98,335,882,One-Putt Percentage - Round 2,37.04,100,270
Michael Gellerman,32,"42' 3""",84.500,2,59,26,32,6.78,217,32,32,.78,25,32,32,28.97,113,390,32,"80' 5""","19,305",20,453,0203001395,32,.016,.323,20,32,37.37,74,198,30.56,33,108,38.89,28,72,32,"2' 6""",220,543.250,32,10.22,327,32,32,37.67,217,576,One-Putt Percentage - Round 2,41.41,82,198
Matt Jones,50,"39' 7""",79.083,2,69,10,50,6.94,347,50,50,.68,34,50,54,30.23,195,645,50,"67' 8""","30,865",38,381,1701001488,54,-.135,-5.663,42,54,38.89,112,288,38.38,76,198,34.85,69,198,50,"2' 2""",417,891.167,50,10.14,507,50,54,38.58,375,972,One-Putt Percentage - Round 2,41.45,97,234
Andrew Putnam,32,"39' 3""",39.250,1,39,39,32,7.34,235,32,32,.47,15,32,34,29.48,120,407,32,"81' 0""","17,491",18,455,0403001618,34,.978,19.562,20,34,39.39,78,198,37.04,40,108,42.59,46,108,32,"2' 7""",184,469.000,32,10.03,321,32,34,41.34,253,612,One-Putt Percentage - Round 2,43.33,78,180
Seamus Power,22,"39' 0""",39.000,1,39,39,22,7.45,164,22,22,.50,11,22,22,35.58,95,267,22,"80' 8""","10,650",11,460,0201001858,22,.264,2.904,11,22,38.10,48,126,43.06,31,72,40.28,29,72,22,"2' 5""",113,277.250,22,9.68,213,22,22,41.41,164,396,One-Putt Percentage - Round 2,44.44,56,126
John Huh,26,"38' 11""",77.833,2,43,35,26,7.69,200,26,26,.35,9,26,26,33.66,103,306,26,"83' 8""","23,089",23,470,0404001696,26,.750,17.242,23,26,45.14,65,144,36.67,33,90,46.67,42,90,26,"2' 5""",228,550.250,26,9.69,252,26,26,42.74,200,468,One-Putt Percentage - Round 2,41.67,60,144
Matthew Wolff,40,"38' 7""",77.167,2,56,21,40,6.75,270,40,40,.40,16,40,42,30.53,149,488,40,"67' 2""","23,365",29,376,0403001310,42,.022,.673,31,42,36.11,78,216,38.27,62,162,39.51,64,162,40,"2' 2""",315,689.167,40,10.70,428,40,42,37.83,286,756,One-Putt Percentage - Round 2,36.36,72,198
Graeme McDowell,30,"37' 3""",37.250,1,37,37,30,6.77,203,30,30,.47,14,30,32,29.65,110,371,30,"68' 7""","15,645",19,389,2401001687,32,-.146,-3.064,21,32,34.44,62,180,32.54,41,126,40.74,44,108,30,"2' 5""",207,500.333,30,10.47,314,30,32,38.37,221,576,One-Putt Percentage - Round 2,43.06,62,144
Joaquin Niemann,42,"37' 3""",74.417,2,52,23,42,6.64,279,42,42,.64,27,42,46,31.01,182,587,42,"71' 4""","26,527",31,400,0102001722,46,.052,1.815,35,46,34.92,88,252,35.42,51,144,37.50,54,144,42,"2' 2""",346,762.667,42,10.57,444,42,46,37.32,309,828,One-Putt Percentage - Round 2,38.89,91,234
Kevin Na,44,"34' 9""",69.500,2,44,26,44,7.86,346,44,44,.43,19,44,44,33.01,169,512,44,"81' 10""","31,412",32,462,0402002425,44,.769,24.612,32,44,39.74,93,234,47.53,77,162,43.21,70,162,44,"2' 3""",314,716.333,44,9.45,416,44,44,43.69,346,792,One-Putt Percentage - Round 2,45.30,106,234
Hank Lebioda,39,"34' 2""",68.250,2,63,5,39,7.03,274,39,39,.74,29,39,39,29.65,134,452,39,"74' 3""","22,280",25,416,0201001563,39,-.403,-10.066,25,39,38.49,97,252,34.26,37,108,47.78,43,90,39,"2' 7""",276,707.833,39,10.08,393,39,39,39.03,274,702,One-Putt Percentage - Round 2,38.49,97,252
Brendon Todd,50,"33' 6""",66.917,2,57,10,50,8.06,403,50,50,.54,27,50,52,31.06,191,615,50,"80' 5""","37,639",39,451,1103001440,52,.337,13.809,41,52,43.40,125,288,44.44,80,180,46.67,84,180,50,"2' 5""",389,931.750,50,9.16,458,50,52,44.55,417,936,One-Putt Percentage - Round 2,45.19,122,270
Harry Higgs,57,"33' 3""",99.833,3,83,8,57,7.60,433,57,57,.35,20,57,61,31.87,233,731,57,"74' 4""","38,359",43,419,1803001694,61,.338,15.878,47,61,42.16,129,306,40.17,94,234,41.20,89,216,57,"2' 3""",452,"1,002.333",57,9.77,557,57,61,42.53,467,"1,098",One-Putt Percentage - Round 2,44.44,128,288
Matt Kuchar,30,"33' 1""",66.083,2,39,27,30,7.10,213,30,30,.33,10,30,34,32.84,134,408,30,"71' 8""","19,783",23,404,2001001419,34,.728,19.649,27,34,39.44,71,180,37.04,40,108,42.59,46,108,30,"2' 1""",249,527.000,30,10.27,308,30,34,40.69,249,612,One-Putt Percentage - Round 2,40.12,65,162
Jim Furyk,23,"32' 7""",32.583,1,33,33,23,5.61,129,23,23,.52,12,23,25,25.59,87,340,23,"78' 4""","18,792",20,442,0304001423,25,-.071,-1.560,22,25,23.61,34,144,32.22,29,90,37.50,27,72,23,"2' 0""",237,467.750,23,11.61,267,23,25,31.11,140,450,One-Putt Percentage - Round 2,35.71,45,126
Adam Scott,26,"32' 5""",97.167,3,54,18,26,7.35,191,26,26,.27,7,26,26,33.75,109,323,26,"72' 6""","15,668",18,409,0301001801,26,.231,4.155,18,26,38.89,49,126,39.81,43,108,42.59,46,108,26,"2' 1""",179,374.417,26,10.08,262,26,26,40.81,191,468,One-Putt Percentage - Round 2,42.06,53,126
Cameron Percy,37,"31' 7""",63.083,2,50,13,37,6.68,247,37,37,.51,19,37,37,28.33,134,473,37,"74' 3""","22,275",25,417,1102001439,37,.089,2.215,25,37,35.35,70,198,34.03,49,144,38.10,48,126,37,"2' 2""",277,600.250,37,10.59,392,37,37,37.09,247,666,One-Putt Percentage - Round 2,40.40,80,198
Troy Merritt,38,"29' 11""",29.917,1,30,30,38,7.08,269,38,38,.47,18,38,42,30.63,151,493,38,"80' 6""","24,159",25,454,1104001506,42,.432,12.538,29,42,38.03,89,234,42.86,54,126,38.89,49,126,38,"2' 4""",260,609.833,38,10.16,386,38,42,39.15,296,756,One-Putt Percentage - Round 2,39.35,85,216
Nelson Ledesma,34,"29' 3""",58.417,2,44,15,34,7.50,255,34,34,.35,12,34,34,31.75,120,378,34,"75' 3""","16,261",18,422,0201001446,34,.257,4.628,18,34,42.74,100,234,37.78,34,90,51.85,28,54,34,"2' 3""",189,427.917,34,9.88,336,34,34,41.67,255,612,One-Putt Percentage - Round 2,39.74,93,234
Chesson Hadley,42,"28' 10""",57.667,2,44,14,42,6.71,282,42,42,.76,32,42,46,32.99,192,582,42,"75' 11""","27,340",30,427,3953001573,46,-.204,-6.950,34,46,36.90,93,252,40.97,59,144,36.11,52,144,42,"2' 4""",337,789.083,42,10.26,431,42,46,38.77,321,828,One-Putt Percentage - Round 2,37.61,88,234
Rickie Fowler,22,"28' 5""",56.750,2,33,24,22,7.59,167,22,22,.59,13,22,24,32.29,93,288,22,"76' 11""","17,541",19,430,1802001594,24,.260,5.462,21,24,43.75,63,144,38.89,28,72,50.00,36,72,22,"2' 4""",199,470.667,22,9.73,214,22,24,42.36,183,432,One-Putt Percentage - Round 2,38.89,49,126
Mark Hubbard,53,"28' 2""",140.667,5,81,4,53,7.43,394,53,53,.32,17,53,57,32.11,218,679,53,"74' 11""","35,957",40,419,0504001547,57,.477,20.973,44,57,43.06,124,288,40.28,87,216,41.41,82,198,53,"2' 0""",420,856.500,53,10.11,536,53,57,41.91,430,"1,026",One-Putt Percentage - Round 2,42.22,114,270
Tyler McCumber,45,"27' 8""",27.667,1,28,28,45,6.67,300,45,45,.73,33,45,45,30.04,164,546,45,"71' 4""","25,674",30,403,1702001821,45,-.611,-18.321,30,45,34.52,87,252,34.57,56,162,38.27,62,162,45,"2' 5""",348,835.333,45,10.27,462,45,45,37.04,300,810,One-Putt Percentage - Round 2,40.60,95,234
Scott Piercy,48,"27' 5""",82.167,3,57,6,48,6.79,326,48,48,.27,13,48,50,27.77,163,587,48,"65' 6""","25,161",32,368,1902001707,50,-.186,-6.329,34,50,36.11,91,252,34.85,69,198,39.39,78,198,48,"1' 11""",340,664.333,48,10.77,517,48,50,38.00,342,900,One-Putt Percentage - Round 2,41.03,96,234
J.J. Spaun,42,"27' 1""",27.083,1,27,27,42,6.57,276,42,42,.52,22,42,44,30.23,156,516,42,"72' 2""","27,716",32,404,1704001467,44,-.077,-2.616,34,44,37.70,95,252,35.19,57,162,36.51,46,126,42,"2' 2""",352,773.667,42,10.67,448,42,44,37.37,296,792,One-Putt Percentage - Round 2,37.61,88,234
Justin Thomas,32,"26' 10""",53.667,2,35,19,32,7.63,244,32,32,.44,14,32,36,37.42,174,465,32,"70' 5""","20,289",24,394,0302001572,36,.292,8.185,28,36,46.11,83,180,43.65,55,126,37.30,47,126,32,"2' 0""",236,474.583,32,9.81,314,32,36,42.59,276,648,One-Putt Percentage - Round 2,41.36,67,162
Viktor Hovland,34,"26' 4""",26.333,1,26,26,34,7.21,245,34,34,.35,12,34,38,31.90,148,464,34,"78' 0""","16,850",18,436,2302001502,38,.129,2.839,22,38,38.89,77,198,42.86,54,126,36.51,46,126,34,"2' 2""",194,420.917,34,10.24,348,34,38,40.35,276,684,One-Putt Percentage - Round 2,42.78,77,180
Brice Garnett,42,"25' 10""",25.833,1,26,26,42,6.83,287,42,42,.36,15,42,46,28.22,162,574,42,"77' 7""","27,011",29,435,0201001345,46,.334,11.008,33,46,39.68,100,252,37.04,60,162,42.86,54,126,42,"2' 4""",334,771.750,42,10.57,444,42,46,37.92,314,828,One-Putt Percentage - Round 2,35.90,84,234
Cameron Smith,36,"25' 8""",51.250,2,34,18,36,7.50,270,36,36,.44,16,36,38,34.73,158,455,36,"79' 8""","25,800",27,447,0402001710,38,.600,17.399,29,38,36.57,79,216,36.51,46,126,42.86,54,126,36,"2' 2""",272,599.417,36,9.86,355,36,38,41.52,284,684,One-Putt Percentage - Round 2,48.48,96,198
Bryson DeChambeau,30,"25' 7""",102.333,4,44,6,30,7.37,221,30,30,.40,12,30,34,33.72,147,436,30,"82' 5""","29,683",30,464,0404002207,34,.474,16.106,34,34,43.21,70,162,36.51,46,126,46.03,58,126,30,"2' 4""",312,727.667,30,10.00,300,30,34,41.18,252,612,One-Putt Percentage - Round 2,37.50,54,144
Joseph Bramlett,41,"25' 6""",101.833,4,44,6,41,6.46,265,41,41,.73,30,41,41,29.16,149,511,41,"73' 7""","23,831",27,413,0103001685,41,-.189,-5.090,27,41,28.70,62,216,43.83,71,162,36.11,52,144,41,"2' 6""",301,740.000,41,10.66,437,41,41,35.91,265,738,One-Putt Percentage - Round 2,37.04,80,216
Sung Kang,49,"24' 9""",24.750,1,25,25,49,6.71,329,49,49,.76,37,49,51,30.40,190,625,49,"70' 0""","31,923",38,396,2402001588,51,-.456,-18.258,40,51,34.81,94,270,40.91,81,198,30.56,55,180,49,"2' 4""",421,976.083,49,10.18,499,49,51,36.82,338,918,One-Putt Percentage - Round 2,40.48,102,252
Patrick Cantlay,20,"23' 0""",92.000,4,46,6,20,6.90,138,20,20,.55,11,20,20,34.07,92,270,20,"70' 4""","15,199",18,397,0402001480,20,.096,1.729,18,20,44.44,40,90,43.33,39,90,36.67,33,90,20,"2' 1""",196,403.500,20,10.30,206,20,20,38.33,138,360,One-Putt Percentage - Round 2,28.89,26,90
Cameron Davis,40,"23' 0""",45.917,2,43,3,40,6.95,278,40,40,1.03,41,40,40,29.36,143,487,40,"76' 2""","25,588",28,432,2302002089,40,-.412,-11.546,28,40,35.04,82,234,42.06,53,126,37.30,47,126,40,"2' 7""",303,774.917,40,9.68,387,40,40,38.61,278,720,One-Putt Percentage - Round 2,41.03,96,234
Scott Stallings,41,"22' 11""",91.500,4,49,10,41,6.83,280,41,41,.49,20,41,45,29.67,162,546,41,"71' 2""","23,066",27,405,0404001435,45,-.036,-1.103,31,45,37.61,88,234,37.04,60,162,36.11,52,144,41,"2' 4""",305,706.917,41,10.37,425,41,45,38.77,314,810,One-Putt Percentage - Round 2,38.43,83,216
Joel Dahmen,51,"22' 11""",91.667,4,39,3,51,7.41,378,51,51,.39,20,51,55,31.24,199,637,51,"68' 11""","28,932",35,388,1502002036,55,-.198,-7.707,39,55,37.04,100,270,44.44,96,216,41.92,83,198,51,"2' 1""",358,745.833,51,9.90,505,51,55,41.41,410,990,One-Putt Percentage - Round 2,43.25,109,252
Matthew NeSmith,50,"22' 10""",45.583,2,39,7,50,6.90,345,50,50,.46,23,50,54,30.38,209,688,50,"76' 8""","33,131",36,430,0403001419,54,.328,13.116,40,54,39.24,113,288,40.00,72,180,43.89,79,180,50,"2' 2""",392,838.333,50,10.46,523,50,54,38.17,371,972,One-Putt Percentage - Round 2,33.33,90,270
Chris Baker,37,"22' 8""",22.667,1,23,23,37,6.03,223,37,37,.70,26,37,37,23.83,107,449,37,"65' 6""","16,502",21,369,1902001484,37,-.732,-15.365,21,37,32.48,76,234,33.33,36,108,34.44,31,90,37,"2' 4""",252,578.583,37,11.03,408,37,37,33.48,223,666,One-Putt Percentage - Round 2,34.19,80,234
Bronson Burgoon,37,"22' 6""",44.917,2,28,17,37,7.68,284,37,37,.38,14,37,39,34.25,162,473,37,"78' 10""","27,430",29,446,0403001497,39,.398,12.330,31,39,41.03,96,234,46.03,58,126,42.06,53,126,37,"2' 4""",292,680.500,37,9.68,358,37,39,42.59,299,702,One-Putt Percentage - Round 2,41.92,83,198
Marc Leishman,35,"22' 3""",44.417,2,23,21,35,7.09,248,35,35,.49,17,35,35,31.05,127,409,35,"77' 4""","24,124",26,439,1704001816,35,.058,1.521,26,35,39.44,71,180,39.58,57,144,36.11,52,144,35,"2' 4""",272,628.750,35,10.11,354,35,35,39.37,248,630,One-Putt Percentage - Round 2,41.98,68,162
Doc Redman,56,"21' 7""",43.167,2,38,5,56,6.75,378,56,56,.52,29,56,60,30.76,231,751,56,"76' 7""","40,433",44,430,2301001591,60,-.109,-5.213,48,60,41.18,126,306,36.11,78,216,39.35,85,216,56,"2' 3""",493,"1,096.833",56,10.54,590,56,60,38.06,411,"1,080",One-Putt Percentage - Round 2,33.68,97,288
Bubba Watson,34,"21' 6""",64.500,3,36,12,34,6.74,229,34,34,.26,9,34,38,30.60,138,451,34,"72' 3""","21,674",25,411,1802001501,38,.636,18.453,29,38,36.87,73,198,34.13,43,126,38.89,49,126,34,"1' 11""",264,495.083,34,10.65,362,34,38,38.16,261,684,One-Putt Percentage - Round 2,39.44,71,180
